Airport Code,Location Code,Airport Name,City,Country,Timezone Offset (H),Timezone Offset (M),Timezone Offset (S),Latitude Direction,Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Direction,Longitude Degrees,Latitude,Longitude
KABI,ABI,ABILENE RGNL,ABILENE,USA,32,24,40,N,99,40,54,W,546,32.411,-99.682
KABQ,ABQ,N/A,ALBUQUERQUE,USA,0,0,0,U,0,0,0,U,0,0,0
KACK,ACK,NANTUCKET MEM,NANTUCKET,USA,41,15,10,N,70,3,36,W,15,41.253,-70.06
KACT,ACT,WACO RGNL,WACO,USA,31,36,40,N,97,13,49,W,158,31.611,-97.23
KACY,ACY,ATLANTIC CITY INTERNATIONAL,ATLANTIC CITY,USA,39,27,27,N,74,34,37,W,23,39.458,-74.577
KADM,ADM,ARDMORE MUNI,ARDMORE,USA,34,18,11,N,97,1,10,W,233,34.303,-97.019
KADW,ADW,ANDREWS AFB,CAMP SPRINGS,USA,38,48,38,N,76,52,1,W,86,38.811,-76.867
KAEX,AEX,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,USA,31,19,38,N,92,32,54,W,28,31.327,-92.548
KAFB,N/A,N/A,SHEPPARD,USA,0,0,0,U,0,0,0,U,0,0,0
KAGS,AGS,AUGUSTA RGNL AT BUSH FLD,BUSH FIELD,USA,33,22,11,N,81,57,52,W,44,33.37,-81.964
KAKR,AKR,AKRON FULTON INTERNATIONAL,AKRON,USA,41,2,15,N,81,28,0,W,326,41.038,-81.467
KALB,ALB,ALBANY INTERNATIONAL,ALBANY,USA,42,44,53,N,73,48,10,W,87,42.748,-73.803
KALI,ALI,ALICE INTERNATIONAL,ALICE,USA,27,44,27,N,98,1,37,W,55,27.741,-98.027
KAMA,AMA,AMARILLO INTERNATIONAL,AMARILLO,USA,35,13,9,N,101,42,21,W,1100,35.219,-101.706
KANB,ANB,ANNISTON METROPOLITAN,ANNISTON,USA,33,35,17,N,85,51,29,W,187,33.588,-85.858
KAND,AND,ANDERSON RGNL,ANDERSEN,USA,34,29,42,N,82,42,33,W,239,34.495,-82.709
KAOO,AOO,ALTOONA BLAIR CO,ALTOONA,USA,40,17,47,N,78,19,12,W,459,40.296,-78.32
KAPG,APG,PHILLIPS AAF,ABERDEEN,USA,39,27,58,N,76,10,10,W,18,39.466,-76.169
