Flight Number,Date,Taxi Takeoff,Average Delay Takeoff,Gate Departure Actual,Gate Departure Estimated,Takeoff Actual,Takeoff Estimated,Taxi Landing,Average Delay Landing,Landing Actual,Landing Estimated,Gate Arrival Actual,Gate Arrival Estimated
SWA2388,WEDNESDAY 27-MAR-2024,Taxi Time: 14 minutes,Average Delay: 10-20 minutes,1:59 PM,2:00 PM,2:13 PM,2:10 PM,Taxi Time: 14 minutes,Average Delay: 10-20 minutes,3:00 PM,2:57 PM,3:12 PM,3:10 PM
FFT1895,WEDNESDAY 27-MAR-2024,Taxi Time: 27 minutes,Average Delay: Less than 10 minutes,1:10 PM,1:13 PM,1:37 PM,1:23 PM,Taxi Time: 27 minutes,Average Delay: Less than 10 minutes,2:25 PM,2:10 PM,2:31 PM,2:28 PM
SWA1051,WEDNESDAY 27-MAR-2024,Taxi Time: 13 minutes,Average Delay: Less than 10 minutes,12:45 PM,12:45 PM,12:58 PM,12:55 PM,Taxi Time: 13 minutes,Average Delay: Less than 10 minutes,1:44 PM,1:43 PM,1:50 PM,1:55 PM
NKS2043,WEDNESDAY 27-MAR-2024,Taxi Time: 14 minutes,Average Delay: Less than 10 minutes,11:12 AM,11:20 AM,11:26 AM,11:30 AM,Taxi Time: 14 minutes,Average Delay: Less than 10 minutes,12:12 PM,12:18 PM,12:17 PM,12:34 PM
SWA1979,WEDNESDAY 27-MAR-2024,Taxi Time: 17 minutes,Average Delay: 10-20 minutes,10:53 AM,10:40 AM,11:10 AM,10:50 AM,Taxi Time: 17 minutes,Average Delay: 10-20 minutes,11:55 AM,11:38 AM,12:02 PM,11:55 AM
AAL2109,WEDNESDAY 27-MAR-2024,Taxi Time: 20 minutes,Average Delay: 20-40 minutes,11:51 AM,10:32 AM,12:11 PM,10:42 AM,Taxi Time: 20 minutes,Average Delay: 20-40 minutes,1:00 PM,11:31 AM,1:06 PM,11:54 AM
SNC1367,,,,,,,,,,,,,
SWA3084,WEDNESDAY 27-MAR-2024,Taxi Time: 22 minutes,Average Delay: Less than 10 minutes,9:06 AM,9:10 AM,9:28 AM,9:20 AM,Taxi Time: 22 minutes,Average Delay: Less than 10 minutes,10:16 AM,10:06 AM,10:22 AM,10:25 AM
SWA953,WEDNESDAY 27-MAR-2024,Taxi Time: 20 minutes,Average Delay: Less than 10 minutes,7:35 AM,7:40 AM,7:55 AM,7:50 AM,Taxi Time: 20 minutes,Average Delay: Less than 10 minutes,8:40 AM,8:37 AM,8:46 AM,8:50 AM
AAL1611,WEDNESDAY 27-MAR-2024,Taxi Time: 16 minutes,Average Delay: Less than 10 minutes,7:19 AM,7:25 AM,7:35 AM,7:35 AM,Taxi Time: 16 minutes,Average Delay: Less than 10 minutes,8:22 AM,8:22 AM,8:30 AM,8:41 AM
SWA2684,WEDNESDAY 27-MAR-2024,Taxi Time: 13 minutes,Average Delay: Less than 10 minutes,6:29 AM,6:30 AM,6:42 AM,6:40 AM,Taxi Time: 13 minutes,Average Delay: Less than 10 minutes,7:28 AM,7:27 AM,7:36 AM,7:40 AM
FFT2517,TUESDAY 26-MAR-2024,Taxi Time: 22 minutes,Average Delay: More than 1 hour,9:44 PM,8:45 PM,10:06 PM,8:55 PM,Taxi Time: 22 minutes,Average Delay: More than 1 hour,10:53 PM,9:47 PM,11:10 PM,10:01 PM
