Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 07:49:00 PM    Left Gate (PHX) @ Friday 04:49:00 PM MST,,,Airline
,,,
Taxi Time: 23 minutes,,,
Fri 08:12:05 PM    Departure (PHX) @ Friday 05:12:05 PM MST,,,FlightAware ADS-B (KDVT)
Fri 08:12:05 PM,33.4312,-112.0193, 272,164,189,"1,800"
Fri 08:12:21 PM,33.4317,-112.0334, 272,162,186,"2,825"
Fri 08:12:37 PM,33.4320,-112.0497, 271,179,206,"3,325"
Fri 08:12:53 PM,33.4320,-112.0653, 270,199,229,"3,725"
Fri 08:13:09 PM,33.4320,-112.0836, 270,225,259,"4,050"
Fri 08:13:35 PM,33.4325,-112.1183, 272,248,285,"5,200"
Fri 08:13:59 PM,33.4335,-112.1520, 275,254,292,"6,600"
Fri 08:14:15 PM,33.4394,-112.1743, 299,261,300,"7,575"
Fri 08:14:35 PM,33.4560,-112.1964, 324,269,310,"8,900"
Fri 08:14:56 PM,33.4800,-112.2078, 346,277,319,"10,025"
Fri 08:15:26 PM,33.5174,-112.2191, 345,287,330,"11,725"
Fri 08:15:56 PM,33.5581,-112.2296, 349,316,364,"12,750"
Fri 08:16:26 PM,33.6022,-112.2395, 350,346,398,"13,625"
Fri 08:16:56 PM,33.6515,-112.2502, 350,357,411,"15,025"
Fri 08:17:26 PM,33.7016,-112.2610, 350,378,435,"16,075"
Fri 08:17:56 PM,33.7533,-112.2725, 350,381,438,"17,525"
Fri 08:18:26 PM,33.8062,-112.2842, 350,389,448,"18,825"
Fri 08:18:56 PM,33.8607,-112.2964, 350,399,459,"20,100"
Fri 08:19:26 PM,33.9162,-112.3089, 350,405,466,"21,350"
Fri 08:19:56 PM,33.9726,-112.3215, 349,416,479,"22,375"
Fri 08:20:12 PM,34.0027,-112.3285, 348,421,484,"22,875"
Fri 08:20:30 PM,34.0348,-112.3433, 332,409,471,"23,650"
Fri 08:21:08 PM,34.0914,-112.3981, 320,407,468,"25,000"
Fri 08:21:38 PM,34.1348,-112.4418, 320,406,467,"25,925"
Fri 08:22:09 PM,34.1788,-112.4858, 320,414,476,"26,000"
Fri 08:22:41 PM,34.2265,-112.5339, 320,422,486,"26,000"
Fri 08:23:12 PM,34.2713,-112.5789, 320,418,481,"26,000"
Fri 08:23:42 PM,34.3147,-112.6222, 320,389,448,"26,000"
Fri 08:24:12 PM,34.3548,-112.6628, 320,365,420,"26,000"
Fri 08:24:42 PM,34.3936,-112.7025, 320,360,414,"26,000"
