Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 04:14:00 PM    Left Gate (PHX) @ Friday 02:14:00 PM MST,,,Airline
,,,
Taxi Time: 14 minutes,,,
Fri 04:28:36 PM    Departure (PHX) @ Friday 02:28:36 PM MST,,,FlightAware ADS-B (KSDL)
Fri 04:28:36 PM,33.4311,-112.0217, 270,147,169,"1,600"
Fri 04:28:52 PM,33.4311,-112.0346, 270,155,178,"2,125"
Fri 04:29:08 PM,33.4311,-112.0500, 270,178,205,"2,475"
Fri 04:29:24 PM,33.4310,-112.0673, 270,200,230,"2,900"
Fri 04:29:40 PM,33.4311,-112.0846, 271,221,254,"3,375"
Fri 04:30:06 PM,33.4320,-112.1186, 273,238,274,"4,600"
Fri 04:30:36 PM,33.4338,-112.1590, 274,250,288,"6,200"
Fri 04:30:52 PM,33.4404,-112.1821, 305,256,295,"7,075"
Fri 04:31:10 PM,33.4572,-112.1958, 341,251,289,"8,200"
Fri 04:31:30 PM,33.4792,-112.1974, 3,247,284,"9,450"
Fri 04:32:04 PM,33.5186,-112.1957, 1,259,298,"11,175"
Fri 04:32:23 PM,33.5421,-112.1965, 355,263,303,"12,225"
Fri 04:32:58 PM,33.5883,-112.2016, 355,308,354,"13,150"
Fri 04:33:21 PM,33.6216,-112.2050, 354,328,377,"13,800"
Fri 04:33:57 PM,33.6759,-112.2209, 345,337,388,"15,600"
Fri 04:34:27 PM,33.7216,-112.2354, 345,343,395,"17,000"
Fri 04:34:58 PM,33.7707,-112.2508, 345,351,404,"18,425"
Fri 04:35:28 PM,33.8182,-112.2659, 345,357,411,"19,725"
Fri 04:35:58 PM,33.8658,-112.2812, 345,370,426,"20,725"
Fri 04:36:28 PM,33.9174,-112.2979, 345,403,464,"21,000"
Fri 04:36:58 PM,33.9733,-112.3161, 345,412,474,"21,775"
Fri 04:37:20 PM,34.0156,-112.3301, 342,395,455,"23,375"
Fri 04:37:39 PM,34.0425,-112.3467, 324,385,443,"24,325"
Fri 04:38:20 PM,34.0998,-112.4052, 319,385,443,"25,925"
Fri 04:38:50 PM,34.1414,-112.4478, 320,399,459,"26,500"
Fri 04:39:20 PM,34.1814,-112.4882, 320,374,430,"28,300"
