Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 06:44:00 PM    Left Gate (PHX) @ Friday 03:44:00 PM MST,,,Airline
,,,
Taxi Time: 22 minutes,,,
Fri 07:06:41 PM    Departure (PHX) @ Friday 04:06:41 PM MST,,,FlightAware ADS-B (KFFZ)
Fri 07:06:41 PM,33.4311,-112.0174, 271,180,207,"1,475"
Fri 07:06:57 PM,33.4315,-112.0328, 272,179,206,"2,225"
Fri 07:07:13 PM,33.4320,-112.0486, 273,190,219,"2,875"
Fri 07:07:29 PM,33.4324,-112.0667, 270,205,236,"3,350"
Fri 07:07:45 PM,33.4324,-112.0856, 270,226,260,"3,725"
Fri 07:08:10 PM,33.4334,-112.1189, 273,233,268,"5,125"
Fri 07:08:34 PM,33.4345,-112.1502, 274,249,287,"6,100"
Fri 07:08:50 PM,33.4404,-112.1718, 300,258,297,"6,875"
Fri 07:09:06 PM,33.4531,-112.1884, 324,268,308,"7,550"
Fri 07:09:23 PM,33.4721,-112.1971, 353,276,318,"8,450"
Fri 07:09:44 PM,33.5000,-112.1966, 4,277,319,"9,625"
Fri 07:10:03 PM,33.5255,-112.1951, 2,281,323,"10,775"
Fri 07:10:39 PM,33.5727,-112.1991, 356,308,354,"12,075"
Fri 07:11:07 PM,33.6150,-112.2029, 354,318,366,"13,275"
Fri 07:11:51 PM,33.6791,-112.2210, 345,331,381,"15,200"
Fri 07:12:21 PM,33.7239,-112.2355, 345,349,402,"16,125"
Fri 07:12:51 PM,33.7709,-112.2509, 345,363,418,"17,050"
Fri 07:13:21 PM,33.8221,-112.2677, 345,372,428,"18,250"
Fri 07:13:51 PM,33.8727,-112.2841, 345,379,436,"19,325"
Fri 07:14:21 PM,33.9211,-112.2999, 345,386,444,"20,400"
Fri 07:14:51 PM,33.9732,-112.3166, 345,380,437,"21,800"
Fri 07:15:09 PM,34.0036,-112.3279, 339,379,436,"22,475"
Fri 07:15:31 PM,34.0378,-112.3483, 328,376,433,"23,150"
Fri 07:16:14 PM,34.0963,-112.4035, 320,375,432,"24,450"
Fri 07:16:44 PM,34.1369,-112.4443, 320,375,432,"25,475"
Fri 07:17:14 PM,34.1763,-112.4839, 320,376,433,"26,475"
Fri 07:17:44 PM,34.2150,-112.5228, 320,368,423,"27,575"
Fri 07:18:14 PM,34.2561,-112.5645, 320,380,437,"28,025"
Fri 07:18:47 PM,34.2994,-112.6084, 320,382,440,"28,000"
Fri 07:19:17 PM,34.3409,-112.6501, 320,381,438,"28,000"
Fri 07:19:47 PM,34.3805,-112.6903, 320,380,437,"28,000"
Fri 07:20:18 PM,34.4246,-112.7351, 320,380,437,"28,000"
Fri 07:20:50 PM,34.4672,-112.7784, 320,380,437,"28,000"
Fri 07:21:21 PM,34.5089,-112.8208, 320,379,436,"28,000"
Fri 07:21:51 PM,34.5487,-112.8614, 320,378,435,"28,000"
Fri 07:22:22 PM,34.5902,-112.9036, 320,380,437,"28,000"
Fri 07:22:52 PM,34.6309,-112.9452, 320,381,438,"28,000"
Fri 07:23:23 PM,34.6736,-112.9890, 320,382,440,"28,000"
Fri 07:23:54 PM,34.7142,-113.0306, 320,383,441,"28,000"
Fri 07:24:17 PM,34.7463,-113.0640, 318,383,441,"28,000"
Fri 07:24:48 PM,34.7830,-113.1088, 314,378,435,"28,000"
Fri 07:25:18 PM,34.8196,-113.1552, 314,377,434,"28,000"
Fri 07:25:50 PM,34.8579,-113.2036, 314,378,435,"28,000"
Fri 07:26:20 PM,34.8951,-113.2508, 314,381,438,"28,000"
Fri 07:26:53 PM,34.9352,-113.3015, 314,381,438,"28,000"
Fri 07:27:23 PM,34.9715,-113.3478, 314,381,438,"28,000"
Fri 07:27:41 PM,34.9937,-113.3747, 318,382,440,"28,000"
Fri 07:28:07 PM,35.0294,-113.4110, 321,384,442,"28,000"
Fri 07:28:37 PM,35.0713,-113.4532, 320,384,442,"28,000"
Fri 07:29:07 PM,35.1120,-113.4942, 320,385,443,"27,675"
Fri 07:29:37 PM,35.1524,-113.5351, 320,379,436,"27,150"
Fri 07:30:08 PM,35.1941,-113.5773, 320,366,421,"26,825"
Fri 07:30:39 PM,35.2358,-113.6197, 320,369,425,"26,300"
Fri 07:31:09 PM,35.2739,-113.6584, 320,371,427,"25,800"
Fri 07:31:41 PM,35.3169,-113.7017, 320,367,422,"25,750"
Fri 07:32:12 PM,35.3573,-113.7427, 320,366,421,"25,700"
Fri 07:32:42 PM,35.3960,-113.7820, 320,355,409,"25,175"
Fri 07:33:12 PM,35.4338,-113.8205, 320,354,407,"24,400"
Fri 07:33:42 PM,35.4717,-113.8593, 320,359,413,"23,575"
Fri 07:34:12 PM,35.5090,-113.8974, 320,359,413,"22,750"
Fri 07:34:42 PM,35.5478,-113.9369, 320,355,409,"21,875"
Fri 07:35:13 PM,35.5872,-113.9771, 320,351,404,"21,025"
Fri 07:35:43 PM,35.6239,-114.0148, 320,348,400,"20,200"
Fri 07:36:13 PM,35.6601,-114.0520, 320,343,395,"19,400"
Fri 07:36:43 PM,35.6964,-114.0894, 320,340,391,"18,575"
Fri 07:37:13 PM,35.7308,-114.1247, 320,331,381,"17,925"
Fri 07:37:29 PM,35.7503,-114.1464, 313,316,364,"17,775"
Fri 07:37:45 PM,35.7646,-114.1687, 305,297,342,"17,800"
Fri 07:38:27 PM,35.7902,-114.2247, 299,276,318,"17,150"
Fri 07:38:57 PM,35.8088,-114.2669, 299,271,312,"16,425"
Fri 07:39:28 PM,35.8268,-114.3079, 298,264,304,"15,750"
Fri 07:39:46 PM,35.8377,-114.3318, 303,262,302,"15,300"
Fri 07:40:13 PM,35.8584,-114.3653, 310,264,304,"14,525"
Fri 07:40:30 PM,35.8764,-114.3764, 350,275,316,"14,100"
Fri 07:40:58 PM,35.9121,-114.3696, 12,279,321,"13,375"
Fri 07:41:30 PM,35.9512,-114.3588, 13,278,320,"12,700"
Fri 07:42:01 PM,35.9897,-114.3477, 13,281,323,"12,100"
Fri 07:42:31 PM,36.0280,-114.3365, 13,272,313,"11,600"
Fri 07:43:01 PM,36.0643,-114.3267, 12,269,310,"10,975"
Fri 07:43:19 PM,36.0853,-114.3216, 4,271,312,"10,475"
Fri 07:43:37 PM,36.1080,-114.3307, 323,256,295,"10,150"
Fri 07:43:53 PM,36.1181,-114.3489, 291,245,282,"10,175"
Fri 07:44:10 PM,36.1204,-114.3720, 265,238,274,"10,175"
Fri 07:44:49 PM,36.1135,-114.4261, 261,241,277,"10,150"
Fri 07:45:19 PM,36.1080,-114.4656, 260,240,276,"10,175"
Fri 07:45:36 PM,36.1047,-114.4897, 261,241,277,"9,975"
Fri 07:46:07 PM,36.0992,-114.5314, 261,236,272,"9,500"
Fri 07:46:37 PM,36.0941,-114.5710, 261,235,270,"9,025"
Fri 07:47:07 PM,36.0890,-114.6088, 261,229,264,"8,425"
Fri 07:47:37 PM,36.0839,-114.6472, 261,235,270,"8,200"
Fri 07:48:10 PM,36.0784,-114.6895, 261,227,261,"8,150"
