Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 07:50:00 PM    Left Gate (PHX) @ Friday 04:50:00 PM MST,,,Airline
,,,
Taxi Time: 21 minutes,,,
Fri 08:11:05 PM    Departure (PHX) @ Friday 05:11:05 PM MST,,,FlightAware ADS-B (KDVT)
Fri 08:11:05 PM,33.4314,-112.0279, 272,159,183,"1,900"
Fri 08:11:21 PM,33.4318,-112.0411, 272,166,191,"2,450"
Fri 08:11:37 PM,33.4322,-112.0581, 271,188,216,"2,850"
Fri 08:11:53 PM,33.4322,-112.0742, 271,207,238,"3,100"
Fri 08:12:09 PM,33.4328,-112.0937, 275,223,257,"3,575"
Fri 08:12:27 PM,33.4340,-112.1173, 272,239,275,"4,200"
Fri 08:12:52 PM,33.4347,-112.1503, 273,253,291,"5,075"
Fri 08:13:09 PM,33.4410,-112.1742, 304,257,296,"6,100"
Fri 08:13:26 PM,33.4555,-112.1901, 329,269,310,"7,000"
Fri 08:13:43 PM,33.4768,-112.1993, 348,285,328,"7,750"
Fri 08:14:06 PM,33.5078,-112.2061, 348,299,344,"9,150"
Fri 08:14:36 PM,33.5496,-112.2167, 348,320,368,"10,800"
Fri 08:15:06 PM,33.5940,-112.2279, 348,342,394,"12,150"
Fri 08:15:36 PM,33.6410,-112.2397, 349,349,402,"14,000"
Fri 08:16:06 PM,33.6898,-112.2514, 349,367,422,"15,350"
Fri 08:16:36 PM,33.7418,-112.2641, 348,385,443,"16,650"
Fri 08:17:06 PM,33.7946,-112.2771, 348,391,450,"18,200"
Fri 08:17:36 PM,33.8499,-112.2908, 348,400,460,"19,700"
Fri 08:18:06 PM,33.9046,-112.3045, 348,412,474,"20,950"
Fri 08:18:36 PM,33.9608,-112.3183, 349,422,486,"22,200"
Fri 08:18:53 PM,33.9937,-112.3267, 345,428,493,"22,775"
Fri 08:19:09 PM,34.0212,-112.3387, 336,425,489,"23,400"
Fri 08:19:30 PM,34.0573,-112.3650, 323,420,483,"24,275"
Fri 08:20:01 PM,34.1056,-112.4131, 320,421,484,"25,625"
Fri 08:20:32 PM,34.1530,-112.4605, 320,422,486,"26,900"
Fri 08:21:02 PM,34.1979,-112.5057, 320,422,486,"27,950"
Fri 08:21:32 PM,34.2407,-112.5489, 320,425,489,"28,025"
Fri 08:22:02 PM,34.2863,-112.5952, 320,429,494,"28,000"
Fri 08:22:32 PM,34.3324,-112.6419, 320,427,491,"28,025"
Fri 08:23:02 PM,34.3778,-112.6878, 320,427,491,"28,000"
Fri 08:23:34 PM,34.4265,-112.7371, 320,427,491,"28,000"
Fri 08:24:04 PM,34.4731,-112.7843, 320,425,489,"28,000"
Fri 08:24:35 PM,34.5180,-112.8302, 320,424,488,"28,000"
Fri 08:25:06 PM,34.5639,-112.8770, 320,424,488,"28,000"
Fri 08:25:36 PM,34.6089,-112.9230, 320,424,488,"28,000"
Fri 08:26:06 PM,34.6551,-112.9702, 320,426,490,"28,025"
Fri 08:26:37 PM,34.7010,-113.0168, 320,425,489,"28,000"
Fri 08:27:07 PM,34.7455,-113.0625, 319,424,488,"28,000"
Fri 08:27:47 PM,34.8003,-113.1300, 314,422,486,"28,000"
Fri 08:28:18 PM,34.8436,-113.1853, 313,422,486,"28,000"
Fri 08:28:48 PM,34.8836,-113.2364, 314,423,487,"28,000"
Fri 08:29:18 PM,34.9233,-113.2868, 314,422,486,"28,000"
Fri 08:29:48 PM,34.9632,-113.3375, 314,424,488,"28,000"
Fri 08:30:18 PM,35.0062,-113.3880, 320,429,494,"28,000"
Fri 08:30:54 PM,35.0630,-113.4453, 320,427,491,"28,000"
Fri 08:31:24 PM,35.1072,-113.4897, 320,427,491,"28,000"
Fri 08:31:55 PM,35.1550,-113.5378, 320,426,490,"28,000"
Fri 08:32:25 PM,35.1994,-113.5829, 320,422,486,"27,500"
Fri 08:32:55 PM,35.2465,-113.6307, 320,419,482,"26,925"
Fri 08:33:25 PM,35.2897,-113.6743, 320,412,474,"26,075"
Fri 08:33:58 PM,35.3392,-113.7243, 320,421,484,"26,000"
Fri 08:34:28 PM,35.3834,-113.7690, 320,414,476,"25,625"
Fri 08:34:58 PM,35.4270,-113.8134, 320,406,467,"24,450"
Fri 08:35:28 PM,35.4691,-113.8565, 320,401,461,"23,275"
Fri 08:36:00 PM,35.5162,-113.9048, 320,394,453,"21,975"
Fri 08:36:30 PM,35.5583,-113.9478, 320,388,447,"20,825"
Fri 08:37:00 PM,35.5982,-113.9885, 320,388,447,"19,750"
Fri 08:37:30 PM,35.6415,-114.0329, 320,388,447,"18,550"
Fri 08:38:00 PM,35.6814,-114.0740, 320,382,440,"17,425"
Fri 08:38:30 PM,35.7201,-114.1135, 320,356,410,"17,125"
Fri 08:38:50 PM,35.7458,-114.1405, 316,335,386,"16,950"
Fri 08:39:11 PM,35.7649,-114.1688, 303,321,369,"16,600"
Fri 08:39:49 PM,35.7913,-114.2269, 299,312,359,"15,650"
Fri 08:40:19 PM,35.8123,-114.2745, 298,307,353,"14,900"
Fri 08:40:49 PM,35.8322,-114.3199, 298,301,346,"14,150"
Fri 08:41:07 PM,35.8460,-114.3462, 307,302,348,"13,700"
Fri 08:41:44 PM,35.8772,-114.3957, 307,305,351,"12,850"
