Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 09:46:00 PM    Left Gate (PHX) @ Friday 06:46:00 PM MST,,,Airline
,,,
Taxi Time: 11 minutes,,,
Fri 09:57:15 PM    Departure (PHX) @ Friday 06:57:15 PM MST,,,FlightAware ADS-B (KFFZ)
Fri 09:57:15 PM,33.4311,-112.0136, 270,145,167,"1,400"
Fri 09:57:31 PM,33.4311,-112.0260, 270,136,157,"2,100"
Fri 09:57:47 PM,33.4312,-112.0368, 271,141,162,"2,650"
Fri 09:58:03 PM,33.4314,-112.0515, 271,162,186,"3,075"
Fri 09:58:19 PM,33.4316,-112.0662, 271,184,212,"3,475"
Fri 09:58:35 PM,33.4318,-112.0845, 271,208,239,"3,925"
Fri 09:59:04 PM,33.4326,-112.1195, 272,242,278,"4,900"
Fri 09:59:25 PM,33.4336,-112.1494, 274,243,280,"6,250"
Fri 09:59:44 PM,33.4397,-112.1739, 299,259,298,"7,175"
Fri 10:00:00 PM,33.4530,-112.1903, 323,273,314,"7,850"
Fri 10:00:18 PM,33.4739,-112.1977, 359,279,321,"8,750"
Fri 10:01:01 PM,33.5304,-112.1954, 359,286,329,"11,275"
Fri 10:01:34 PM,33.5764,-112.1994, 355,328,377,"12,225"
Fri 10:02:00 PM,33.6166,-112.2037, 354,353,406,"13,050"
Fri 10:02:21 PM,33.6508,-112.2122, 344,363,418,"13,925"
Fri 10:02:51 PM,33.7008,-112.2288, 345,367,422,"15,550"
Fri 10:03:21 PM,33.7510,-112.2450, 345,376,433,"16,950"
Fri 10:03:51 PM,33.8001,-112.2607, 345,377,434,"18,525"
Fri 10:04:21 PM,33.8528,-112.2777, 345,387,445,"19,725"
Fri 10:04:51 PM,33.9067,-112.2952, 345,396,456,"20,975"
Fri 10:05:21 PM,33.9584,-112.3119, 345,398,458,"22,250"
Fri 10:05:51 PM,34.0139,-112.3303, 341,400,460,"23,450"
Fri 10:06:07 PM,34.0391,-112.3460, 325,385,443,"24,225"
Fri 10:06:44 PM,34.0905,-112.3974, 320,382,440,"25,675"
Fri 10:07:14 PM,34.1306,-112.4377, 320,374,430,"27,000"
Fri 10:07:44 PM,34.1686,-112.4758, 320,376,433,"27,950"
Fri 10:08:15 PM,34.2101,-112.5176, 320,373,429,"28,000"
