Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 08:21:57 PM,33.4312,-112.0216, 272,178,205,"1,325"
,,,
Fri 08:22:00 PM    Departure (PHX) @ Friday 05:22:00 PM MST,,,Albuquerque Center
,,,
Fri 08:22:13 PM,33.4320,-112.0363, 275,173,199,"2,000"
Fri 08:22:29 PM,33.4327,-112.0510, 271,183,211,"2,425"
Fri 08:22:45 PM,33.4326,-112.0682, 269,202,232,"2,725"
Fri 08:23:01 PM,33.4325,-112.0868, 269,226,260,"2,950"
Fri 08:23:25 PM,33.4328,-112.1191, 272,244,281,"3,725"
Fri 08:23:51 PM,33.4345,-112.1537, 276,243,280,"5,000"
Fri 08:24:09 PM,33.4412,-112.1778, 303,252,290,"5,725"
Fri 08:24:25 PM,33.4552,-112.1927, 332,260,299,"6,400"
Fri 08:24:44 PM,33.4766,-112.1998, 354,273,314,"7,075"
Fri 08:25:03 PM,33.5022,-112.2022, 352,284,327,"7,900"
Fri 08:25:33 PM,33.5395,-112.2136, 345,299,344,"9,000"
Fri 08:25:56 PM,33.5720,-112.2227, 348,306,352,"9,950"
Fri 08:26:26 PM,33.6163,-112.2335, 349,334,384,"10,700"
Fri 08:26:56 PM,33.6623,-112.2449, 349,344,396,"11,650"
Fri 08:27:26 PM,33.7094,-112.2562, 349,351,404,"12,950"
Fri 08:27:56 PM,33.7567,-112.2680, 348,361,415,"14,050"
Fri 08:28:26 PM,33.8080,-112.2805, 348,371,427,"15,250"
Fri 08:28:56 PM,33.8577,-112.2927, 349,381,438,"16,325"
Fri 08:29:26 PM,33.9100,-112.3055, 348,389,448,"17,500"
Fri 08:29:56 PM,33.9639,-112.3187, 349,391,450,"18,750"
Fri 08:30:14 PM,33.9958,-112.3267, 346,391,450,"19,525"
Fri 08:30:30 PM,34.0222,-112.3380, 335,387,445,"20,100"
Fri 08:30:49 PM,34.0514,-112.3591, 324,383,441,"20,825"
Fri 08:31:33 PM,34.1115,-112.4188, 320,391,450,"22,275"
Fri 08:32:03 PM,34.1541,-112.4615, 320,396,456,"23,250"
Fri 08:32:33 PM,34.1958,-112.5037, 320,401,461,"24,150"
Fri 08:33:03 PM,34.2396,-112.5479, 320,405,466,"25,100"
Fri 08:33:33 PM,34.2825,-112.5911, 320,401,461,"25,975"
Fri 08:34:04 PM,34.3279,-112.6371, 320,400,460,"26,000"
Fri 08:34:34 PM,34.3708,-112.6808, 320,400,460,"26,000"
Fri 08:35:04 PM,34.4109,-112.7208, 320,399,459,"26,000"
Fri 08:35:34 PM,34.4548,-112.7653, 320,399,459,"26,000"
Fri 08:36:04 PM,34.4971,-112.8085, 320,399,459,"26,000"
Fri 08:36:35 PM,34.5416,-112.8541, 320,401,461,"26,000"
Fri 08:37:05 PM,34.5838,-112.8972, 320,405,466,"26,000"
Fri 08:37:35 PM,34.6278,-112.9423, 320,404,465,"26,000"
Fri 08:38:05 PM,34.6689,-112.9843, 320,405,466,"26,000"
Fri 08:38:36 PM,34.7145,-113.0308, 320,404,465,"26,000"
