Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 07:23:00 PM    Left Gate (PHX) @ Friday 05:23:00 PM MST,,,Airline
,,,
Taxi Time: 14 minutes,,,
Fri 07:37:41 PM    Departure (PHX) @ Friday 05:37:41 PM MST,,,FlightAware ADS-B (KPHX)
Fri 07:37:41 PM,33.4309,-112.0305, 268,160,184,"1,775"
Fri 07:37:57 PM,33.4308,-112.0444, 270,158,182,"2,450"
Fri 07:38:13 PM,33.4311,-112.0598, 273,187,215,"2,725"
Fri 07:38:29 PM,33.4320,-112.0783, 274,210,242,"3,025"
Fri 07:38:45 PM,33.4329,-112.0979, 273,229,264,"3,350"
Fri 07:39:02 PM,33.4340,-112.1192, 273,241,277,"4,025"
Fri 07:39:32 PM,33.4353,-112.1617, 272,247,284,"5,725"
Fri 07:39:48 PM,33.4396,-112.1817, 300,243,280,"6,600"
Fri 07:40:15 PM,33.4604,-112.2068, 319,247,284,"7,950"
Fri 07:40:45 PM,33.4870,-112.2351, 318,246,283,"9,600"
Fri 07:41:15 PM,33.5109,-112.2613, 318,240,276,"11,275"
Fri 07:41:45 PM,33.5360,-112.2876, 320,243,280,"12,650"
Fri 07:42:15 PM,33.5621,-112.3137, 320,249,287,"13,900"
Fri 07:42:45 PM,33.5889,-112.3405, 320,255,293,"15,125"
Fri 07:43:01 PM,33.6032,-112.3564, 313,259,298,"15,725"
Fri 07:43:45 PM,33.6377,-112.4043, 311,265,305,"17,400"
Fri 07:44:15 PM,33.6618,-112.4386, 310,265,305,"18,600"
Fri 07:44:45 PM,33.6869,-112.4732, 312,273,314,"19,575"
Fri 07:45:15 PM,33.7128,-112.5082, 312,300,345,"19,925"
Fri 07:45:45 PM,33.7413,-112.5464, 312,327,376,"20,250"
Fri 07:46:12 PM,33.7712,-112.5869, 311,353,406,"20,500"
Fri 07:46:42 PM,33.8032,-112.6313, 311,378,435,"20,750"
Fri 07:47:12 PM,33.8383,-112.6799, 311,395,455,"21,025"
Fri 07:47:42 PM,33.8747,-112.7308, 310,403,464,"21,800"
Fri 07:48:12 PM,33.9094,-112.7803, 310,409,471,"22,550"
Fri 07:48:42 PM,33.9468,-112.8344, 309,414,476,"23,275"
Fri 07:49:12 PM,33.9830,-112.8890, 308,419,482,"24,050"
Fri 07:49:42 PM,34.0196,-112.9450, 309,423,487,"24,750"
Fri 07:50:12 PM,34.0573,-113.0013, 310,429,494,"25,325"
Fri 07:50:42 PM,34.0945,-113.0555, 309,431,496,"26,050"
Fri 07:51:12 PM,34.1325,-113.1109, 309,411,473,"27,425"
Fri 07:51:42 PM,34.1681,-113.1644, 308,404,465,"28,000"
Fri 07:52:12 PM,34.2024,-113.2176, 308,403,464,"28,000"
Fri 07:52:42 PM,34.2358,-113.2699, 308,401,461,"28,000"
Fri 07:53:12 PM,34.2702,-113.3235, 308,407,468,"27,975"
Fri 07:53:28 PM,34.2902,-113.3531, 313,406,467,"28,000"
Fri 07:53:44 PM,34.3112,-113.3759, 321,406,467,"28,000"
Fri 07:54:05 PM,34.3426,-113.4031, 327,402,463,"28,000"
Fri 07:54:23 PM,34.3735,-113.4221, 338,400,460,"27,975"
