Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 11:04:17 AM    Departure (PHX) @ Friday 08:04:17 AM MST,,,FlightAware ADS-B (KPHX)
Fri 11:04:17 AM,33.4316,-112.0187, 273,134,154,"2,100"
Fri 11:04:33 AM,33.4319,-112.0326, 271,152,175,"2,775"
Fri 11:04:49 AM,33.4321,-112.0457, 271,173,199,"3,275"
Fri 11:05:05 AM,33.4322,-112.0623, 271,189,217,"4,050"
Fri 11:05:21 AM,33.4329,-112.0790, 274,204,235,"4,825"
Fri 11:05:37 AM,33.4337,-112.0981, 272,227,261,"5,450"
Fri 11:06:07 AM,33.4342,-112.1403, 271,251,289,"7,550"
Fri 11:06:26 AM,33.4378,-112.1637, 292,266,306,"8,925"
Fri 11:06:45 AM,33.4552,-112.1879, 325,299,344,"10,500"
Fri 11:07:03 AM,33.4804,-112.1984, 355,324,373,"12,075"
Fri 11:07:22 AM,33.5081,-112.1982, 2,328,377,"13,625"
Fri 11:07:42 AM,33.5397,-112.1965, 360,334,384,"15,175"
Fri 11:08:19 AM,33.5986,-112.2009, 355,390,449,"16,475"
Fri 11:08:36 AM,33.6313,-112.2061, 349,409,471,"17,100"
Fri 11:08:57 AM,33.6709,-112.2177, 345,414,476,"18,425"
Fri 11:09:27 AM,33.7268,-112.2360, 345,422,486,"20,275"
Fri 11:09:57 AM,33.7847,-112.2552, 345,427,491,"21,725"
Fri 11:10:27 AM,33.8418,-112.2737, 345,435,501,"23,450"
Fri 11:10:57 AM,33.8993,-112.2925, 345,450,518,"24,800"
Fri 11:11:27 AM,33.9610,-112.3127, 345,461,531,"26,200"
Fri 11:11:44 AM,33.9961,-112.3248, 341,457,526,"27,075"
Fri 11:12:05 AM,34.0345,-112.3460, 331,440,506,"27,875"
Fri 11:12:49 AM,34.1028,-112.4096, 320,408,470,"28,000"
Fri 11:13:21 AM,34.1496,-112.4570, 320,405,466,"28,000"
Fri 11:13:51 AM,34.1926,-112.5005, 320,400,460,"28,000"
Fri 11:14:21 AM,34.2353,-112.5437, 320,398,458,"28,000"
Fri 11:14:51 AM,34.2766,-112.5853, 320,402,463,"28,000"
Fri 11:15:21 AM,34.3202,-112.6292, 320,404,465,"28,000"
Fri 11:15:51 AM,34.3615,-112.6710, 320,402,463,"28,000"
Fri 11:16:22 AM,34.4068,-112.7170, 320,402,463,"28,000"
Fri 11:16:52 AM,34.4487,-112.7595, 320,404,465,"28,000"
Fri 11:17:22 AM,34.4924,-112.8039, 320,404,465,"28,000"
Fri 11:17:52 AM,34.5343,-112.8465, 320,403,464,"28,000"
Fri 11:18:23 AM,34.5802,-112.8934, 320,400,460,"28,000"
Fri 11:18:53 AM,34.6237,-112.9379, 320,403,464,"28,000"
Fri 11:19:23 AM,34.6651,-112.9804, 320,409,471,"28,000"
Fri 11:19:59 AM,34.7168,-113.0334, 320,410,472,"28,000"
Fri 11:20:25 AM,34.7538,-113.0721, 317,404,465,"28,000"
Fri 11:20:57 AM,34.7950,-113.1236, 314,396,456,"28,000"
Fri 11:21:28 AM,34.8339,-113.1729, 314,393,452,"28,000"
Fri 11:21:59 AM,34.8727,-113.2221, 314,393,452,"28,000"
Fri 11:22:29 AM,34.9116,-113.2716, 314,394,453,"28,000"
Fri 11:22:59 AM,34.9487,-113.3189, 314,391,450,"27,975"
Fri 11:23:29 AM,34.9867,-113.3663, 315,366,421,"28,000"
Fri 11:24:07 AM,35.0353,-113.4172, 320,376,433,"28,000"
Fri 11:24:37 AM,35.0754,-113.4578, 320,378,435,"27,925"
Fri 11:25:07 AM,35.1146,-113.4971, 320,377,434,"27,425"
Fri 11:25:37 AM,35.1567,-113.5396, 320,378,435,"26,900"
Fri 11:26:07 AM,35.1959,-113.5791, 320,375,432,"26,425"
Fri 11:26:37 AM,35.2360,-113.6198, 320,381,438,"25,925"
Fri 11:27:07 AM,35.2764,-113.6606, 320,381,438,"25,400"
Fri 11:27:37 AM,35.3179,-113.7027, 320,380,437,"24,900"
Fri 11:28:07 AM,35.3588,-113.7442, 320,377,434,"24,400"
Fri 11:28:38 AM,35.4005,-113.7867, 320,379,436,"23,900"
Fri 11:29:08 AM,35.4428,-113.8299, 320,385,443,"23,400"
Fri 11:29:38 AM,35.4837,-113.8716, 321,385,443,"22,925"
Fri 11:30:08 AM,35.5228,-113.9112, 320,382,440,"22,450"
Fri 11:30:38 AM,35.5633,-113.9524, 320,375,432,"21,925"
Fri 11:31:09 AM,35.6043,-113.9945, 320,367,422,"21,400"
Fri 11:31:39 AM,35.6439,-114.0355, 320,368,423,"20,775"
Fri 11:32:10 AM,35.6829,-114.0755, 320,363,418,"19,950"
Fri 11:32:40 AM,35.7223,-114.1158, 320,354,407,"19,075"
Fri 11:32:59 AM,35.7457,-114.1409, 316,345,397,"18,575"
Fri 11:33:23 AM,35.7685,-114.1766, 302,322,371,"17,875"
Fri 11:34:04 AM,35.7969,-114.2402, 299,305,351,"16,975"
Fri 11:34:21 AM,35.8087,-114.2656, 304,293,337,"16,925"
Fri 11:34:40 AM,35.8296,-114.2854, 342,313,360,"16,825"
Fri 11:34:57 AM,35.8547,-114.2864, 12,326,375,"16,600"
Fri 11:35:38 AM,35.9123,-114.2652, 17,315,362,"16,050"
Fri 11:36:08 AM,35.9539,-114.2497, 17,311,358,"15,525"
Fri 11:36:25 AM,35.9769,-114.2457, 355,294,338,"15,275"
Fri 11:36:46 AM,36.0022,-114.2563, 327,270,311,"15,025"
Fri 11:37:05 AM,36.0191,-114.2770, 303,250,288,"14,700"
Fri 11:37:23 AM,36.0271,-114.2997, 284,235,270,"14,425"
Fri 11:37:59 AM,36.0325,-114.3456, 278,230,265,"13,650"
Fri 11:38:29 AM,36.0371,-114.3874, 277,236,272,"12,900"
Fri 11:38:59 AM,36.0411,-114.4252, 277,236,272,"12,350"
Fri 11:39:29 AM,36.0451,-114.4653, 277,233,268,"11,975"
Fri 11:39:59 AM,36.0495,-114.5050, 278,228,262,"11,325"
Fri 11:40:29 AM,36.0534,-114.5429, 277,236,272,"10,550"
Fri 11:40:58 AM,36.0576,-114.5844, 278,236,272,"9,975"
Fri 11:41:28 AM,36.0622,-114.6226, 278,226,260,"9,325"
Fri 11:41:50 AM,36.0655,-114.6517, 277,227,261,"8,625"
Fri 11:42:20 AM,36.0692,-114.6889, 278,222,255,"8,175"
Fri 11:42:50 AM,36.0730,-114.7268, 275,224,258,"8,150"
Fri 11:43:15 AM,36.0733,-114.7583, 270,212,244,"7,700"
Fri 11:43:34 AM,36.0733,-114.7793, 271,211,243,"7,475"
Fri 11:44:04 AM,36.0737,-114.8171, 269,226,260,"6,950"
Fri 11:44:34 AM,36.0737,-114.8563, 270,215,247,"6,675"
Fri 11:44:59 AM,36.0735,-114.8851, 271,203,234,"6,200"
Fri 11:45:29 AM,36.0736,-114.9183, 269,181,208,"5,800"
