Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 10:49:24 AM    Departure (PHX) @ Friday 08:49:24 AM MST,,,FlightAware ADS-B (KSDL)
Fri 10:49:24 AM,33.4311,-111.9914, 90,173,199,"1,650"
Fri 10:49:40 AM,33.4318,-111.9753, 86,176,203,"2,425"
Fri 10:49:56 AM,33.4326,-111.9595, 87,187,215,"3,025"
Fri 10:50:12 AM,33.4336,-111.9404, 86,213,245,"3,500"
Fri 10:50:40 AM,33.4354,-111.9061, 87,251,289,"4,325"
Fri 10:50:58 AM,33.4389,-111.8783, 73,265,305,"5,200"
Fri 10:51:17 AM,33.4528,-111.8572, 35,267,307,"6,225"
Fri 10:51:34 AM,33.4718,-111.8498, 6,269,310,"7,200"
Fri 10:51:56 AM,33.4995,-111.8482, 3,278,320,"8,350"
Fri 10:52:26 AM,33.5398,-111.8450, 4,283,326,"8,925"
Fri 10:53:04 AM,33.5882,-111.8417, 1,289,333,"10,525"
Fri 10:53:22 AM,33.6145,-111.8499, 333,314,361,"10,925"
Fri 10:53:50 AM,33.6445,-111.8867, 309,336,387,"12,000"
Fri 10:54:09 AM,33.6643,-111.9121, 316,336,387,"13,100"
Fri 10:54:39 AM,33.6978,-111.9506, 316,344,396,"14,500"
Fri 10:55:09 AM,33.7327,-111.9909, 316,349,402,"15,975"
Fri 10:55:39 AM,33.7685,-112.0323, 316,356,410,"17,325"
Fri 10:56:19 AM,33.8159,-112.0872, 316,363,418,"19,075"
Fri 10:56:49 AM,33.8535,-112.1308, 316,371,427,"20,200"
Fri 10:57:19 AM,33.8903,-112.1737, 316,372,428,"21,575"
Fri 10:57:49 AM,33.9273,-112.2168, 316,378,435,"22,625"
Fri 10:58:19 AM,33.9659,-112.2617, 316,381,438,"23,750"
Fri 10:58:49 AM,34.0043,-112.3067, 316,383,441,"24,975"
Fri 10:59:15 AM,34.0363,-112.3428, 319,398,458,"25,325"
Fri 10:59:34 AM,34.0636,-112.3699, 320,409,471,"25,575"
Fri 11:00:04 AM,34.1078,-112.4143, 320,418,481,"25,950"
Fri 11:00:34 AM,34.1528,-112.4597, 320,415,478,"26,000"
Fri 11:01:04 AM,34.1965,-112.5036, 320,417,480,"26,000"
Fri 11:01:34 AM,34.2411,-112.5487, 320,417,480,"26,000"
Fri 11:02:04 AM,34.2868,-112.5949, 320,419,482,"26,000"
Fri 11:02:35 AM,34.3332,-112.6418, 320,420,483,"26,000"
Fri 11:03:05 AM,34.3760,-112.6852, 320,420,483,"26,000"
Fri 11:03:36 AM,34.4215,-112.7314, 320,415,478,"26,000"
Fri 11:04:06 AM,34.4675,-112.7782, 320,416,479,"26,000"
Fri 11:04:36 AM,34.5119,-112.8234, 320,418,481,"26,000"
Fri 11:05:06 AM,34.5558,-112.8681, 320,417,480,"26,000"
Fri 11:05:36 AM,34.5984,-112.9116, 320,417,480,"26,000"
Fri 11:06:06 AM,34.6443,-112.9586, 320,421,484,"26,000"
Fri 11:06:36 AM,34.6893,-113.0046, 320,422,486,"26,000"
Fri 11:07:06 AM,34.7346,-113.0510, 320,408,470,"26,000"
Fri 11:07:29 AM,34.7672,-113.0850, 317,406,467,"26,000"
Fri 11:08:12 AM,34.8214,-113.1561, 313,407,468,"26,000"
Fri 11:08:42 AM,34.8600,-113.2056, 314,409,471,"26,000"
Fri 11:09:12 AM,34.9010,-113.2578, 314,407,468,"26,000"
Fri 11:09:42 AM,34.9390,-113.3060, 314,408,470,"26,000"
Fri 11:10:12 AM,34.9772,-113.3545, 314,404,465,"26,000"
Fri 11:10:41 AM,35.0172,-113.3987, 321,404,465,"26,000"
Fri 11:11:11 AM,35.0618,-113.4434, 320,403,464,"26,000"
Fri 11:11:41 AM,35.1045,-113.4865, 320,406,467,"25,800"
Fri 11:12:11 AM,35.1457,-113.5281, 320,403,464,"25,300"
Fri 11:12:41 AM,35.1902,-113.5731, 320,401,461,"24,800"
Fri 11:13:11 AM,35.2321,-113.6154, 320,399,459,"24,300"
Fri 11:13:42 AM,35.2788,-113.6626, 320,399,459,"24,000"
Fri 11:14:12 AM,35.3191,-113.7035, 320,393,452,"24,000"
Fri 11:14:42 AM,35.3624,-113.7476, 320,391,450,"24,000"
Fri 11:15:12 AM,35.4037,-113.7896, 320,389,448,"24,000"
Fri 11:15:42 AM,35.4435,-113.8301, 320,390,449,"23,800"
Fri 11:16:12 AM,35.4854,-113.8729, 320,376,433,"23,300"
Fri 11:16:42 AM,35.5249,-113.9132, 320,374,430,"22,400"
Fri 11:17:12 AM,35.5634,-113.9525, 320,369,425,"21,400"
Fri 11:17:42 AM,35.6036,-113.9937, 320,366,421,"20,350"
Fri 11:18:12 AM,35.6435,-114.0347, 320,363,418,"19,775"
Fri 11:18:42 AM,35.6803,-114.0723, 320,334,384,"19,375"
Fri 11:19:12 AM,35.7142,-114.1074, 320,321,369,"18,800"
Fri 11:19:42 AM,35.7488,-114.1431, 319,312,359,"18,300"
Fri 11:20:27 AM,35.7833,-114.2102, 299,312,359,"17,600"
Fri 11:20:58 AM,35.8044,-114.2568, 299,311,358,"17,075"
Fri 11:21:28 AM,35.8250,-114.3036, 299,311,358,"16,600"
Fri 11:21:48 AM,35.8357,-114.3358, 283,313,360,"16,225"
Fri 11:22:11 AM,35.8334,-114.3771, 261,318,366,"15,850"
Fri 11:22:32 AM,35.8294,-114.4144, 263,318,366,"15,525"
Fri 11:23:01 AM,35.8242,-114.4668, 263,317,365,"15,000"
Fri 11:23:20 AM,35.8209,-114.4982, 264,315,362,"14,725"
Fri 11:23:40 AM,35.8171,-114.5334, 264,312,359,"14,400"
Fri 11:24:10 AM,35.8112,-114.5878, 262,311,358,"13,875"
Fri 11:24:40 AM,35.8055,-114.6403, 263,308,354,"13,375"
Fri 11:25:10 AM,35.7997,-114.6925, 262,306,352,"12,775"
Fri 11:25:40 AM,35.7942,-114.7432, 262,299,344,"12,225"
Fri 11:26:10 AM,35.7885,-114.7951, 262,299,344,"11,675"
Fri 11:26:40 AM,35.7829,-114.8460, 263,299,344,"11,075"
Fri 11:27:10 AM,35.7773,-114.8939, 262,292,336,"10,425"
Fri 11:27:28 AM,35.7740,-114.9244, 263,291,335,"9,875"
Fri 11:27:47 AM,35.7719,-114.9559, 269,287,330,"9,625"
Fri 11:28:17 AM,35.7721,-115.0061, 270,285,328,"9,325"
Fri 11:28:34 AM,35.7720,-115.0321, 270,282,325,"9,025"
Fri 11:28:57 AM,35.7720,-115.0695, 272,270,311,"8,625"
Fri 11:29:13 AM,35.7774,-115.0908, 299,253,291,"8,425"
Fri 11:29:35 AM,35.7923,-115.1136, 310,241,277,"8,075"
Fri 11:30:05 AM,35.8128,-115.1448, 308,218,251,"7,700"
Fri 11:30:32 AM,35.8286,-115.1694, 309,200,230,"7,175"
Fri 11:31:00 AM,35.8465,-115.1924, 314,193,222,"6,275"
Fri 11:31:19 AM,35.8578,-115.2079, 314,187,215,"5,925"
Fri 11:31:38 AM,35.8694,-115.2208, 320,184,212,"5,800"
Fri 11:31:55 AM,35.8810,-115.2311, 327,182,209,"5,750"
Fri 11:32:12 AM,35.8935,-115.2401, 331,184,212,"5,700"
Fri 11:32:30 AM,35.9072,-115.2479, 338,176,203,"5,600"
Fri 11:32:48 AM,35.9213,-115.2536, 349,166,191,"5,450"
Fri 11:33:05 AM,35.9336,-115.2508, 22,166,191,"5,350"
Fri 11:33:24 AM,35.9463,-115.2438, 24,151,174,"5,175"
Fri 11:33:54 AM,35.9642,-115.2337, 24,141,162,"4,775"
Fri 11:34:24 AM,35.9820,-115.2236, 25,142,163,"4,325"
Fri 11:34:40 AM,35.9917,-115.2181, 25,143,165,"4,100"
Fri 11:34:56 AM,36.0008,-115.2129, 25,145,167,"3,850"
Fri 11:35:12 AM,36.0107,-115.2073, 25,142,163,"3,625"
,,,
Fri 11:35:28 AM,36.0203,-115.2018, 24,143,165,"3,375"
,,,
Fri 11:35:44 AM,36.0306,-115.1959, 25,141,162,"3,175"
Fri 11:36:00 AM,36.0403,-115.1903, 26,148,170,"2,950"
Fri 11:36:16 AM,36.0494,-115.1852, 26,144,166,"2,675"
Fri 11:36:32 AM,36.0589,-115.1798, 25,144,166,"2,450"
Fri 11:36:48 AM,36.0681,-115.1745, 25,143,165,"2,225"
Fri 11:37:04 AM,36.0788,-115.1684, 25,147,169,"1,975"
Fri 11:37:21 AM,36.0880,-115.1631, 25,110,127,"1,900"
,,,
Fri 11:37:37 AM    Arrival (LAS) @ Friday 08:37:37 AM PST,,,FlightAware
,,,
Taxi Time: 8 minutes,,,
Fri 11:46:00 AM    Gate Arrival (LAS) @ Friday 08:46:00 AM PST,,,Airline
