Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 11:54:10 AM    Departure (PHX) @ Friday 08:54:10 AM MST,,,FlightAware ADS-B (KSDL)
Fri 11:54:10 AM,33.4313,-111.9896, 87,166,191,"1,825"
Fri 11:54:26 AM,33.4320,-111.9751, 86,173,199,"2,375"
Fri 11:54:42 AM,33.4327,-111.9601, 88,194,223,"2,650"
Fri 11:54:58 AM,33.4334,-111.9410, 88,215,247,"2,975"
Fri 11:55:22 AM,33.4345,-111.9097, 87,226,260,"3,975"
Fri 11:55:42 AM,33.4357,-111.8863, 83,230,265,"4,775"
Fri 11:55:59 AM,33.4421,-111.8657, 59,240,276,"5,500"
Fri 11:56:16 AM,33.4559,-111.8487, 37,253,291,"6,100"
Fri 11:56:32 AM,33.4745,-111.8406, 8,279,321,"6,375"
Fri 11:56:51 AM,33.5013,-111.8401, 1,300,345,"6,875"
Fri 11:57:21 AM,33.5421,-111.8389, 1,311,358,"8,050"
Fri 11:57:51 AM,33.5839,-111.8380, 1,316,364,"9,050"
Fri 11:58:21 AM,33.6299,-111.8370, 1,315,362,"9,100"
Fri 11:58:39 AM,33.6550,-111.8376, 355,314,361,"9,075"
Fri 11:58:59 AM,33.6844,-111.8423, 352,314,361,"9,075"
Fri 11:59:19 AM,33.7140,-111.8482, 345,314,361,"9,200"
Fri 11:59:37 AM,33.7376,-111.8634, 323,312,359,"9,675"
Fri 12:00:18 PM,33.7740,-111.9168, 307,335,386,"10,850"
Fri 12:00:48 PM,33.8041,-111.9657, 306,363,418,"11,550"
Fri 12:01:18 PM,33.8335,-112.0139, 306,368,423,"12,800"
Fri 12:01:48 PM,33.8644,-112.0648, 306,376,433,"14,050"
Fri 12:02:18 PM,33.8966,-112.1180, 306,382,440,"15,300"
Fri 12:02:48 PM,33.9263,-112.1671, 306,390,449,"16,525"
Fri 12:03:18 PM,33.9603,-112.2231, 306,401,461,"17,500"
Fri 12:03:48 PM,33.9926,-112.2763, 306,406,467,"18,725"
Fri 12:04:05 PM,34.0125,-112.3089, 307,408,470,"19,400"
Fri 12:04:32 PM,34.0465,-112.3526, 317,415,478,"20,500"
Fri 12:05:12 PM,34.1052,-112.4124, 320,424,488,"21,800"
Fri 12:05:42 PM,34.1526,-112.4601, 320,429,494,"22,850"
Fri 12:06:12 PM,34.1962,-112.5039, 320,434,499,"23,725"
Fri 12:06:42 PM,34.2436,-112.5518, 320,440,506,"24,625"
Fri 12:07:27 PM,34.3116,-112.6260, 317,447,514,"25,875"
Fri 12:07:58 PM,34.3590,-112.6783, 318,454,522,"26,600"
Fri 12:08:28 PM,34.4071,-112.7308, 318,457,526,"27,375"
Fri 12:08:58 PM,34.4531,-112.7807, 318,457,526,"28,000"
Fri 12:09:28 PM,34.5024,-112.8346, 318,454,522,"28,000"
Fri 12:09:58 PM,34.5487,-112.8854, 318,453,521,"28,000"
Fri 12:10:28 PM,34.5943,-112.9353, 318,455,524,"28,025"
Fri 12:11:00 PM,34.6450,-112.9908, 318,465,535,"28,000"
Fri 12:11:31 PM,34.6941,-113.0447, 318,465,535,"28,000"
Fri 12:12:01 PM,34.7427,-113.0981, 318,467,537,"28,000"
Fri 12:12:31 PM,34.7908,-113.1510, 318,469,540,"28,000"
Fri 12:13:03 PM,34.8409,-113.2066, 318,470,541,"28,000"
Fri 12:13:33 PM,34.8897,-113.2606, 318,471,542,"28,000"
Fri 12:14:03 PM,34.9394,-113.3155, 318,471,542,"28,000"
Fri 12:14:35 PM,34.9906,-113.3721, 319,475,547,"28,000"
Fri 12:15:06 PM,35.0446,-113.4261, 320,478,550,"28,000"
Fri 12:15:37 PM,35.0970,-113.4790, 320,480,552,"28,000"
Fri 12:16:07 PM,35.1483,-113.5310, 320,481,554,"28,000"
Fri 12:16:37 PM,35.1997,-113.5832, 320,481,554,"27,775"
Fri 12:17:07 PM,35.2484,-113.6328, 320,471,542,"26,800"
Fri 12:17:37 PM,35.2997,-113.6846, 320,461,531,"25,675"
Fri 12:18:07 PM,35.3484,-113.7339, 320,454,522,"24,550"
Fri 12:18:37 PM,35.3958,-113.7819, 320,439,505,"24,000"
Fri 12:19:09 PM,35.4484,-113.8354, 320,447,514,"23,975"
Fri 12:19:39 PM,35.4949,-113.8827, 320,449,517,"22,900"
Fri 12:20:09 PM,35.5430,-113.9320, 320,444,511,"21,675"
Fri 12:20:39 PM,35.5901,-113.9803, 320,435,501,"20,650"
Fri 12:21:09 PM,35.6347,-114.0258, 320,427,491,"19,625"
Fri 12:21:39 PM,35.6814,-114.0737, 320,418,481,"18,600"
Fri 12:22:09 PM,35.7249,-114.1182, 320,408,470,"17,625"
Fri 12:22:30 PM,35.7524,-114.1494, 311,402,463,"16,850"
Fri 12:22:51 PM,35.7734,-114.1876, 298,392,451,"16,175"
Fri 12:23:21 PM,35.7990,-114.2451, 299,374,430,"15,525"
Fri 12:23:51 PM,35.8251,-114.3038, 299,382,440,"14,125"
Fri 12:24:14 PM,35.8456,-114.3451, 306,371,427,"13,650"
Fri 12:24:44 PM,35.8780,-114.3966, 307,370,426,"12,575"
Fri 12:25:15 PM,35.9093,-114.4472, 307,362,417,"11,725"
Fri 12:25:45 PM,35.9390,-114.4951, 307,350,403,"11,075"
Fri 12:26:16 PM,35.9685,-114.5428, 307,343,395,"10,200"
Fri 12:26:57 PM,36.0076,-114.6060, 307,303,349,"10,000"
Fri 12:27:27 PM,36.0311,-114.6443, 306,290,334,"9,375"
Fri 12:27:47 PM,36.0462,-114.6731, 301,283,326,"8,875"
Fri 12:28:17 PM,36.0657,-114.7127, 300,266,306,"8,375"
Fri 12:28:35 PM,36.0724,-114.7365, 279,252,290,"8,025"
Fri 12:29:02 PM,36.0731,-114.7740, 271,241,277,"7,475"
Fri 12:29:32 PM,36.0733,-114.8143, 270,240,276,"6,925"
Fri 12:30:02 PM,36.0735,-114.8572, 270,240,276,"6,300"
Fri 12:30:32 PM,36.0736,-114.8966, 271,230,265,"5,675"
Fri 12:31:02 PM,36.0737,-114.9358, 270,219,252,"5,100"
Fri 12:31:32 PM,36.0737,-114.9720, 270,212,244,"4,525"
Fri 12:32:02 PM,36.0737,-115.0079, 270,202,232,"3,975"
Fri 12:32:32 PM,36.0737,-115.0394, 270,177,204,"3,500"
,,,
Fri 12:32:55 PM,36.0737,-115.0633, 270,166,191,"3,150"
,,,
Fri 12:33:11 PM,36.0737,-115.0769, 270,166,191,"2,925"
Fri 12:33:27 PM,36.0737,-115.0926, 270,166,191,"2,675"
Fri 12:33:43 PM,36.0737,-115.1086, 270,166,191,"2,450"
Fri 12:33:59 PM,36.0737,-115.1240, 270,167,192,"2,200"
Fri 12:34:15 PM,36.0737,-115.1374, 270,142,163,"2,075"
,,,
Fri 12:34:47 PM    Arrival (LAS) @ Friday 09:34:47 AM PDT,,,FlightAware
,,,
Taxi Time: 8 minutes,,,
Fri 12:43:00 PM    Gate Arrival (LAS) @ Friday 09:43:00 AM PDT,,,Airline
