Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 12:44:58 PM    Departure (PHX) @ Friday 09:44:58 AM MST,,,FlightAware ADS-B (KPHX)
Fri 12:44:58 PM,33.4312,-111.9973, 88,169,194,"1,475"
Fri 12:45:14 PM,33.4317,-111.9828, 87,174,200,"2,050"
Fri 12:45:30 PM,33.4326,-111.9676, 87,186,214,"2,550"
Fri 12:45:46 PM,33.4339,-111.9481, 85,208,239,"2,875"
Fri 12:46:02 PM,33.4353,-111.9293, 85,235,270,"3,075"
Fri 12:46:21 PM,33.4367,-111.9034, 87,239,275,"3,900"
Fri 12:46:39 PM,33.4379,-111.8797, 82,245,282,"4,650"
Fri 12:46:57 PM,33.4455,-111.8575, 51,256,295,"5,350"
Fri 12:47:14 PM,33.4634,-111.8436, 21,277,319,"5,850"
Fri 12:47:30 PM,33.4828,-111.8405, 359,291,335,"6,200"
Fri 12:47:48 PM,33.5078,-111.8453, 338,298,343,"6,925"
Fri 12:48:09 PM,33.5301,-111.8685, 313,301,346,"7,725"
Fri 12:48:39 PM,33.5579,-111.9038, 313,303,349,"9,125"
Fri 12:49:24 PM,33.6023,-111.9609, 312,327,376,"10,675"
Fri 12:49:43 PM,33.6223,-111.9871, 314,349,402,"10,975"
Fri 12:49:59 PM,33.6410,-112.0060, 325,360,414,"11,450"
Fri 12:50:33 PM,33.6891,-112.0465, 325,365,420,"12,850"
Fri 12:51:03 PM,33.7307,-112.0818, 325,379,436,"13,875"
Fri 12:51:33 PM,33.7732,-112.1177, 325,387,445,"15,100"
Fri 12:52:03 PM,33.8206,-112.1578, 325,397,457,"16,225"
Fri 12:52:33 PM,33.8644,-112.1949, 325,405,466,"17,300"
Fri 12:53:03 PM,33.9102,-112.2339, 325,410,472,"18,450"
Fri 12:53:33 PM,33.9571,-112.2740, 325,412,474,"19,675"
Fri 12:54:03 PM,34.0036,-112.3139, 324,418,481,"20,725"
Fri 12:54:19 PM,34.0291,-112.3363, 322,421,484,"21,200"
Fri 12:54:49 PM,34.0735,-112.3808, 320,425,489,"22,200"
Fri 12:55:19 PM,34.1199,-112.4273, 320,431,496,"23,075"
Fri 12:55:49 PM,34.1662,-112.4739, 320,436,502,"24,000"
Fri 12:56:19 PM,34.2138,-112.5217, 320,439,505,"24,900"
Fri 12:56:49 PM,34.2596,-112.5679, 320,446,513,"25,675"
Fri 12:57:19 PM,34.3063,-112.6151, 320,452,520,"26,425"
Fri 12:57:49 PM,34.3556,-112.6651, 320,455,524,"27,175"
Fri 12:58:19 PM,34.4054,-112.7157, 320,458,527,"27,925"
Fri 12:58:50 PM,34.4553,-112.7665, 320,457,526,"28,000"
Fri 12:59:20 PM,34.5034,-112.8156, 320,455,524,"28,000"
Fri 12:59:51 PM,34.5536,-112.8668, 320,455,524,"28,000"
Fri 01:00:21 PM,34.6024,-112.9164, 320,454,522,"28,000"
Fri 01:00:54 PM,34.6543,-112.9693, 320,454,522,"28,000"
Fri 01:01:24 PM,34.7028,-113.0189, 320,453,521,"28,000"
Fri 01:01:54 PM,34.7492,-113.0668, 317,451,519,"28,000"
Fri 01:02:27 PM,34.7996,-113.1295, 314,451,519,"28,000"
Fri 01:02:57 PM,34.8408,-113.1817, 314,451,519,"28,000"
Fri 01:03:28 PM,34.8884,-113.2420, 314,452,520,"28,000"
