Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 02:17:00 PM    Left Gate (PHX) @ Friday 11:17:00 AM MST,,,Airline
,,,
Taxi Time: 29 minutes,,,
Fri 02:46:03 PM    Departure (PHX) @ Friday 11:46:03 AM MST,,,FlightAware ADS-B (KFFZ)
Fri 02:46:03 PM,33.4311,-112.0024, 90,165,190,"1,350"
Fri 02:46:19 PM,33.4310,-111.9890, 90,158,182,"2,025"
Fri 02:46:35 PM,33.4310,-111.9759, 90,161,185,"2,575"
Fri 02:46:51 PM,33.4311,-111.9604, 88,179,206,"3,025"
Fri 02:47:07 PM,33.4318,-111.9438, 86,206,237,"3,400"
Fri 02:47:23 PM,33.4329,-111.9251, 87,223,257,"3,825"
Fri 02:47:53 PM,33.4348,-111.8835, 87,261,300,"4,675"
Fri 02:48:10 PM,33.4410,-111.8581, 60,277,319,"5,450"
Fri 02:48:27 PM,33.4564,-111.8395, 31,286,329,"6,300"
Fri 02:48:44 PM,33.4771,-111.8333, 2,293,337,"7,100"
Fri 02:49:07 PM,33.5086,-111.8335, 359,305,351,"8,075"
Fri 02:49:37 PM,33.5513,-111.8343, 359,307,353,"9,675"
Fri 02:49:54 PM,33.5748,-111.8343, 1,311,358,"10,475"
Fri 02:50:18 PM,33.6133,-111.8337, 0,344,396,"10,900"
Fri 02:50:38 PM,33.6442,-111.8422, 337,368,423,"11,225"
Fri 02:50:58 PM,33.6724,-111.8662, 318,372,428,"12,050"
Fri 02:51:43 PM,33.7267,-111.9333, 313,373,429,"14,300"
Fri 02:52:13 PM,33.7627,-111.9795, 313,377,434,"15,650"
Fri 02:52:43 PM,33.7991,-112.0275, 312,385,443,"16,775"
Fri 02:53:13 PM,33.8336,-112.0739, 312,394,453,"17,850"
Fri 02:53:43 PM,33.8699,-112.1229, 312,401,461,"18,925"
Fri 02:54:13 PM,33.9076,-112.1733, 312,409,471,"19,900"
Fri 02:54:43 PM,33.9457,-112.2240, 312,417,480,"20,800"
Fri 02:55:13 PM,33.9855,-112.2770, 312,419,482,"21,950"
Fri 02:55:43 PM,34.0244,-112.3285, 314,424,488,"22,900"
Fri 02:56:23 PM,34.0845,-112.3906, 320,433,498,"24,125"
Fri 02:56:53 PM,34.1316,-112.4380, 320,439,505,"24,875"
Fri 02:57:23 PM,34.1795,-112.4865, 320,449,517,"25,550"
Fri 02:57:53 PM,34.2266,-112.5341, 320,447,514,"26,600"
Fri 02:58:23 PM,34.2723,-112.5801, 320,434,499,"27,750"
Fri 02:58:53 PM,34.3198,-112.6282, 320,432,497,"28,000"
Fri 02:59:24 PM,34.3668,-112.6760, 320,434,499,"28,000"
Fri 02:59:54 PM,34.4138,-112.7236, 320,437,503,"28,000"
Fri 03:00:24 PM,34.4594,-112.7698, 320,434,499,"28,000"
Fri 03:00:54 PM,34.5039,-112.8153, 320,437,503,"28,000"
Fri 03:01:24 PM,34.5524,-112.8647, 320,439,505,"28,000"
Fri 03:01:56 PM,34.6033,-112.9166, 320,440,506,"28,050"
Fri 03:02:27 PM,34.6514,-112.9657, 320,440,506,"28,050"
Fri 03:02:57 PM,34.6971,-113.0125, 320,433,498,"28,000"
Fri 03:03:27 PM,34.7428,-113.0593, 320,428,493,"28,000"
Fri 03:03:45 PM,34.7699,-113.0875, 318,429,494,"28,000"
Fri 03:04:15 PM,34.8107,-113.1388, 312,447,514,"28,000"
Fri 03:04:47 PM,34.8584,-113.2027, 313,465,535,"28,000"
Fri 03:05:18 PM,34.9023,-113.2595, 314,467,537,"28,000"
Fri 03:05:49 PM,34.9481,-113.3175, 314,468,539,"28,000"
Fri 03:06:19 PM,34.9943,-113.3751, 317,474,545,"28,000"
Fri 03:07:03 PM,35.0704,-113.4518, 320,477,549,"28,000"
Fri 03:07:34 PM,35.1231,-113.5051, 320,477,549,"28,000"
