Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 02:54:48 PM    Departure (PHX) @ Friday 11:54:48 AM MST,,,FlightAware ADS-B (KCHD)
Fri 02:54:48 PM,33.4314,-112.0304, 272,169,194,"1,825"
Fri 02:55:04 PM,33.4317,-112.0461, 270,172,198,"2,550"
Fri 02:55:20 PM,33.4317,-112.0610, 270,179,206,"2,925"
Fri 02:55:36 PM,33.4316,-112.0774, 271,193,222,"3,200"
Fri 02:55:52 PM,33.4320,-112.0949, 272,211,243,"3,375"
Fri 02:56:10 PM,33.4326,-112.1175, 272,241,277,"3,500"
Fri 02:56:36 PM,33.4340,-112.1565, 274,262,302,"4,350"
Fri 02:56:56 PM,33.4423,-112.1804, 310,260,299,"5,350"
Fri 02:57:13 PM,33.4590,-112.1945, 339,271,312,"5,975"
Fri 02:57:35 PM,33.4856,-112.1972, 1,274,315,"6,875"
Fri 02:58:05 PM,33.5273,-112.1960, 0,277,319,"8,275"
Fri 02:58:34 PM,33.5643,-112.1990, 355,298,343,"9,075"
Fri 02:59:14 PM,33.6200,-112.2042, 354,313,360,"10,500"
Fri 02:59:31 PM,33.6453,-112.2104, 345,330,380,"10,800"
Fri 03:00:01 PM,33.6927,-112.2259, 345,360,414,"11,375"
Fri 03:00:31 PM,33.7407,-112.2414, 345,384,442,"11,900"
Fri 03:01:01 PM,33.7933,-112.2584, 345,394,453,"12,925"
Fri 03:01:31 PM,33.8480,-112.2760, 345,399,459,"14,100"
Fri 03:02:01 PM,33.9007,-112.2931, 345,404,465,"15,150"
Fri 03:02:32 PM,33.9566,-112.3112, 345,410,472,"16,225"
Fri 03:03:00 PM,34.0074,-112.3278, 342,414,476,"17,150"
Fri 03:03:16 PM,34.0382,-112.3455, 328,410,472,"17,650"
Fri 03:03:53 PM,34.0899,-112.3969, 320,414,476,"18,850"
Fri 03:04:23 PM,34.1344,-112.4416, 320,423,487,"19,625"
Fri 03:04:53 PM,34.1805,-112.4877, 320,428,493,"20,525"
Fri 03:05:23 PM,34.2271,-112.5346, 320,431,496,"21,500"
Fri 03:05:53 PM,34.2723,-112.5803, 320,435,501,"22,375"
Fri 03:06:24 PM,34.3218,-112.6304, 320,436,502,"23,400"
Fri 03:06:54 PM,34.3668,-112.6758, 320,437,503,"24,300"
Fri 03:07:24 PM,34.4140,-112.7238, 320,441,507,"25,075"
Fri 03:07:54 PM,34.4609,-112.7716, 320,444,511,"25,825"
Fri 03:08:24 PM,34.5101,-112.8217, 320,461,531,"26,025"
Fri 03:08:55 PM,34.5584,-112.8710, 320,469,540,"26,025"
Fri 03:09:26 PM,34.6127,-112.9263, 320,471,542,"26,025"
Fri 03:09:57 PM,34.6642,-112.9789, 320,466,536,"26,025"
Fri 03:10:28 PM,34.7141,-113.0298, 320,456,525,"26,025"
Fri 03:10:59 PM,34.7640,-113.0812, 320,456,525,"26,025"
Fri 03:11:29 PM,34.8082,-113.1349, 312,453,521,"26,025"
Fri 03:12:10 PM,34.8667,-113.2135, 313,454,522,"26,025"
Fri 03:12:40 PM,34.9095,-113.2688, 314,453,521,"26,025"
Fri 03:13:11 PM,34.9547,-113.3260, 314,454,522,"26,025"
Fri 03:13:39 PM,34.9959,-113.3769, 317,457,526,"26,025"
Fri 03:14:10 PM,35.0468,-113.4279, 321,460,529,"26,025"
Fri 03:14:41 PM,35.0961,-113.4774, 320,459,528,"26,000"
Fri 03:15:11 PM,35.1479,-113.5298, 320,457,526,"25,525"
Fri 03:15:41 PM,35.1953,-113.5778, 320,454,522,"25,075"
Fri 03:16:11 PM,35.2434,-113.6267, 320,449,517,"24,575"
Fri 03:16:41 PM,35.2895,-113.6734, 320,449,517,"24,125"
Fri 03:17:11 PM,35.3385,-113.7232, 320,447,514,"23,575"
Fri 03:17:41 PM,35.3853,-113.7707, 320,444,511,"22,900"
Fri 03:18:11 PM,35.4332,-113.8195, 320,440,506,"21,700"
Fri 03:18:41 PM,35.4814,-113.8686, 320,435,501,"20,475"
Fri 03:19:11 PM,35.5268,-113.9150, 320,429,494,"19,325"
Fri 03:19:41 PM,35.5725,-113.9618, 320,425,489,"18,175"
Fri 03:20:11 PM,35.6161,-114.0063, 320,418,481,"17,200"
Fri 03:20:41 PM,35.6613,-114.0525, 320,400,460,"16,525"
Fri 03:21:11 PM,35.7011,-114.0934, 320,379,436,"16,125"
Fri 03:21:41 PM,35.7425,-114.1361, 320,356,410,"15,875"
Fri 03:22:00 PM,35.7619,-114.1609, 304,340,391,"15,625"
Fri 03:22:31 PM,35.7840,-114.2113, 298,318,366,"15,225"
Fri 03:23:01 PM,35.8053,-114.2586, 301,302,348,"14,875"
Fri 03:23:18 PM,35.8207,-114.2782, 326,303,349,"14,675"
Fri 03:23:36 PM,35.8454,-114.2886, 355,301,346,"14,325"
Fri 03:23:57 PM,35.8733,-114.2888, 1,295,339,"13,925"
Fri 03:24:22 PM,35.9087,-114.2884, 360,287,330,"13,500"
Fri 03:24:52 PM,35.9482,-114.2888, 359,268,308,"13,125"
Fri 03:25:11 PM,35.9705,-114.2888, 0,268,308,"12,800"
Fri 03:25:47 PM,36.0151,-114.2905, 348,261,300,"12,100"
Fri 03:26:07 PM,36.0359,-114.3055, 316,254,292,"11,600"
Fri 03:26:37 PM,36.0593,-114.3359, 309,250,288,"11,050"
Fri 03:26:56 PM,36.0688,-114.3587, 283,238,274,"10,725"
Fri 03:27:12 PM,36.0707,-114.3812, 271,231,266,"10,475"
Fri 03:27:33 PM,36.0713,-114.4070, 268,224,258,"10,175"
Fri 03:27:52 PM,36.0644,-114.4273, 227,208,239,"10,125"
Fri 03:28:10 PM,36.0486,-114.4387, 204,200,230,"10,125"
Fri 03:28:40 PM,36.0229,-114.4542, 209,213,245,"10,100"
Fri 03:28:57 PM,36.0112,-114.4692, 244,217,250,"10,050"
Fri 03:29:15 PM,36.0090,-114.4912, 276,234,269,"9,750"
Fri 03:29:31 PM,36.0167,-114.5096, 312,249,287,"9,500"
Fri 03:29:47 PM,36.0323,-114.5219, 342,253,291,"9,250"
Fri 03:30:07 PM,36.0542,-114.5243, 359,249,287,"8,975"
Fri 03:30:24 PM,36.0737,-114.5339, 317,245,282,"8,650"
Fri 03:30:42 PM,36.0811,-114.5541, 273,224,258,"8,325"
Fri 03:31:00 PM,36.0756,-114.5741, 245,195,224,"8,150"
Fri 03:31:16 PM,36.0727,-114.5923, 267,200,230,"8,125"
Fri 03:31:45 PM,36.0728,-114.6245, 270,197,227,"8,125"
Fri 03:32:04 PM,36.0731,-114.6477, 271,198,228,"8,125"
Fri 03:32:34 PM,36.0731,-114.6803, 270,197,227,"8,125"
Fri 03:33:05 PM,36.0731,-114.7148, 271,195,224,"8,125"
Fri 03:33:35 PM,36.0733,-114.7513, 271,215,247,"7,975"
Fri 03:34:05 PM,36.0735,-114.7865, 270,211,243,"7,525"
Fri 03:34:35 PM,36.0735,-114.8224, 270,207,238,"6,950"
Fri 03:35:05 PM,36.0735,-114.8576, 270,204,235,"6,325"
Fri 03:35:35 PM,36.0736,-114.8934, 271,212,244,"5,800"
Fri 03:36:05 PM,36.0736,-114.9295, 270,214,246,"5,225"
Fri 03:36:35 PM,36.0737,-114.9661, 271,198,228,"4,675"
Fri 03:37:05 PM,36.0737,-114.9988, 271,196,226,"4,125"
Fri 03:37:35 PM,36.0737,-115.0316, 270,184,212,"3,650"
Fri 03:37:54 PM,36.0737,-115.0511, 271,170,196,"3,375"
,,,
Fri 03:38:07 PM,36.0737,-115.0633, 270,160,184,"3,200"
,,,
Fri 03:38:10 PM,36.0737,-115.0663, 270,158,182,"3,150"
Fri 03:38:26 PM,36.0737,-115.0802, 270,153,176,"2,900"
Fri 03:38:42 PM,36.0737,-115.0930, 270,146,168,"2,700"
Fri 03:38:58 PM,36.0737,-115.1066, 270,145,167,"2,525"
Fri 03:39:14 PM,36.0737,-115.1209, 269,149,171,"2,300"
Fri 03:39:32 PM,36.0737,-115.1351, 270,139,160,"2,175"
,,,
Fri 03:40:04 PM    Arrival (LAS) @ Friday 12:40:04 PM PDT,,,Airline
Taxi Time: 12 minutes,,,
