Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 02:14:34 PM    Departure (PHX) @ Friday 12:14:34 PM MST,,,FlightAware ADS-B (KDVT)
Fri 02:14:34 PM,33.4314,-112.0265, 271,161,185,"1,550"
Fri 02:14:50 PM,33.4315,-112.0409, 270,167,192,"2,200"
Fri 02:15:06 PM,33.4314,-112.0557, 269,178,205,"2,550"
Fri 02:15:22 PM,33.4314,-112.0736, 271,195,224,"2,900"
Fri 02:15:38 PM,33.4320,-112.0928, 273,215,247,"3,150"
Fri 02:16:06 PM,33.4334,-112.1235, 273,219,252,"4,300"
Fri 02:16:34 PM,33.4345,-112.1600, 272,231,266,"5,650"
Fri 02:16:50 PM,33.4382,-112.1790, 300,230,265,"6,550"
Fri 02:17:06 PM,33.4514,-112.1932, 332,228,262,"7,525"
Fri 02:17:22 PM,33.4693,-112.1969, 1,240,276,"8,175"
Fri 02:17:38 PM,33.4856,-112.1966, 1,252,290,"8,775"
Fri 02:17:57 PM,33.5091,-112.1964, 1,260,299,"9,725"
Fri 02:18:15 PM,33.5303,-112.1962, 359,262,302,"10,650"
Fri 02:18:49 PM,33.5735,-112.2000, 356,299,344,"11,675"
Fri 02:19:15 PM,33.6121,-112.2033, 355,333,383,"12,125"
Fri 02:19:31 PM,33.6366,-112.2083, 349,341,392,"12,725"
Fri 02:20:09 PM,33.6965,-112.2271, 345,353,406,"14,375"
Fri 02:20:39 PM,33.7440,-112.2424, 345,357,411,"15,750"
Fri 02:21:20 PM,33.8067,-112.2628, 345,366,421,"17,475"
Fri 02:21:48 PM,33.8561,-112.2788, 345,370,426,"18,600"
Fri 02:22:18 PM,33.9059,-112.2950, 345,377,434,"19,475"
Fri 02:22:48 PM,33.9564,-112.3113, 345,380,437,"19,725"
Fri 02:23:12 PM,33.9987,-112.3252, 343,382,440,"20,075"
Fri 02:23:28 PM,34.0249,-112.3383, 334,382,440,"20,375"
Fri 02:23:48 PM,34.0553,-112.3628, 321,384,442,"21,050"
Fri 02:24:18 PM,34.0950,-112.4021, 321,392,451,"21,975"
Fri 02:24:48 PM,34.1376,-112.4447, 320,400,460,"22,900"
Fri 02:25:18 PM,34.1810,-112.4885, 320,405,466,"23,900"
Fri 02:25:48 PM,34.2240,-112.5319, 320,410,472,"24,825"
Fri 02:26:18 PM,34.2679,-112.5764, 320,415,478,"25,700"
Fri 02:26:48 PM,34.3142,-112.6232, 320,419,482,"26,525"
Fri 02:27:18 PM,34.3569,-112.6665, 320,421,484,"27,400"
Fri 02:27:49 PM,34.4048,-112.7149, 320,427,491,"27,975"
Fri 02:28:19 PM,34.4488,-112.7596, 320,429,494,"28,000"
Fri 02:28:49 PM,34.4950,-112.8066, 320,429,494,"28,000"
Fri 02:29:19 PM,34.5408,-112.8534, 320,429,494,"28,000"
Fri 02:29:49 PM,34.5850,-112.8985, 320,429,494,"28,000"
Fri 02:30:21 PM,34.6357,-112.9501, 320,430,495,"28,000"
Fri 02:30:51 PM,34.6808,-112.9962, 320,431,496,"28,000"
Fri 02:31:22 PM,34.7287,-113.0453, 320,431,496,"27,975"
Fri 02:31:41 PM,34.7552,-113.0737, 316,431,496,"27,975"
Fri 02:32:26 PM,34.8183,-113.1532, 314,431,496,"28,000"
Fri 02:32:56 PM,34.8592,-113.2050, 314,431,496,"28,000"
Fri 02:33:26 PM,34.9013,-113.2583, 314,431,496,"28,000"
Fri 02:33:56 PM,34.9421,-113.3104, 314,431,496,"27,975"
Fri 02:34:26 PM,34.9832,-113.3627, 314,429,494,"27,975"
Fri 02:35:08 PM,35.0475,-113.4296, 320,428,493,"27,975"
Fri 02:35:38 PM,35.0919,-113.4743, 320,429,494,"28,000"
Fri 02:36:08 PM,35.1373,-113.5200, 320,425,489,"27,550"
Fri 02:36:40 PM,35.1857,-113.5690, 320,420,483,"27,025"
Fri 02:37:10 PM,35.2311,-113.6147, 320,418,481,"26,525"
Fri 02:37:40 PM,35.2749,-113.6590, 320,417,480,"26,025"
Fri 02:38:15 PM,35.3265,-113.7115, 320,415,478,"25,975"
Fri 02:38:45 PM,35.3710,-113.7567, 320,414,476,"25,975"
Fri 02:39:17 PM,35.4187,-113.8052, 320,403,464,"25,325"
Fri 02:39:47 PM,35.4594,-113.8467, 320,397,457,"24,225"
Fri 02:40:17 PM,35.5046,-113.8927, 320,394,453,"23,100"
Fri 02:40:47 PM,35.5435,-113.9324, 320,395,455,"22,700"
Fri 02:41:18 PM,35.5892,-113.9791, 320,392,451,"21,950"
Fri 02:41:48 PM,35.6296,-114.0208, 320,385,443,"20,850"
Fri 02:42:18 PM,35.6709,-114.0631, 320,381,438,"19,725"
Fri 02:42:49 PM,35.7115,-114.1045, 320,371,427,"18,675"
Fri 02:43:09 PM,35.7384,-114.1325, 318,373,429,"17,975"
Fri 02:43:35 PM,35.7676,-114.1752, 303,377,434,"16,800"
Fri 02:44:15 PM,35.8011,-114.2498, 299,363,418,"15,525"
Fri 02:44:45 PM,35.8252,-114.3038, 299,367,422,"14,125"
Fri 02:45:05 PM,35.8423,-114.3393, 304,363,418,"13,375"
Fri 02:45:35 PM,35.8714,-114.3867, 307,356,410,"12,300"
Fri 02:46:05 PM,35.9014,-114.4347, 308,348,400,"11,300"
Fri 02:46:35 PM,35.9295,-114.4798, 308,322,371,"11,000"
Fri 02:47:05 PM,35.9552,-114.5216, 304,301,346,"10,725"
Fri 02:47:22 PM,35.9670,-114.5477, 295,292,336,"10,500"
Fri 02:47:40 PM,35.9755,-114.5760, 288,283,326,"10,325"
Fri 02:47:58 PM,35.9824,-114.6021, 288,278,320,"10,000"
Fri 02:48:14 PM,35.9890,-114.6273, 289,273,314,"9,650"
Fri 02:48:38 PM,35.9978,-114.6613, 288,271,312,"9,075"
Fri 02:49:08 PM,36.0094,-114.7051, 288,265,305,"8,350"
Fri 02:49:34 PM,36.0191,-114.7422, 288,263,303,"7,775"
Fri 02:49:59 PM,36.0280,-114.7766, 288,259,298,"7,225"
Fri 02:50:29 PM,36.0395,-114.8209, 288,255,293,"6,550"
Fri 02:50:54 PM,36.0481,-114.8538, 288,249,287,"6,100"
Fri 02:51:20 PM,36.0575,-114.8890, 288,253,291,"5,425"
Fri 02:51:40 PM,36.0647,-114.9173, 287,249,287,"5,075"
Fri 02:52:00 PM,36.0712,-114.9443, 284,238,274,"4,875"
Fri 02:52:18 PM,36.0746,-114.9672, 272,244,281,"4,400"
Fri 02:52:34 PM,36.0734,-114.9903, 267,231,266,"4,025"
Fri 02:52:57 PM,36.0737,-115.0176, 271,203,234,"3,550"
Fri 02:53:25 PM,36.0737,-115.0479, 270,180,207,"3,075"
,,,
Fri 02:53:41 PM,36.0737,-115.0642, 270,166,191,"2,850"
,,,
Fri 02:53:57 PM,36.0737,-115.0789, 270,154,177,"2,625"
Fri 02:54:13 PM,36.0737,-115.0924, 270,158,182,"2,400"
Fri 02:54:29 PM,36.0737,-115.1070, 269,159,183,"2,150"
Fri 02:54:45 PM,36.0737,-115.1228, 270,159,183,"1,925"
Fri 02:55:01 PM,36.0737,-115.1303, 270,156,180,"1,800"
,,,
Fri 02:55:33 PM    Arrival (LAS) @ Friday 11:55:33 AM PST,,,FlightAware
,,,
Taxi Time: 4 minutes,,,
Fri 03:00:00 PM    Gate Arrival (LAS) @ Friday 12:00:00 PM PST,,,Airline
