Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 04:14:00 PM    Left Gate (PHX) @ Monday 01:14:00 PM MST,,,Airline
,,,
Taxi Time: 53 minutes,,,
Mon 05:07:45 PM    Departure (PHX) @ Monday 02:07:45 PM MST,,,FlightAware ADS-B (KSDL)
Mon 05:07:45 PM,33.4313,-111.9937, 87,151,174,"1,775"
Mon 05:08:01 PM,33.4319,-111.9802, 87,154,177,"2,375"
Mon 05:08:17 PM,33.4326,-111.9662, 87,174,200,"2,800"
Mon 05:08:33 PM,33.4333,-111.9494, 88,197,227,"3,275"
Mon 05:08:49 PM,33.4339,-111.9311, 88,216,249,"3,800"
Mon 05:09:10 PM,33.4351,-111.9042, 87,241,277,"4,575"
Mon 05:09:29 PM,33.4368,-111.8762, 84,267,307,"5,275"
Mon 05:09:48 PM,33.4434,-111.8504, 64,270,311,"6,400"
Mon 05:10:05 PM,33.4561,-111.8313, 41,279,321,"7,375"
Mon 05:10:23 PM,33.4762,-111.8181, 20,285,328,"8,375"
Mon 05:10:41 PM,33.5015,-111.8146, 352,305,351,"9,100"
Mon 05:10:58 PM,33.5225,-111.8253, 323,308,354,"9,950"
Mon 05:11:28 PM,33.5554,-111.8582, 320,309,356,"11,800"
Mon 05:11:58 PM,33.5893,-111.8920, 320,317,365,"13,375"
Mon 05:12:28 PM,33.6239,-111.9263, 320,324,373,"15,025"
Mon 05:12:58 PM,33.6580,-111.9605, 320,330,380,"16,500"
Mon 05:13:28 PM,33.6934,-111.9961, 320,333,383,"18,075"
Mon 05:13:58 PM,33.7305,-112.0334, 320,346,398,"19,275"
Mon 05:14:28 PM,33.7671,-112.0702, 320,350,403,"20,600"
Mon 05:14:58 PM,33.8053,-112.1088, 320,383,441,"21,000"
Mon 05:15:28 PM,33.8475,-112.1514, 320,397,457,"21,925"
Mon 05:15:58 PM,33.8903,-112.1946, 320,405,466,"22,975"
Mon 05:16:23 PM,33.9266,-112.2312, 320,410,472,"23,975"
Mon 05:16:53 PM,33.9693,-112.2746, 320,405,466,"25,375"
Mon 05:17:09 PM,33.9922,-112.2978, 320,404,465,"26,025"
Mon 05:17:39 PM,34.0352,-112.3414, 320,407,468,"27,025"
Mon 05:18:09 PM,34.0794,-112.3860, 320,427,491,"27,375"
Mon 05:18:39 PM,34.1284,-112.4353, 320,442,509,"27,775"
Mon 05:19:09 PM,34.1748,-112.4817, 320,459,528,"28,000"
Mon 05:19:40 PM,34.2245,-112.5318, 320,458,527,"28,000"
Mon 05:20:10 PM,34.2746,-112.5826, 320,449,517,"28,000"
Mon 05:20:40 PM,34.3229,-112.6312, 320,454,522,"28,175"
Mon 05:21:10 PM,34.3700,-112.6786, 320,460,529,"28,775"
Mon 05:21:40 PM,34.4196,-112.7291, 320,459,528,"29,125"
Mon 05:22:10 PM,34.4677,-112.7780, 320,463,533,"29,700"
Mon 05:22:40 PM,34.5166,-112.8277, 320,461,531,"30,000"
Mon 05:23:10 PM,34.5672,-112.8794, 320,462,532,"30,000"
Mon 05:23:40 PM,34.6159,-112.9294, 320,460,529,"30,000"
Mon 05:24:10 PM,34.6652,-112.9798, 320,449,517,"30,000"
Mon 05:24:40 PM,34.7104,-113.0260, 320,455,524,"30,000"
Mon 05:25:11 PM,34.7602,-113.0770, 320,458,527,"30,000"
Mon 05:25:31 PM,34.7918,-113.1132, 314,455,524,"30,000"
Mon 05:26:01 PM,34.8341,-113.1695, 312,451,519,"30,000"
Mon 05:26:31 PM,34.8763,-113.2253, 313,453,521,"30,000"
Mon 05:27:01 PM,34.9206,-113.2823, 314,454,522,"30,000"
Mon 05:27:32 PM,34.9647,-113.3384, 314,456,525,"30,000"
Mon 05:28:00 PM,35.0074,-113.3890, 320,445,512,"30,000"
Mon 05:28:30 PM,35.0523,-113.4342, 321,415,478,"30,000"
Mon 05:29:00 PM,35.0970,-113.4789, 321,425,489,"28,500"
Mon 05:29:30 PM,35.1442,-113.5263, 320,433,498,"26,925"
Mon 05:29:50 PM,35.1759,-113.5570, 324,417,480,"26,475"
Mon 05:30:10 PM,35.2039,-113.5846, 312,408,470,"26,275"
Mon 05:30:32 PM,35.2246,-113.6279, 289,408,470,"26,125"
Mon 05:30:49 PM,35.2286,-113.6683, 270,409,471,"26,025"
Mon 05:31:35 PM,35.2069,-113.7700, 256,406,467,"26,000"
Mon 05:31:54 PM,35.2051,-113.8131, 278,406,467,"26,000"
Mon 05:32:10 PM,35.2134,-113.8454, 297,398,458,"26,000"
