Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 05:43:00 PM    Left Gate (PHX) @ Monday 02:43:00 PM MST,,,Airline
,,,
Taxi Time: 23 minutes,,,
Mon 06:06:39 PM    Departure (PHX) @ Monday 03:06:39 PM MST,,,FlightAware ADS-B (KFFZ)
Mon 06:06:39 PM,33.4311,-112.0220, 270,176,203,"1,550"
Mon 06:06:55 PM,33.4315,-112.0358, 272,167,192,"2,450"
Mon 06:07:11 PM,33.4320,-112.0504, 272,174,200,"2,975"
Mon 06:07:27 PM,33.4322,-112.0663, 270,184,212,"3,350"
Mon 06:07:43 PM,33.4323,-112.0842, 271,197,227,"3,775"
Mon 06:08:11 PM,33.4332,-112.1177, 272,231,266,"4,325"
Mon 06:08:41 PM,33.4345,-112.1571, 274,247,284,"5,600"
Mon 06:08:57 PM,33.4404,-112.1785, 299,251,289,"6,300"
Mon 06:09:13 PM,33.4530,-112.1929, 328,251,289,"7,025"
Mon 06:09:31 PM,33.4754,-112.1983, 359,267,307,"7,725"
Mon 06:09:59 PM,33.5099,-112.1969, 3,269,310,"8,975"
Mon 06:10:17 PM,33.5330,-112.1961, 359,268,308,"9,900"
Mon 06:10:54 PM,33.5801,-112.2003, 355,300,345,"10,825"
Mon 06:11:18 PM,33.6162,-112.2036, 354,324,373,"11,325"
Mon 06:11:34 PM,33.6386,-112.2085, 347,337,388,"11,600"
Mon 06:12:14 PM,33.7013,-112.2287, 345,350,403,"13,025"
Mon 06:12:44 PM,33.7510,-112.2446, 345,356,410,"14,250"
Mon 06:13:14 PM,33.7992,-112.2601, 345,366,421,"15,175"
Mon 06:13:44 PM,33.8475,-112.2757, 345,369,425,"16,350"
Mon 06:14:14 PM,33.8982,-112.2920, 345,374,430,"17,400"
Mon 06:14:44 PM,33.9465,-112.3077, 345,380,437,"18,300"
Mon 06:15:14 PM,34.0000,-112.3250, 345,389,448,"19,150"
Mon 06:15:31 PM,34.0279,-112.3379, 331,397,457,"19,500"
Mon 06:16:10 PM,34.0836,-112.3906, 320,400,460,"20,600"
Mon 06:16:40 PM,34.1284,-112.4353, 320,407,468,"21,375"
Mon 06:17:10 PM,34.1717,-112.4787, 320,421,484,"21,850"
Mon 06:17:40 PM,34.2166,-112.5239, 320,426,490,"22,550"
Mon 06:18:10 PM,34.2613,-112.5689, 320,424,488,"23,500"
Mon 06:18:40 PM,34.3080,-112.6162, 320,435,501,"23,925"
Mon 06:19:10 PM,34.3535,-112.6621, 320,432,497,"24,000"
Mon 06:19:41 PM,34.4008,-112.7099, 320,431,496,"24,000"
Mon 06:20:14 PM,34.4516,-112.7615, 320,433,498,"24,000"
Mon 06:20:44 PM,34.4988,-112.8098, 320,436,502,"24,000"
Mon 06:21:17 PM,34.5505,-112.8626, 320,436,502,"24,000"
Mon 06:21:47 PM,34.5969,-112.9096, 320,435,501,"24,000"
Mon 06:22:17 PM,34.6415,-112.9553, 320,429,494,"24,025"
Mon 06:22:47 PM,34.6879,-113.0028, 320,429,494,"23,975"
Mon 06:23:17 PM,34.7301,-113.0460, 320,395,455,"24,000"
Mon 06:23:42 PM,34.7640,-113.0811, 319,378,435,"24,000"
Mon 06:24:16 PM,34.8046,-113.1337, 314,370,426,"24,000"
Mon 06:24:40 PM,34.8378,-113.1621, 330,374,430,"24,000"
Mon 06:25:24 PM,34.9042,-113.2055, 332,375,432,"24,000"
Mon 06:25:55 PM,34.9505,-113.2358, 331,370,426,"24,000"
Mon 06:26:27 PM,34.9997,-113.2684, 331,373,429,"24,000"
Mon 06:26:58 PM,35.0463,-113.2993, 331,368,423,"24,000"
Mon 06:27:29 PM,35.0923,-113.3301, 331,371,427,"24,000"
Mon 06:27:59 PM,35.1385,-113.3609, 331,369,425,"24,000"
Mon 06:28:29 PM,35.1826,-113.3903, 331,367,422,"24,000"
Mon 06:28:45 PM,35.2090,-113.4043, 344,366,421,"23,975"
Mon 06:29:27 PM,35.2790,-113.4105, 357,366,421,"23,800"
Mon 06:29:57 PM,35.3305,-113.4144, 356,356,410,"23,325"
Mon 06:30:27 PM,35.3791,-113.4187, 356,352,405,"22,850"
Mon 06:30:57 PM,35.4273,-113.4233, 355,345,397,"22,450"
Mon 06:31:27 PM,35.4745,-113.4288, 354,337,388,"21,925"
Mon 06:31:57 PM,35.5209,-113.4356, 353,339,390,"21,400"
Mon 06:32:28 PM,35.5694,-113.4428, 353,339,390,"20,700"
Mon 06:32:59 PM,35.6171,-113.4484, 355,340,391,"20,125"
Mon 06:33:24 PM,35.6560,-113.4544, 346,334,384,"19,625"
Mon 06:33:41 PM,35.6784,-113.4680, 326,330,380,"19,575"
Mon 06:34:02 PM,35.6988,-113.4991, 299,338,389,"19,525"
Mon 06:34:25 PM,35.7059,-113.5442, 275,341,392,"19,200"
Mon 06:34:55 PM,35.7107,-113.5999, 277,335,386,"18,775"
Mon 06:35:25 PM,35.7161,-113.6583, 276,331,381,"18,275"
Mon 06:35:55 PM,35.7208,-113.7120, 276,327,376,"17,800"
Mon 06:36:25 PM,35.7255,-113.7669, 276,327,376,"17,250"
Mon 06:36:55 PM,35.7305,-113.8229, 276,330,380,"16,800"
Mon 06:37:25 PM,35.7356,-113.8808, 276,327,376,"16,225"
Mon 06:37:56 PM,35.7402,-113.9349, 276,320,368,"15,775"
Mon 06:38:26 PM,35.7448,-113.9880, 276,319,367,"15,325"
Mon 06:38:56 PM,35.7496,-114.0441, 276,322,371,"14,775"
Mon 06:39:26 PM,35.7540,-114.0988, 275,315,362,"14,275"
Mon 06:39:50 PM,35.7580,-114.1419, 278,312,359,"14,000"
Mon 06:40:07 PM,35.7656,-114.1676, 295,312,359,"14,000"
Mon 06:40:38 PM,35.7880,-114.2181, 298,315,362,"14,000"
Mon 06:41:09 PM,35.8088,-114.2658, 298,313,360,"14,000"
Mon 06:41:39 PM,35.8293,-114.3123, 298,310,357,"14,000"
Mon 06:41:56 PM,35.8360,-114.3392, 280,316,364,"14,000"
Mon 06:42:38 PM,35.8298,-114.4151, 263,311,358,"14,025"
Mon 06:43:08 PM,35.8242,-114.4683, 262,311,358,"14,000"
Mon 06:43:38 PM,35.8184,-114.5218, 263,314,361,"14,000"
Mon 06:44:08 PM,35.8128,-114.5740, 262,314,361,"13,875"
Mon 06:44:38 PM,35.8069,-114.6282, 263,309,356,"13,300"
Mon 06:45:08 PM,35.8011,-114.6806, 263,309,356,"12,925"
Mon 06:45:38 PM,35.7957,-114.7301, 263,295,339,"12,525"
Mon 06:46:08 PM,35.7905,-114.7774, 262,276,318,"12,275"
Mon 06:46:38 PM,35.7854,-114.8237, 262,262,302,"11,975"
Mon 06:47:08 PM,35.7807,-114.8656, 262,250,288,"11,525"
Mon 06:47:38 PM,35.7759,-114.9088, 262,251,289,"10,850"
Mon 06:48:00 PM,35.7724,-114.9407, 264,247,284,"10,400"
Mon 06:48:24 PM,35.7720,-114.9723, 270,243,280,"9,925"
Mon 06:48:54 PM,35.7718,-115.0148, 270,243,280,"9,275"
Mon 06:49:24 PM,35.7717,-115.0554, 270,246,283,"9,025"
Mon 06:49:54 PM,35.7716,-115.0994, 270,244,281,"8,925"
Mon 06:50:24 PM,35.7715,-115.1401, 270,238,274,"8,375"
Mon 06:50:54 PM,35.7709,-115.1797, 267,233,268,"7,950"
Mon 06:51:24 PM,35.7693,-115.2190, 268,244,281,"8,000"
Mon 06:51:41 PM,35.7703,-115.2424, 278,241,277,"8,000"
Mon 06:51:59 PM,35.7782,-115.2651, 305,227,261,"8,000"
Mon 06:52:23 PM,35.7946,-115.2898, 310,229,264,"8,000"
Mon 06:52:40 PM,35.8072,-115.3059, 324,226,260,"7,975"
Mon 06:52:56 PM,35.8223,-115.3093, 5,222,255,"8,025"
Mon 06:53:13 PM,35.8389,-115.3013, 26,221,254,"7,975"
Mon 06:53:43 PM,35.8649,-115.2865, 25,211,243,"7,425"
Mon 06:54:13 PM,35.8921,-115.2714, 24,208,239,"6,475"
Mon 06:54:43 PM,35.9160,-115.2578, 25,185,213,"6,050"
Mon 06:55:13 PM,35.9389,-115.2445, 27,174,200,"5,150"
Mon 06:55:43 PM,35.9590,-115.2326, 25,169,194,"4,775"
,,,
Mon 06:56:05 PM,35.9749,-115.2237, 25,154,177,"4,375"
,,,
Mon 06:56:21 PM,35.9846,-115.2179, 26,143,165,"4,125"
Mon 06:56:37 PM,35.9943,-115.2125, 24,151,174,"3,975"
Mon 06:56:53 PM,36.0041,-115.2072, 24,150,173,"3,775"
Mon 06:57:09 PM,36.0137,-115.2017, 25,147,169,"3,575"
,,,
Mon 06:57:21 PM,36.0214,-115.1975, 24,143,165,"3,400"
,,,
Mon 06:57:25 PM,36.0235,-115.1964, 24,144,166,"3,350"
Mon 06:57:41 PM,36.0343,-115.1902, 25,145,167,"3,050"
Mon 06:57:57 PM,36.0430,-115.1852, 25,148,170,"2,900"
Mon 06:58:13 PM,36.0534,-115.1793, 25,154,177,"2,675"
Mon 06:58:29 PM,36.0641,-115.1733, 25,152,175,"2,450"
Mon 06:58:45 PM,36.0740,-115.1676, 25,150,173,"2,250"
Mon 06:59:01 PM,36.0836,-115.1622, 25,129,148,"2,125"
,,,
Mon 06:59:33 PM    Arrival (LAS) @ Monday 03:59:33 PM PDT,,,FlightAware
,,,
Taxi Time: 8 minutes,,,
Mon 07:08:00 PM    Gate Arrival (LAS) @ Monday 04:08:00 PM PDT,,,Airline
