Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 05:46:00 PM    Left Gate (PHX) @ Monday 02:46:00 PM MST,,,Airline
,,,
Taxi Time: 13 minutes,,,
Mon 05:59:34 PM    Departure (PHX) @ Monday 02:59:34 PM MST,,,FlightAware ADS-B (KPHX)
Mon 05:59:34 PM,33.4312,-112.0256, 270,170,196,"1,700"
Mon 05:59:50 PM,33.4311,-112.0403, 270,161,185,"2,600"
Mon 06:00:06 PM,33.4311,-112.0550, 271,179,206,"2,925"
Mon 06:00:22 PM,33.4314,-112.0718, 272,196,226,"3,275"
Mon 06:00:38 PM,33.4317,-112.0897, 271,219,252,"3,625"
Mon 06:01:00 PM,33.4325,-112.1174, 273,218,251,"4,775"
Mon 06:01:30 PM,33.4340,-112.1548, 273,242,278,"5,875"
Mon 06:01:46 PM,33.4391,-112.1757, 299,252,290,"6,550"
Mon 06:02:02 PM,33.4539,-112.1925, 331,264,304,"7,225"
Mon 06:02:20 PM,33.4738,-112.1979, 359,271,312,"8,075"
Mon 06:02:44 PM,33.5042,-112.1974, 0,262,302,"9,750"
Mon 06:03:03 PM,33.5285,-112.1965, 359,284,327,"10,375"
Mon 06:03:20 PM,33.5500,-112.1979, 356,288,331,"11,125"
Mon 06:03:50 PM,33.5909,-112.2010, 356,294,338,"12,725"
Mon 06:04:09 PM,33.6155,-112.2034, 354,301,346,"13,525"
Mon 06:04:29 PM,33.6448,-112.2103, 345,326,375,"13,950"
Mon 06:04:51 PM,33.6795,-112.2215, 345,356,410,"14,275"
Mon 06:05:21 PM,33.7300,-112.2377, 345,383,441,"15,100"
Mon 06:05:51 PM,33.7799,-112.2538, 345,379,436,"16,750"
Mon 06:06:21 PM,33.8295,-112.2701, 345,377,434,"18,375"
Mon 06:06:51 PM,33.8826,-112.2874, 345,392,451,"19,450"
Mon 06:07:21 PM,33.9353,-112.3044, 345,408,470,"20,325"
Mon 06:07:51 PM,33.9898,-112.3222, 343,419,482,"21,325"
Mon 06:08:13 PM,34.0304,-112.3429, 332,421,484,"22,150"
Mon 06:08:33 PM,34.0629,-112.3700, 320,428,493,"22,650"
Mon 06:09:07 PM,34.1174,-112.4247, 320,441,507,"23,550"
Mon 06:09:38 PM,34.1659,-112.4734, 320,449,517,"24,475"
Mon 06:10:08 PM,34.2135,-112.5213, 320,450,518,"25,525"
Mon 06:10:38 PM,34.2588,-112.5671, 320,446,513,"25,975"
Mon 06:11:08 PM,34.3064,-112.6154, 320,444,511,"25,975"
Mon 06:11:38 PM,34.3543,-112.6639, 320,443,510,"25,975"
Mon 06:12:09 PM,34.4022,-112.7124, 320,443,510,"25,975"
Mon 06:12:39 PM,34.4499,-112.7607, 320,445,512,"25,975"
Mon 06:13:09 PM,34.4981,-112.8098, 320,447,514,"25,975"
Mon 06:13:39 PM,34.5448,-112.8573, 320,449,517,"25,975"
Mon 06:14:09 PM,34.5927,-112.9062, 320,447,514,"26,000"
Mon 06:14:39 PM,34.6411,-112.9558, 320,447,514,"25,975"
Mon 06:15:09 PM,34.6887,-113.0045, 320,446,513,"25,975"
Mon 06:15:39 PM,34.7354,-113.0525, 320,446,513,"25,975"
Mon 06:16:22 PM,34.7989,-113.1287, 314,444,511,"25,975"
Mon 06:16:53 PM,34.8439,-113.1856, 314,442,509,"25,975"
Mon 06:17:23 PM,34.8840,-113.2364, 314,441,507,"25,975"
Mon 06:17:53 PM,34.9253,-113.2890, 314,440,506,"25,975"
Mon 06:18:25 PM,34.9723,-113.3487, 314,439,505,"25,975"
Mon 06:18:49 PM,35.0088,-113.3905, 320,438,504,"25,975"
Mon 06:19:20 PM,35.0553,-113.4373, 320,437,503,"25,975"
Mon 06:19:50 PM,35.1027,-113.4851, 320,435,501,"25,975"
Mon 06:20:23 PM,35.1515,-113.5343, 320,432,497,"25,975"
Mon 06:20:56 PM,35.2040,-113.5873, 320,430,495,"25,975"
Mon 06:21:27 PM,35.2510,-113.6350, 320,428,493,"25,975"
Mon 06:21:57 PM,35.2971,-113.6816, 320,427,491,"25,975"
Mon 06:22:27 PM,35.3418,-113.7271, 320,426,490,"25,975"
Mon 06:22:58 PM,35.3883,-113.7744, 320,417,480,"25,975"
Mon 06:23:29 PM,35.4339,-113.8206, 320,409,471,"25,675"
Mon 06:23:59 PM,35.4779,-113.8656, 320,403,464,"24,525"
Mon 06:24:29 PM,35.5191,-113.9077, 320,398,458,"23,400"
Mon 06:24:59 PM,35.5614,-113.9509, 320,392,451,"22,425"
Mon 06:25:30 PM,35.6046,-113.9953, 320,383,441,"21,400"
Mon 06:26:00 PM,35.6452,-114.0369, 320,376,433,"20,425"
Mon 06:26:30 PM,35.6850,-114.0776, 320,369,425,"19,500"
Mon 06:27:00 PM,35.7232,-114.1167, 320,344,396,"19,175"
Mon 06:27:16 PM,35.7431,-114.1373, 319,337,388,"19,025"
Mon 06:27:38 PM,35.7654,-114.1699, 303,333,383,"18,975"
Mon 06:28:15 PM,35.7917,-114.2285, 299,332,382,"19,000"
Mon 06:28:45 PM,35.8148,-114.2803, 298,334,384,"19,000"
Mon 06:29:08 PM,35.8308,-114.3189, 290,334,384,"19,000"
Mon 06:29:28 PM,35.8356,-114.3543, 271,337,388,"18,975"
Mon 06:30:08 PM,35.8283,-114.4309, 263,331,381,"18,100"
Mon 06:30:38 PM,35.8222,-114.4861, 262,328,377,"17,350"
Mon 06:31:08 PM,35.8159,-114.5428, 262,324,373,"16,600"
Mon 06:31:38 PM,35.8103,-114.5952, 263,321,369,"15,900"
Mon 06:32:08 PM,35.8044,-114.6496, 262,316,364,"15,175"
Mon 06:32:38 PM,35.7987,-114.7029, 262,311,358,"14,400"
Mon 06:33:08 PM,35.7927,-114.7560, 263,310,357,"13,575"
Mon 06:33:38 PM,35.7871,-114.8070, 263,304,350,"12,925"
Mon 06:34:08 PM,35.7814,-114.8581, 262,301,346,"12,250"
Mon 06:34:38 PM,35.7754,-114.9113, 262,296,341,"11,575"
Mon 06:34:55 PM,35.7724,-114.9391, 264,294,338,"11,225"
Mon 06:35:40 PM,35.7718,-115.0082, 270,258,297,"10,775"
Mon 06:36:10 PM,35.7718,-115.0516, 270,254,292,"10,200"
Mon 06:36:40 PM,35.7716,-115.0936, 270,248,285,"9,625"
Mon 06:37:09 PM,35.7717,-115.1348, 269,238,274,"8,900"
Mon 06:37:34 PM,35.7716,-115.1685, 269,234,269,"8,275"
Mon 06:37:52 PM,35.7724,-115.1912, 282,235,270,"8,000"
Mon 06:38:09 PM,35.7814,-115.2096, 309,229,264,"7,975"
Mon 06:38:39 PM,35.8010,-115.2399, 309,225,259,"7,350"
Mon 06:39:05 PM,35.8181,-115.2666, 311,221,254,"6,975"
Mon 06:39:24 PM,35.8346,-115.2769, 354,214,246,"6,950"
Mon 06:39:40 PM,35.8497,-115.2768, 360,202,232,"6,975"
Mon 06:40:03 PM,35.8703,-115.2772, 359,197,227,"6,600"
Mon 06:40:20 PM,35.8861,-115.2749, 16,191,220,"6,200"
Mon 06:40:47 PM,35.9063,-115.2633, 25,182,209,"5,750"
Mon 06:41:12 PM,35.9255,-115.2526, 24,175,201,"5,375"
Mon 06:41:42 PM,35.9476,-115.2397, 27,173,199,"4,875"
Mon 06:42:05 PM,35.9642,-115.2302, 24,168,193,"4,600"
,,,
Mon 06:42:23 PM,35.9764,-115.2235, 25,166,191,"4,325"
,,,
Mon 06:42:38 PM,35.9870,-115.2175, 26,160,184,"4,075"
Mon 06:42:54 PM,35.9980,-115.2111, 24,163,188,"3,900"
Mon 06:43:10 PM,36.0080,-115.2053, 25,154,177,"3,750"
Mon 06:43:26 PM,36.0187,-115.1989, 25,151,174,"3,475"
,,,
