Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 08:07:00 PM    Left Gate (PHX) @ Monday 05:07:00 PM MST,,,Airline
,,,
Taxi Time: 15 minutes,,,
Mon 08:22:12 PM    Departure (PHX) @ Monday 05:22:12 PM MST,,,FlightAware ADS-B (KGEU)
Mon 08:22:12 PM,33.4308,-112.0307, 269,175,201,"1,575"
Mon 08:22:28 PM,33.4309,-112.0460, 272,178,205,"2,175"
Mon 08:22:44 PM,33.4316,-112.0630, 273,184,212,"2,800"
Mon 08:23:00 PM,33.4323,-112.0787, 273,198,228,"3,100"
Mon 08:23:16 PM,33.4328,-112.0971, 272,212,244,"3,500"
Mon 08:23:32 PM,33.4332,-112.1166, 271,231,266,"3,825"
Mon 08:24:02 PM,33.4341,-112.1554, 273,239,275,"5,000"
Mon 08:24:20 PM,33.4407,-112.1794, 306,245,282,"5,700"
Mon 08:24:38 PM,33.4565,-112.1935, 337,249,287,"6,425"
Mon 08:24:54 PM,33.4758,-112.1963, 1,252,290,"7,150"
Mon 08:25:13 PM,33.4985,-112.1963, 360,256,295,"7,850"
Mon 08:25:38 PM,33.5258,-112.1961, 360,259,298,"9,100"
Mon 08:26:01 PM,33.5540,-112.1983, 356,261,300,"10,300"
Mon 08:26:41 PM,33.6050,-112.2026, 356,284,327,"12,025"
Mon 08:26:59 PM,33.6282,-112.2060, 350,291,335,"12,800"
Mon 08:27:43 PM,33.6864,-112.2239, 345,293,337,"15,075"
Mon 08:28:14 PM,33.7273,-112.2372, 345,302,348,"16,425"
Mon 08:28:44 PM,33.7704,-112.2511, 345,314,361,"17,675"
Mon 08:29:14 PM,33.8130,-112.2649, 345,324,373,"18,775"
Mon 08:29:44 PM,33.8559,-112.2787, 345,328,377,"20,000"
Mon 08:30:14 PM,33.8991,-112.2927, 345,332,382,"20,950"
Mon 08:30:47 PM,33.9495,-112.3091, 345,331,381,"21,000"
Mon 08:31:17 PM,33.9947,-112.3239, 345,331,381,"20,975"
Mon 08:31:39 PM,34.0250,-112.3372, 333,328,377,"21,000"
Mon 08:32:00 PM,34.0511,-112.3586, 320,331,381,"21,325"
Mon 08:32:33 PM,34.0901,-112.3972, 321,338,389,"22,400"
Mon 08:33:03 PM,34.1264,-112.4333, 320,343,395,"23,400"
Mon 08:33:33 PM,34.1628,-112.4701, 320,346,398,"24,400"
Mon 08:34:03 PM,34.2007,-112.5083, 320,346,398,"25,550"
Mon 08:34:33 PM,34.2356,-112.5437, 320,349,402,"26,000"
Mon 08:35:03 PM,34.2748,-112.5833, 320,349,402,"26,000"
Mon 08:35:33 PM,34.3105,-112.6195, 320,348,400,"26,000"
Mon 08:36:04 PM,34.3494,-112.6590, 320,347,399,"26,000"
Mon 08:36:34 PM,34.3857,-112.6958, 320,347,399,"26,000"
Mon 08:37:04 PM,34.4242,-112.7346, 320,347,399,"26,000"
Mon 08:37:34 PM,34.4606,-112.7714, 320,348,400,"26,000"
Mon 08:38:04 PM,34.4969,-112.8084, 320,348,400,"26,000"
Mon 08:38:34 PM,34.5335,-112.8458, 320,347,399,"26,000"
Mon 08:39:05 PM,34.5738,-112.8869, 320,346,398,"26,000"
Mon 08:39:35 PM,34.6090,-112.9227, 320,344,396,"26,000"
