Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 10:14:24 AM    Departure (PHX) @ Monday 07:14:24 AM MST,,,FlightAware ADS-B (KCHD)
Mon 10:14:24 AM,33.4310,-112.0011, 90,162,186,"1,375"
Mon 10:14:40 AM,33.4315,-111.9862, 87,162,186,"2,075"
Mon 10:14:56 AM,33.4322,-111.9702, 87,174,200,"2,475"
Mon 10:15:12 AM,33.4328,-111.9550, 88,188,216,"2,925"
Mon 10:15:28 AM,33.4335,-111.9368, 87,198,228,"3,425"
Mon 10:15:55 AM,33.4352,-111.9062, 86,221,254,"4,125"
Mon 10:16:12 AM,33.4366,-111.8864, 82,230,265,"4,700"
Mon 10:16:28 AM,33.4430,-111.8658, 59,247,284,"5,075"
Mon 10:16:46 AM,33.4593,-111.8482, 28,261,300,"5,650"
Mon 10:17:02 AM,33.4779,-111.8421, 5,269,310,"6,275"
Mon 10:17:29 AM,33.5098,-111.8411, 2,279,321,"7,150"
Mon 10:17:59 AM,33.5508,-111.8399, 1,290,334,"8,325"
Mon 10:18:29 AM,33.5930,-111.8385, 2,297,342,"8,925"
Mon 10:18:59 AM,33.6339,-111.8372, 2,296,341,"9,075"
Mon 10:19:15 AM,33.6547,-111.8380, 350,297,342,"9,100"
Mon 10:19:34 AM,33.6778,-111.8516, 319,300,345,"9,375"
Mon 10:19:57 AM,33.6985,-111.8796, 311,304,350,"10,275"
Mon 10:20:36 AM,33.7382,-111.9334, 311,337,388,"11,150"
Mon 10:21:06 AM,33.7708,-111.9783, 311,359,413,"11,800"
Mon 10:21:36 AM,33.8038,-112.0238, 311,353,406,"13,400"
Mon 10:22:17 AM,33.8454,-112.0816, 311,351,404,"15,425"
Mon 10:22:47 AM,33.8775,-112.1261, 311,369,425,"16,225"
Mon 10:23:17 AM,33.9147,-112.1774, 311,381,438,"17,300"
Mon 10:23:47 AM,33.9484,-112.2242, 311,381,438,"18,550"
Mon 10:24:12 AM,33.9775,-112.2646, 311,384,442,"19,475"
Mon 10:24:32 AM,33.9995,-112.2953, 311,386,444,"20,250"
Mon 10:24:55 AM,34.0290,-112.3345, 316,395,455,"20,925"
Mon 10:25:25 AM,34.0713,-112.3782, 320,408,470,"21,625"
Mon 10:25:55 AM,34.1143,-112.4215, 320,417,480,"22,375"
Mon 10:26:25 AM,34.1590,-112.4665, 320,422,486,"23,250"
Mon 10:26:55 AM,34.2047,-112.5126, 320,426,490,"24,175"
Mon 10:27:25 AM,34.2482,-112.5566, 320,425,489,"25,125"
Mon 10:27:56 AM,34.2979,-112.6067, 320,424,488,"26,175"
Mon 10:28:26 AM,34.3422,-112.6516, 320,425,489,"27,025"
Mon 10:28:56 AM,34.3872,-112.6972, 320,427,491,"27,750"
