Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 10:03:06 PM    Departure (PHX) @ Monday 07:03:06 PM MST,,,FlightAware ADS-B (KFFZ)
Mon 10:03:06 PM,33.4313,-112.0242, 272,147,169,"1,925"
Mon 10:03:22 PM,33.4316,-112.0362, 272,154,177,"2,450"
Mon 10:03:38 PM,33.4317,-112.0513, 270,168,193,"2,975"
Mon 10:03:54 PM,33.4317,-112.0666, 270,177,204,"3,575"
Mon 10:04:10 PM,33.4317,-112.0834, 270,197,227,"4,025"
Mon 10:04:39 PM,33.4328,-112.1154, 273,213,245,"5,250"
Mon 10:05:09 PM,33.4340,-112.1549, 273,243,280,"6,275"
Mon 10:05:26 PM,33.4382,-112.1757, 296,245,282,"7,075"
Mon 10:05:42 PM,33.4522,-112.1918, 331,252,290,"7,975"
Mon 10:06:00 PM,33.4710,-112.1974, 360,254,292,"9,075"
Mon 10:06:42 PM,33.5212,-112.1952, 1,258,297,"11,800"
Mon 10:07:21 PM,33.5718,-112.1989, 356,306,352,"13,300"
Mon 10:07:50 PM,33.6139,-112.2028, 354,348,400,"13,825"
Mon 10:08:08 PM,33.6463,-112.2110, 342,362,417,"14,700"
Mon 10:08:29 PM,33.6764,-112.2285, 328,375,432,"15,550"
Mon 10:09:04 PM,33.7275,-112.2721, 325,389,448,"17,375"
Mon 10:09:34 PM,33.7725,-112.3105, 324,396,456,"18,875"
Mon 10:10:04 PM,33.8170,-112.3491, 324,401,461,"20,375"
Mon 10:10:34 PM,33.8623,-112.3882, 324,407,468,"21,725"
Mon 10:11:04 PM,33.9091,-112.4285, 324,413,475,"23,125"
Mon 10:11:34 PM,33.9553,-112.4685, 324,408,470,"24,725"
Mon 10:12:04 PM,34.0019,-112.5086, 325,393,452,"26,725"
Mon 10:12:34 PM,34.0449,-112.5457, 324,381,438,"27,875"
Mon 10:13:04 PM,34.0876,-112.5825, 324,372,428,"28,000"
Mon 10:13:37 PM,34.1335,-112.6221, 324,370,426,"28,025"
Mon 10:14:07 PM,34.1760,-112.6587, 324,365,420,"28,000"
Mon 10:14:39 PM,34.2192,-112.6960, 324,361,415,"28,000"
Mon 10:15:10 PM,34.2594,-112.7310, 324,359,413,"28,000"
Mon 10:15:40 PM,34.3003,-112.7665, 324,363,418,"28,000"
Mon 10:16:12 PM,34.3460,-112.8062, 324,370,426,"28,000"
Mon 10:16:43 PM,34.3862,-112.8416, 324,368,423,"28,000"
Mon 10:17:15 PM,34.4321,-112.8810, 324,365,420,"28,000"
Mon 10:17:45 PM,34.4729,-112.9165, 324,362,417,"28,000"
Mon 10:18:15 PM,34.5140,-112.9527, 324,364,419,"28,000"
Mon 10:18:45 PM,34.5528,-112.9869, 324,365,420,"28,000"
Mon 10:19:16 PM,34.5964,-113.0250, 324,366,421,"28,000"
Mon 10:19:46 PM,34.6366,-113.0602, 324,366,421,"28,000"
Mon 10:20:16 PM,34.6793,-113.0976, 324,365,420,"28,000"
Mon 10:20:46 PM,34.7192,-113.1325, 324,364,419,"28,000"
Mon 10:21:16 PM,34.7605,-113.1690, 324,364,419,"28,000"
Mon 10:21:46 PM,34.8019,-113.2055, 324,364,419,"28,000"
Mon 10:22:16 PM,34.8414,-113.2404, 324,362,417,"28,000"
Mon 10:22:46 PM,34.8830,-113.2773, 324,361,415,"28,000"
Mon 10:23:16 PM,34.9230,-113.3126, 324,361,415,"28,000"
Mon 10:23:46 PM,34.9648,-113.3497, 324,361,415,"28,000"
Mon 10:24:07 PM,34.9940,-113.3759, 322,360,414,"28,000"
Mon 10:24:38 PM,35.0328,-113.4147, 321,357,411,"28,000"
Mon 10:25:08 PM,35.0710,-113.4532, 320,354,407,"28,000"
Mon 10:25:38 PM,35.1083,-113.4907, 320,353,406,"28,000"
Mon 10:26:08 PM,35.1462,-113.5292, 320,352,405,"28,000"
Mon 10:26:38 PM,35.1847,-113.5679, 320,350,403,"28,000"
Mon 10:27:08 PM,35.2214,-113.6049, 320,329,379,"27,975"
Mon 10:27:38 PM,35.2531,-113.6373, 320,302,348,"28,000"
Mon 10:28:08 PM,35.2852,-113.6698, 321,293,337,"28,000"
Mon 10:28:25 PM,35.3030,-113.6883, 316,294,338,"28,000"
Mon 10:28:45 PM,35.3175,-113.7155, 291,314,361,"28,000"
Mon 10:29:08 PM,35.3220,-113.7590, 264,337,388,"28,000"
Mon 10:29:25 PM,35.3129,-113.7914, 242,356,410,"28,000"
Mon 10:29:44 PM,35.2925,-113.8187, 216,374,430,"28,000"
Mon 10:30:01 PM,35.2652,-113.8331, 194,382,440,"28,000"
Mon 10:30:20 PM,35.2311,-113.8314, 164,377,434,"28,000"
Mon 10:30:36 PM,35.2076,-113.8168, 142,362,417,"28,000"
Mon 10:31:10 PM,35.1654,-113.7736, 141,355,409,"28,000"
Mon 10:31:40 PM,35.1280,-113.7357, 140,349,402,"28,000"
Mon 10:32:14 PM,35.0857,-113.6924, 140,348,400,"28,000"
Mon 10:32:32 PM,35.0618,-113.6678, 138,347,399,"28,000"
Mon 10:32:51 PM,35.0459,-113.6416, 116,330,380,"28,000"
Mon 10:33:07 PM,35.0396,-113.6124, 95,315,362,"28,000"
Mon 10:33:28 PM,35.0432,-113.5768, 74,301,346,"28,000"
Mon 10:33:49 PM,35.0573,-113.5471, 49,288,331,"28,000"
Mon 10:34:10 PM,35.0805,-113.5258, 28,282,325,"28,000"
Mon 10:34:30 PM,35.1056,-113.5177, 6,280,322,"28,000"
Mon 10:34:51 PM,35.1313,-113.5213, 343,283,326,"28,000"
Mon 10:35:08 PM,35.1525,-113.5352, 321,291,335,"27,975"
Mon 10:35:51 PM,35.1987,-113.5842, 321,332,382,"26,125"
Mon 10:36:22 PM,35.2356,-113.6207, 321,357,411,"24,675"
Mon 10:36:52 PM,35.2746,-113.6589, 321,349,402,"23,850"
Mon 10:37:22 PM,35.3114,-113.6949, 321,346,398,"22,950"
Mon 10:37:52 PM,35.3492,-113.7321, 321,344,396,"21,975"
Mon 10:38:22 PM,35.3855,-113.7679, 321,340,391,"21,100"
Mon 10:38:52 PM,35.4216,-113.8039, 320,337,388,"20,225"
Mon 10:39:22 PM,35.4572,-113.8405, 320,333,383,"19,350"
Mon 10:40:08 PM,35.5104,-113.8973, 319,327,376,"18,625"
Mon 10:40:38 PM,35.5447,-113.9331, 320,325,374,"18,125"
Mon 10:41:09 PM,35.5794,-113.9687, 320,317,365,"17,625"
Mon 10:41:39 PM,35.6136,-114.0034, 320,317,365,"17,100"
Mon 10:42:09 PM,35.6473,-114.0382, 320,317,365,"16,650"
Mon 10:42:39 PM,35.6809,-114.0731, 320,316,364,"16,150"
Mon 10:43:09 PM,35.7144,-114.1076, 320,311,358,"15,625"
Mon 10:43:36 PM,35.7447,-114.1391, 318,312,359,"15,175"
Mon 10:43:54 PM,35.7626,-114.1643, 307,315,362,"14,850"
Mon 10:44:17 PM,35.7781,-114.1976, 298,314,361,"14,500"
Mon 10:44:51 PM,35.8016,-114.2504, 299,311,358,"13,925"
Mon 10:45:21 PM,35.8229,-114.2988, 298,306,352,"13,400"
Mon 10:45:51 PM,35.8419,-114.3400, 300,299,344,"12,950"
Mon 10:46:21 PM,35.8637,-114.3854, 300,299,344,"12,425"
Mon 10:46:51 PM,35.8846,-114.4297, 300,295,339,"11,925"
Mon 10:47:21 PM,35.9047,-114.4730, 300,291,335,"11,375"
Mon 10:47:51 PM,35.9252,-114.5173, 300,286,329,"10,650"
Mon 10:48:21 PM,35.9449,-114.5596, 300,281,323,"9,975"
Mon 10:48:51 PM,35.9631,-114.5986, 300,273,314,"9,325"
Mon 10:49:21 PM,35.9815,-114.6377, 300,265,305,"8,675"
Mon 10:49:51 PM,36.0001,-114.6776, 300,256,295,"8,000"
Mon 10:50:21 PM,36.0182,-114.7164, 300,262,302,"7,375"
Mon 10:50:51 PM,36.0358,-114.7544, 300,255,293,"7,050"
Mon 10:51:21 PM,36.0525,-114.7914, 299,239,275,"6,800"
Mon 10:51:37 PM,36.0611,-114.8096, 300,229,264,"6,675"
Mon 10:51:53 PM,36.0696,-114.8289, 293,228,262,"6,475"
Mon 10:52:10 PM,36.0732,-114.8491, 273,234,269,"6,450"
Mon 10:52:29 PM,36.0734,-114.8751, 272,239,275,"6,025"
Mon 10:52:46 PM,36.0739,-114.9010, 271,247,284,"5,550"
Mon 10:53:16 PM,36.0736,-114.9413, 270,237,273,"4,975"
Mon 10:53:46 PM,36.0736,-114.9794, 270,213,245,"4,300"
Mon 10:54:16 PM,36.0737,-115.0137, 270,189,217,"3,775"
Mon 10:54:46 PM,36.0737,-115.0442, 270,169,194,"3,300"
,,,
Mon 10:55:07 PM,36.0736,-115.0636, 269,152,175,"3,025"
,,,
Mon 10:55:23 PM,36.0736,-115.0760, 270,146,168,"2,825"
Mon 10:55:39 PM,36.0737,-115.0907, 270,143,165,"2,600"
Mon 10:55:55 PM,36.0737,-115.1028, 270,142,163,"2,425"
,,,
Mon 10:56:00 PM    Arrival (LAS) @ Monday 07:56:00 PM PDT,,,Airline
,,,
Mon 10:56:11 PM,36.0737,-115.1159, 270,143,165,"2,200"
Mon 10:56:27 PM,36.0737,-115.1291, 270,144,166,"2,000"
,,,
Taxi Time: 11 minutes,,,
Mon 11:07:00 PM    Gate Arrival (LAS) @ Monday 08:07:00 PM PDT,,,Airline
