Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 11:09:00 AM    Left Gate (PHX) @ Monday 08:09:00 AM MST,,,Airline
,,,
Taxi Time: 10 minutes,,,
Mon 11:19:59 AM    Departure (PHX) @ Monday 08:19:59 AM MST,,,FlightAware ADS-B (KFFZ)
Mon 11:19:59 AM,33.4314,-111.9888, 87,166,191,"1,900"
Mon 11:20:15 AM,33.4321,-111.9739, 87,168,193,"2,575"
Mon 11:20:31 AM,33.4329,-111.9595, 86,182,209,"2,925"
Mon 11:20:47 AM,33.4340,-111.9417, 85,197,227,"3,350"
Mon 11:21:03 AM,33.4351,-111.9252, 87,215,247,"3,725"
Mon 11:21:28 AM,33.4368,-111.8924, 84,245,282,"4,275"
Mon 11:21:44 AM,33.4418,-111.8708, 64,263,303,"4,625"
Mon 11:22:02 AM,33.4593,-111.8517, 24,271,312,"5,350"
Mon 11:22:20 AM,33.4795,-111.8480, 1,277,319,"5,975"
Mon 11:22:37 AM,33.5026,-111.8492, 348,277,319,"6,850"
Mon 11:22:53 AM,33.5207,-111.8588, 325,276,318,"7,750"
Mon 11:23:11 AM,33.5392,-111.8773, 319,275,316,"8,900"
Mon 11:23:35 AM,33.5614,-111.8996, 321,278,320,"10,225"
Mon 11:24:06 AM,33.5961,-111.9321, 323,307,353,"11,425"
Mon 11:24:36 AM,33.6314,-111.9640, 323,332,382,"12,425"
Mon 11:25:06 AM,33.6688,-111.9977, 323,356,410,"13,275"
Mon 11:25:36 AM,33.7080,-112.0346, 321,358,412,"14,775"
Mon 11:26:06 AM,33.7472,-112.0719, 322,363,418,"16,275"
Mon 11:26:36 AM,33.7867,-112.1088, 322,373,429,"17,400"
Mon 11:27:06 AM,33.8282,-112.1476, 322,384,442,"18,525"
Mon 11:27:36 AM,33.8704,-112.1871, 322,394,453,"19,675"
Mon 11:28:06 AM,33.9151,-112.2290, 322,400,460,"20,725"
Mon 11:28:36 AM,33.9596,-112.2708, 322,405,466,"21,850"
Mon 11:29:06 AM,34.0036,-112.3121, 322,409,471,"22,925"
Mon 11:29:36 AM,34.0488,-112.3551, 321,416,479,"23,900"
Mon 11:30:06 AM,34.0924,-112.3992, 320,422,486,"24,775"
Mon 11:30:36 AM,34.1382,-112.4456, 320,432,497,"25,575"
Mon 11:31:06 AM,34.1847,-112.4926, 320,439,505,"26,275"
Mon 11:31:36 AM,34.2338,-112.5422, 320,446,513,"27,050"
Mon 11:32:06 AM,34.2818,-112.5908, 320,452,520,"27,775"
Mon 11:32:36 AM,34.3290,-112.6386, 320,451,519,"28,000"
Mon 11:33:06 AM,34.3759,-112.6859, 320,448,516,"28,000"
Mon 11:33:36 AM,34.4222,-112.7328, 320,447,514,"28,000"
Mon 11:34:06 AM,34.4706,-112.7821, 320,447,514,"28,000"
Mon 11:34:36 AM,34.5195,-112.8318, 320,446,513,"28,000"
Mon 11:35:06 AM,34.5663,-112.8795, 320,446,513,"28,000"
Mon 11:35:37 AM,34.6144,-112.9285, 320,446,513,"28,000"
Mon 11:36:07 AM,34.6621,-112.9772, 320,446,513,"28,000"
Mon 11:36:37 AM,34.7102,-113.0265, 320,446,513,"28,000"
Mon 11:37:02 AM,34.7477,-113.0653, 318,445,512,"28,000"
Mon 11:37:40 AM,34.8031,-113.1342, 314,442,509,"28,000"
Mon 11:38:10 AM,34.8467,-113.1892, 314,441,507,"28,000"
Mon 11:38:41 AM,34.8888,-113.2427, 314,441,507,"28,000"
Mon 11:39:11 AM,34.9317,-113.2971, 314,440,506,"28,000"
Mon 11:39:41 AM,34.9757,-113.3531, 314,439,505,"28,000"
Mon 11:40:15 AM,35.0247,-113.4064, 320,438,504,"28,000"
Mon 11:40:45 AM,35.0715,-113.4537, 320,433,498,"27,950"
Mon 11:41:15 AM,35.1172,-113.4996, 321,431,496,"27,075"
Mon 11:41:45 AM,35.1643,-113.5473, 320,430,495,"25,975"
Mon 11:42:15 AM,35.2083,-113.5920, 320,419,482,"24,975"
Mon 11:42:45 AM,35.2550,-113.6392, 320,413,475,"24,050"
Mon 11:43:16 AM,35.2986,-113.6832, 320,409,471,"24,000"
