Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 12:00:39 PM    Departure (PHX) @ Monday 09:00:39 AM MST,,,FlightAware ADS-B (KPHX)
Mon 12:00:39 PM,33.4311,-111.9938, 89,166,191,"1,600"
Mon 12:00:55 PM,33.4316,-111.9787, 86,171,197,"2,150"
Mon 12:01:11 PM,33.4325,-111.9637, 86,180,207,"2,625"
Mon 12:01:27 PM,33.4333,-111.9474, 87,199,229,"2,925"
Mon 12:01:43 PM,33.4341,-111.9286, 87,215,247,"3,300"
Mon 12:02:01 PM,33.4351,-111.9064, 87,218,251,"4,025"
Mon 12:02:20 PM,33.4363,-111.8845, 80,221,254,"4,850"
Mon 12:02:36 PM,33.4433,-111.8641, 56,242,278,"5,250"
Mon 12:02:53 PM,33.4582,-111.8491, 27,266,306,"5,550"
Mon 12:03:10 PM,33.4775,-111.8438, 2,281,323,"5,925"
Mon 12:03:32 PM,33.5068,-111.8432, 2,283,326,"6,875"
Mon 12:04:02 PM,33.5469,-111.8410, 2,290,334,"8,000"
Mon 12:04:32 PM,33.5879,-111.8392, 2,299,344,"8,825"
Mon 12:05:02 PM,33.6291,-111.8376, 2,302,348,"9,100"
Mon 12:05:12 PM,33.6450,-111.8372, 0,303,349,"9,175"
Mon 12:05:31 PM,33.6703,-111.8400, 352,306,352,"9,550"
Mon 12:05:56 PM,33.7069,-111.8460, 351,313,360,"10,450"
Mon 12:06:12 PM,33.7283,-111.8555, 332,329,379,"10,725"
Mon 12:06:37 PM,33.7560,-111.8876, 306,348,400,"11,150"
Mon 12:07:07 PM,33.7852,-111.9351, 307,362,417,"12,075"
Mon 12:07:37 PM,33.8158,-111.9848, 306,368,423,"13,300"
Mon 12:08:07 PM,33.8458,-112.0339, 306,370,426,"14,550"
Mon 12:08:37 PM,33.8770,-112.0855, 306,381,438,"15,650"
Mon 12:09:07 PM,33.9085,-112.1377, 306,378,435,"17,050"
Mon 12:09:37 PM,33.9396,-112.1889, 306,377,434,"18,400"
Mon 12:10:07 PM,33.9701,-112.2392, 306,382,440,"19,500"
Mon 12:10:37 PM,34.0013,-112.2910, 306,388,447,"20,475"
Mon 12:10:54 PM,34.0209,-112.3215, 311,394,453,"21,000"
Mon 12:11:11 PM,34.0412,-112.3470, 317,402,463,"21,350"
Mon 12:11:56 PM,34.1065,-112.4136, 320,421,484,"22,425"
Mon 12:12:26 PM,34.1529,-112.4602, 320,424,488,"23,350"
Mon 12:12:56 PM,34.1956,-112.5033, 320,424,488,"24,350"
Mon 12:13:26 PM,34.2407,-112.5488, 320,422,486,"25,425"
Mon 12:13:56 PM,34.2876,-112.5963, 320,422,486,"26,400"
Mon 12:14:26 PM,34.3338,-112.6431, 320,426,490,"27,125"
Mon 12:14:56 PM,34.3779,-112.6877, 320,432,497,"27,700"
Mon 12:15:26 PM,34.4247,-112.7351, 320,439,505,"28,000"
Mon 12:15:56 PM,34.4703,-112.7815, 320,437,503,"28,000"
Mon 12:16:27 PM,34.5217,-112.8338, 320,436,502,"28,000"
Mon 12:16:57 PM,34.5645,-112.8775, 320,436,502,"28,000"
Mon 12:17:27 PM,34.6113,-112.9253, 320,435,501,"28,000"
Mon 12:17:57 PM,34.6588,-112.9738, 320,434,499,"28,000"
Mon 12:18:27 PM,34.7040,-113.0202, 320,434,499,"28,000"
