Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 12:16:00 PM    Left Gate (PHX) @ Monday 09:16:00 AM MST,,,Airline
,,,
Taxi Time: 16 minutes,,,
Mon 12:32:10 PM    Departure (PHX) @ Monday 09:32:10 AM MST,,,FlightAware ADS-B (KPHX)
Mon 12:32:10 PM,33.4311,-111.9977, 90,170,196,"1,400"
Mon 12:32:26 PM,33.4313,-111.9838, 88,174,200,"2,050"
Mon 12:32:42 PM,33.4322,-111.9673, 86,181,208,"2,650"
Mon 12:32:58 PM,33.4333,-111.9512, 86,207,238,"2,950"
Mon 12:33:14 PM,33.4343,-111.9323, 87,230,265,"3,275"
Mon 12:33:35 PM,33.4356,-111.9036, 88,241,277,"4,175"
Mon 12:33:52 PM,33.4375,-111.8794, 74,241,277,"5,125"
Mon 12:34:08 PM,33.4466,-111.8635, 44,240,276,"5,875"
Mon 12:34:26 PM,33.4633,-111.8541, 9,243,280,"6,650"
Mon 12:34:44 PM,33.4853,-111.8588, 333,270,311,"7,125"
Mon 12:35:05 PM,33.5061,-111.8777, 323,282,325,"8,025"
Mon 12:35:35 PM,33.5401,-111.9067, 325,288,331,"9,750"
Mon 12:36:05 PM,33.5726,-111.9349, 324,318,366,"10,775"
Mon 12:36:50 PM,33.6311,-111.9862, 324,366,421,"11,950"
Mon 12:37:20 PM,33.6735,-112.0233, 324,376,433,"13,375"
Mon 12:37:50 PM,33.7162,-112.0607, 324,379,436,"14,950"
Mon 12:38:20 PM,33.7578,-112.0971, 324,387,445,"16,300"
Mon 12:38:50 PM,33.8011,-112.1353, 324,396,456,"17,500"
Mon 12:39:12 PM,33.8348,-112.1649, 324,401,461,"18,475"
Mon 12:39:42 PM,33.8807,-112.2052, 324,409,471,"19,650"
Mon 12:40:20 PM,33.9390,-112.2565, 324,415,478,"21,175"
Mon 12:40:50 PM,33.9856,-112.2976, 324,419,482,"22,325"
