Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 12:38:21 PM    Departure (PHX) @ Monday 09:38:21 AM MST,,,FlightAware ADS-B (KFFZ)
Mon 12:38:21 PM,33.4311,-111.9955, 89,170,196,"1,550"
Mon 12:38:37 PM,33.4316,-111.9800, 87,173,199,"2,150"
Mon 12:38:53 PM,33.4323,-111.9644, 88,187,215,"2,600"
Mon 12:39:09 PM,33.4330,-111.9460, 87,209,241,"2,900"
Mon 12:39:25 PM,33.4340,-111.9266, 86,217,250,"3,525"
Mon 12:39:42 PM,33.4351,-111.9061, 87,217,250,"4,300"
Mon 12:40:01 PM,33.4366,-111.8839, 83,222,255,"5,050"
Mon 12:40:17 PM,33.4434,-111.8644, 55,246,283,"5,425"
Mon 12:40:33 PM,33.4562,-111.8506, 33,267,307,"5,700"
Mon 12:40:50 PM,33.4779,-111.8442, 1,284,327,"6,150"
Mon 12:41:14 PM,33.5086,-111.8434, 3,284,327,"7,250"
Mon 12:41:44 PM,33.5507,-111.8410, 3,295,339,"8,450"
Mon 12:42:14 PM,33.5916,-111.8391, 2,305,351,"9,100"
Mon 12:42:44 PM,33.6339,-111.8374, 2,305,351,"9,075"
Mon 12:43:10 PM,33.6708,-111.8400, 352,303,349,"9,075"
Mon 12:43:37 PM,33.7090,-111.8465, 352,305,351,"9,350"
Mon 12:43:53 PM,33.7297,-111.8559, 331,305,351,"9,925"
Mon 12:44:14 PM,33.7525,-111.8818, 307,320,368,"10,525"
Mon 12:44:48 PM,33.7830,-111.9313, 306,353,406,"11,100"
Mon 12:45:18 PM,33.8123,-111.9792, 306,363,418,"12,200"
Mon 12:45:48 PM,33.8422,-112.0284, 306,367,422,"13,450"
Mon 12:46:18 PM,33.8735,-112.0799, 306,372,428,"14,750"
Mon 12:46:48 PM,33.9026,-112.1279, 306,381,438,"15,850"
Mon 12:47:18 PM,33.9339,-112.1795, 306,376,433,"17,375"
Mon 12:47:48 PM,33.9635,-112.2284, 306,378,435,"18,575"
Mon 12:48:18 PM,33.9965,-112.2831, 306,384,442,"19,725"
Mon 12:48:38 PM,34.0178,-112.3171, 309,391,450,"20,325"
Mon 12:49:02 PM,34.0499,-112.3566, 319,401,461,"21,100"
Mon 12:49:32 PM,34.0909,-112.3980, 320,412,474,"21,825"
Mon 12:50:02 PM,34.1354,-112.4428, 320,422,486,"22,600"
Mon 12:50:32 PM,34.1811,-112.4887, 320,425,489,"23,525"
Mon 12:51:02 PM,34.2259,-112.5339, 320,422,486,"24,650"
Mon 12:51:32 PM,34.2701,-112.5786, 320,419,482,"25,725"
Mon 12:52:02 PM,34.3158,-112.6249, 320,421,484,"26,575"
Mon 12:52:32 PM,34.3597,-112.6693, 320,427,491,"27,225"
Mon 12:53:02 PM,34.4062,-112.7165, 320,434,499,"27,850"
Mon 12:53:34 PM,34.4556,-112.7666, 320,436,502,"28,025"
Mon 12:54:05 PM,34.5031,-112.8151, 320,436,502,"28,000"
Mon 12:54:35 PM,34.5511,-112.8640, 320,435,501,"28,000"
Mon 12:55:08 PM,34.5994,-112.9131, 320,434,499,"28,000"
Mon 12:55:38 PM,34.6463,-112.9611, 320,435,501,"28,000"
Mon 12:56:10 PM,34.6966,-113.0126, 320,435,501,"28,000"
Mon 12:56:41 PM,34.7453,-113.0627, 318,435,501,"28,000"
Mon 12:57:24 PM,34.8049,-113.1364, 314,434,499,"28,000"
Mon 12:57:54 PM,34.8471,-113.1897, 314,434,499,"28,000"
Mon 12:58:24 PM,34.8871,-113.2404, 314,434,499,"28,000"
Mon 12:58:54 PM,34.9310,-113.2962, 314,434,499,"28,000"
Mon 12:59:24 PM,34.9710,-113.3472, 314,435,501,"28,000"
Mon 12:59:44 PM,35.0009,-113.3825, 319,437,503,"28,000"
Mon 01:00:25 PM,35.0643,-113.4464, 320,438,504,"28,000"
Mon 01:00:55 PM,35.1108,-113.4934, 320,438,504,"28,000"
Mon 01:01:25 PM,35.1567,-113.5396, 320,439,505,"28,000"
Mon 01:01:55 PM,35.2038,-113.5871, 320,426,490,"27,850"
Mon 01:02:25 PM,35.2484,-113.6322, 320,412,474,"27,075"
Mon 01:02:55 PM,35.2935,-113.6780, 320,406,467,"26,050"
Mon 01:03:25 PM,35.3344,-113.7195, 320,403,464,"25,950"
Mon 01:03:55 PM,35.3768,-113.7625, 320,397,457,"25,075"
Mon 01:04:25 PM,35.4190,-113.8054, 320,392,451,"24,150"
Mon 01:04:55 PM,35.4619,-113.8490, 320,387,445,"23,150"
Mon 01:05:25 PM,35.5025,-113.8903, 320,383,441,"22,200"
Mon 01:05:55 PM,35.5431,-113.9321, 320,384,442,"21,275"
Mon 01:06:25 PM,35.5829,-113.9730, 320,381,438,"20,325"
Mon 01:06:55 PM,35.6232,-114.0141, 320,373,429,"19,375"
Mon 01:07:25 PM,35.6637,-114.0555, 320,366,421,"18,375"
Mon 01:07:56 PM,35.7017,-114.0947, 320,359,413,"17,450"
Mon 01:08:26 PM,35.7400,-114.1340, 320,335,386,"17,150"
Mon 01:08:42 PM,35.7568,-114.1555, 309,319,367,"16,975"
Mon 01:09:22 PM,35.7869,-114.2168, 299,312,359,"15,950"
Mon 01:09:52 PM,35.8068,-114.2621, 299,311,358,"15,175"
Mon 01:10:24 PM,35.8296,-114.3138, 298,308,354,"14,300"
