Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 01:40:00 PM    Left Gate (PHX) @ Monday 10:40:00 AM MST,,,Airline
,,,
Taxi Time: 14 minutes,,,
Mon 01:54:06 PM    Departure (PHX) @ Monday 10:54:06 AM MST,,,FlightAware ADS-B (KPHX)
Mon 01:54:06 PM,33.4310,-112.0214, 270,165,190,"1,500"
Mon 01:54:22 PM,33.4311,-112.0354, 271,167,192,"2,125"
Mon 01:54:38 PM,33.4314,-112.0503, 271,179,206,"2,650"
Mon 01:54:54 PM,33.4317,-112.0683, 271,206,237,"2,975"
Mon 01:55:10 PM,33.4320,-112.0864, 272,216,249,"3,525"
Mon 01:55:35 PM,33.4329,-112.1157, 272,237,273,"4,675"
Mon 01:56:03 PM,33.4342,-112.1559, 275,269,310,"5,650"
Mon 01:56:21 PM,33.4423,-112.1803, 312,278,320,"6,600"
Mon 01:56:39 PM,33.4621,-112.1952, 345,282,325,"7,600"
Mon 01:56:59 PM,33.4909,-112.1963, 1,288,331,"8,725"
Mon 01:57:17 PM,33.5154,-112.1961, 0,294,338,"9,650"
Mon 01:57:56 PM,33.5686,-112.1996, 356,334,384,"10,875"
Mon 01:58:21 PM,33.6100,-112.2034, 355,365,420,"11,450"
Mon 01:58:42 PM,33.6468,-112.2115, 345,372,428,"12,425"
Mon 01:59:12 PM,33.6974,-112.2278, 345,383,441,"13,775"
Mon 01:59:42 PM,33.7473,-112.2438, 345,388,447,"15,225"
Mon 02:00:12 PM,33.8011,-112.2612, 345,397,457,"16,550"
Mon 02:00:42 PM,33.8545,-112.2784, 345,406,467,"17,750"
Mon 02:01:12 PM,33.9097,-112.2964, 345,415,478,"18,925"
Mon 02:01:42 PM,33.9636,-112.3139, 345,418,481,"20,200"
Mon 02:02:00 PM,34.0001,-112.3265, 340,420,483,"20,925"
Mon 02:02:19 PM,34.0329,-112.3449, 331,420,483,"21,600"
Mon 02:02:40 PM,34.0651,-112.3726, 320,420,483,"22,350"
Mon 02:03:15 PM,34.1175,-112.4251, 320,429,494,"23,400"
Mon 02:03:45 PM,34.1639,-112.4717, 320,437,503,"24,300"
Mon 02:04:16 PM,34.2127,-112.5209, 320,442,509,"25,200"
Mon 02:04:47 PM,34.2617,-112.5705, 320,447,514,"26,100"
Mon 02:05:17 PM,34.3118,-112.6211, 320,451,519,"26,975"
Mon 02:05:48 PM,34.3609,-112.6709, 320,454,522,"27,800"
Mon 02:06:22 PM,34.4143,-112.7249, 320,457,526,"28,000"
Mon 02:07:00 PM,34.4769,-112.7885, 320,457,526,"28,000"
Mon 02:07:31 PM,34.5267,-112.8391, 320,458,527,"28,000"
Mon 02:08:01 PM,34.5748,-112.8882, 320,459,528,"28,000"
Mon 02:08:31 PM,34.6254,-112.9397, 320,460,529,"28,000"
Mon 02:09:03 PM,34.6757,-112.9910, 320,461,531,"28,000"
Mon 02:09:33 PM,34.7252,-113.0418, 320,462,532,"28,000"
Mon 02:09:51 PM,34.7533,-113.0718, 316,460,529,"28,000"
Mon 02:10:35 PM,34.8196,-113.1549, 314,458,527,"28,000"
Mon 02:11:07 PM,34.8660,-113.2138, 314,460,529,"28,000"
Mon 02:11:37 PM,34.9104,-113.2703, 314,460,529,"28,000"
Mon 02:12:07 PM,34.9535,-113.3250, 314,460,529,"28,000"
Mon 02:12:27 PM,34.9833,-113.3627, 315,460,529,"28,000"
Mon 02:13:08 PM,35.0514,-113.4336, 320,461,531,"28,000"
Mon 02:13:38 PM,35.1003,-113.4829, 321,461,531,"28,000"
Mon 02:14:08 PM,35.1474,-113.5302, 320,460,529,"27,775"
