Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 03:03:59 PM    Departure (PHX) @ Monday 12:03:59 PM MST,,,FlightAware ADS-B (KPHX)
Mon 03:03:59 PM,33.4312,-112.0010, 87,156,180,"1,625"
Mon 03:04:15 PM,33.4321,-111.9873, 85,156,180,"2,325"
Mon 03:04:31 PM,33.4327,-111.9732, 88,172,198,"2,900"
Mon 03:04:47 PM,33.4331,-111.9561, 88,194,223,"3,425"
Mon 03:05:03 PM,33.4337,-111.9390, 88,216,249,"3,875"
Mon 03:05:29 PM,33.4351,-111.9053, 87,251,289,"4,825"
Mon 03:05:50 PM,33.4366,-111.8751, 84,272,313,"5,750"
Mon 03:06:07 PM,33.4434,-111.8505, 58,280,322,"6,675"
Mon 03:06:25 PM,33.4614,-111.8308, 32,289,333,"7,750"
Mon 03:06:43 PM,33.4861,-111.8238, 359,301,346,"8,575"
Mon 03:07:06 PM,33.5177,-111.8267, 355,299,344,"9,100"
Mon 03:07:36 PM,33.5585,-111.8303, 356,302,348,"9,125"
Mon 03:08:05 PM,33.5999,-111.8333, 357,304,350,"9,100"
Mon 03:08:35 PM,33.6402,-111.8359, 357,304,350,"9,100"
Mon 03:08:51 PM,33.6641,-111.8386, 352,303,349,"9,100"
Mon 03:09:08 PM,33.6878,-111.8444, 340,302,348,"9,125"
Mon 03:09:24 PM,33.7063,-111.8604, 310,302,348,"9,550"
Mon 03:10:06 PM,33.7421,-111.9152, 311,335,386,"10,975"
Mon 03:10:36 PM,33.7723,-111.9584, 310,349,402,"12,375"
Mon 03:11:17 PM,33.8163,-112.0221, 309,357,411,"14,525"
Mon 03:11:47 PM,33.8480,-112.0686, 309,354,407,"16,250"
Mon 03:12:26 PM,33.8884,-112.1285, 309,363,418,"18,000"
Mon 03:12:57 PM,33.9209,-112.1765, 309,370,426,"19,275"
Mon 03:13:27 PM,33.9534,-112.2245, 309,376,433,"20,450"
Mon 03:13:57 PM,33.9875,-112.2750, 309,377,434,"21,750"
Mon 03:14:27 PM,34.0200,-112.3230, 310,380,437,"22,875"
Mon 03:14:45 PM,34.0434,-112.3509, 320,390,449,"23,350"
Mon 03:15:12 PM,34.0778,-112.3846, 321,400,460,"24,050"
Mon 03:15:42 PM,34.1259,-112.4327, 320,405,466,"24,925"
Mon 03:16:12 PM,34.1695,-112.4767, 320,410,472,"25,875"
Mon 03:16:42 PM,34.2122,-112.5198, 320,412,474,"26,750"
Mon 03:17:12 PM,34.2553,-112.5634, 320,417,480,"27,600"
Mon 03:17:42 PM,34.3000,-112.6086, 320,410,472,"28,000"
Mon 03:18:12 PM,34.3440,-112.6532, 320,411,473,"28,000"
Mon 03:18:42 PM,34.3874,-112.6971, 320,412,474,"28,000"
Mon 03:19:12 PM,34.4311,-112.7414, 320,410,472,"28,000"
Mon 03:19:42 PM,34.4743,-112.7852, 320,382,440,"28,000"
Mon 03:20:14 PM,34.5163,-112.8280, 320,377,434,"28,000"
Mon 03:20:47 PM,34.5610,-112.8738, 320,379,436,"28,000"
Mon 03:21:17 PM,34.5997,-112.9133, 320,379,436,"28,000"
Mon 03:21:49 PM,34.6428,-112.9574, 320,378,435,"28,000"
Mon 03:22:19 PM,34.6832,-112.9987, 320,378,435,"28,000"
Mon 03:22:49 PM,34.7228,-113.0391, 320,379,436,"28,000"
Mon 03:23:21 PM,34.7669,-113.0846, 318,379,436,"28,000"
Mon 03:23:42 PM,34.7918,-113.1148, 313,376,433,"28,000"
Mon 03:24:12 PM,34.8277,-113.1630, 312,376,433,"28,000"
Mon 03:24:43 PM,34.8635,-113.2100, 313,376,433,"28,000"
Mon 03:25:13 PM,34.9012,-113.2582, 314,376,433,"28,000"
Mon 03:25:43 PM,34.9374,-113.3044, 314,376,433,"28,000"
Mon 03:26:14 PM,34.9736,-113.3504, 314,375,432,"28,000"
Mon 03:26:32 PM,34.9944,-113.3762, 317,376,433,"28,000"
Mon 03:27:04 PM,35.0367,-113.4187, 321,379,436,"28,000"
Mon 03:27:35 PM,35.0798,-113.4619, 320,381,438,"28,000"
Mon 03:28:05 PM,35.1202,-113.5027, 320,382,440,"27,925"
Mon 03:28:35 PM,35.1616,-113.5445, 320,382,440,"27,425"
Mon 03:29:05 PM,35.2036,-113.5870, 320,416,479,"26,925"
Mon 03:29:35 PM,35.2494,-113.6333, 320,421,484,"26,375"
Mon 03:30:05 PM,35.2946,-113.6790, 320,416,479,"25,850"
Mon 03:30:35 PM,35.3364,-113.7214, 320,412,474,"25,150"
Mon 03:31:05 PM,35.3808,-113.7665, 320,401,461,"24,125"
Mon 03:31:35 PM,35.4245,-113.8110, 320,396,456,"23,250"
Mon 03:32:05 PM,35.4653,-113.8527, 320,386,444,"22,350"
Mon 03:32:36 PM,35.5080,-113.8960, 320,380,437,"21,425"
Mon 03:33:06 PM,35.5470,-113.9358, 320,370,426,"20,575"
Mon 03:33:36 PM,35.5857,-113.9755, 320,364,419,"19,750"
Mon 03:34:06 PM,35.6253,-114.0162, 320,366,421,"18,875"
Mon 03:34:36 PM,35.6644,-114.0563, 320,366,421,"18,075"
Mon 03:35:06 PM,35.7029,-114.0957, 320,352,405,"17,250"
Mon 03:35:36 PM,35.7385,-114.1324, 320,345,397,"16,475"
Mon 03:35:56 PM,35.7626,-114.1615, 305,355,409,"15,925"
Mon 03:36:41 PM,35.7980,-114.2428, 298,357,411,"15,125"
Mon 03:37:11 PM,35.8217,-114.2968, 299,355,409,"14,275"
Mon 03:37:33 PM,35.8388,-114.3341, 302,354,407,"13,475"
Mon 03:38:11 PM,35.8763,-114.3947, 308,350,403,"12,125"
Mon 03:38:41 PM,35.9059,-114.4422, 307,348,400,"11,050"
Mon 03:39:11 PM,35.9343,-114.4877, 307,316,364,"10,500"
Mon 03:39:41 PM,35.9600,-114.5291, 307,309,356,"10,125"
Mon 03:40:11 PM,35.9859,-114.5712, 307,298,343,"9,350"
Mon 03:40:41 PM,36.0107,-114.6116, 307,291,335,"8,550"
Mon 03:41:11 PM,36.0340,-114.6494, 308,271,312,"8,075"
Mon 03:41:41 PM,36.0530,-114.6860, 301,245,282,"8,050"
Mon 03:42:09 PM,36.0690,-114.7192, 298,240,276,"8,050"
Mon 03:42:26 PM,36.0736,-114.7413, 272,231,266,"8,000"
Mon 03:42:53 PM,36.0733,-114.7775, 271,230,265,"7,625"
Mon 03:43:12 PM,36.0734,-114.8011, 270,230,265,"7,275"
Mon 03:43:42 PM,36.0735,-114.8404, 270,230,265,"6,600"
Mon 03:44:12 PM,36.0736,-114.8786, 270,229,264,"5,925"
Mon 03:44:42 PM,36.0736,-114.9175, 270,207,238,"5,350"
Mon 03:45:02 PM,36.0736,-114.9400, 270,187,215,"4,975"
Mon 03:45:32 PM,36.0737,-114.9729, 270,190,219,"4,500"
Mon 03:46:02 PM,36.0737,-115.0060, 269,197,227,"3,975"
Mon 03:46:32 PM,36.0737,-115.0358, 270,164,189,"3,550"
Mon 03:47:02 PM,36.0737,-115.0624, 270,144,166,"3,150"
Mon 03:47:18 PM,36.0737,-115.0754, 270,137,158,"2,975"
Mon 03:47:34 PM,36.0737,-115.0879, 269,144,166,"2,825"
Mon 03:47:50 PM,36.0737,-115.1004, 270,138,159,"2,600"
Mon 03:48:06 PM,36.0737,-115.1124, 269,133,153,"2,425"
Mon 03:48:22 PM,36.0737,-115.1258, 271,130,150,"2,225"
,,,
Mon 03:48:56 PM    Arrival (LAS) @ Monday 12:48:56 PM PDT,,,FlightAware
,,,
Taxi Time: 9 minutes,,,
Mon 03:58:00 PM    Gate Arrival (LAS) @ Monday 12:58:00 PM PDT,,,Airline
