Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 04:01:00 PM    Left Gate (PHX) @ Monday 01:01:00 PM MST,,,Airline
,,,
Taxi Time: 12 minutes,,,
Mon 04:13:18 PM    Departure (PHX) @ Monday 01:13:18 PM MST,,,FlightAware ADS-B (KPHX)
Mon 04:13:18 PM,33.4309,-112.0177, 269,154,177,"1,350"
Mon 04:13:34 PM,33.4306,-112.0319, 269,149,171,"2,100"
Mon 04:13:50 PM,33.4306,-112.0439, 271,160,184,"2,525"
Mon 04:14:06 PM,33.4308,-112.0593, 272,179,206,"2,925"
Mon 04:14:22 PM,33.4313,-112.0773, 272,206,237,"3,375"
Mon 04:14:38 PM,33.4320,-112.0967, 273,230,265,"3,850"
Mon 04:14:55 PM,33.4327,-112.1181, 272,247,284,"4,500"
Mon 04:15:22 PM,33.4338,-112.1550, 273,245,282,"6,300"
Mon 04:15:40 PM,33.4396,-112.1779, 301,247,284,"7,425"
Mon 04:15:57 PM,33.4551,-112.1942, 332,258,297,"8,375"
Mon 04:16:13 PM,33.4750,-112.1982, 360,265,305,"9,250"
Mon 04:16:52 PM,33.5215,-112.1973, 1,269,310,"10,850"
Mon 04:17:09 PM,33.5439,-112.1981, 356,273,314,"10,975"
Mon 04:17:48 PM,33.5984,-112.2029, 356,320,368,"10,975"
Mon 04:18:11 PM,33.6318,-112.2071, 349,323,372,"10,975"
Mon 04:18:42 PM,33.6783,-112.2218, 345,320,368,"10,975"
Mon 04:19:12 PM,33.7197,-112.2349, 345,320,368,"11,175"
Mon 04:19:42 PM,33.7626,-112.2486, 345,329,379,"12,450"
Mon 04:20:12 PM,33.8076,-112.2630, 345,329,379,"14,250"
Mon 04:20:42 PM,33.8531,-112.2776, 345,341,392,"15,625"
Mon 04:21:01 PM,33.8824,-112.2872, 345,344,396,"16,600"
Mon 04:21:31 PM,33.9297,-112.3025, 345,351,404,"18,075"
Mon 04:22:01 PM,33.9757,-112.3174, 345,354,407,"19,450"
Mon 04:22:26 PM,34.0158,-112.3307, 344,357,411,"20,625"
Mon 04:22:45 PM,34.0431,-112.3489, 322,359,413,"21,500"
Mon 04:23:15 PM,34.0821,-112.3881, 320,370,426,"22,550"
Mon 04:23:45 PM,34.1219,-112.4285, 320,379,436,"23,650"
Mon 04:24:15 PM,34.1615,-112.4685, 320,382,440,"24,775"
Mon 04:24:45 PM,34.2044,-112.5117, 320,380,437,"26,150"
Mon 04:25:15 PM,34.2433,-112.5509, 320,371,427,"27,600"
Mon 04:25:45 PM,34.2837,-112.5915, 320,389,448,"27,975"
Mon 04:26:15 PM,34.3264,-112.6347, 320,412,474,"27,975"
Mon 04:26:45 PM,34.3713,-112.6802, 320,414,476,"28,000"
Mon 04:27:15 PM,34.4147,-112.7243, 320,412,474,"28,000"
Mon 04:27:45 PM,34.4570,-112.7674, 320,411,473,"28,000"
Mon 04:28:15 PM,34.4990,-112.8102, 320,406,467,"28,000"
Mon 04:28:45 PM,34.5446,-112.8567, 320,407,468,"28,000"
Mon 04:29:15 PM,34.5859,-112.8988, 320,409,471,"28,000"
Mon 04:29:45 PM,34.6306,-112.9447, 320,411,473,"28,025"
Mon 04:30:15 PM,34.6723,-112.9872, 320,410,472,"28,050"
Mon 04:30:46 PM,34.7196,-113.0356, 320,410,472,"28,050"
Mon 04:31:16 PM,34.7631,-113.0801, 320,409,471,"27,975"
Mon 04:31:40 PM,34.7943,-113.1174, 313,405,466,"28,000"
Mon 04:32:11 PM,34.8333,-113.1702, 312,410,472,"27,975"
Mon 04:32:41 PM,34.8728,-113.2221, 313,411,473,"27,975"
Mon 04:33:12 PM,34.9117,-113.2716, 314,405,466,"28,000"
Mon 04:33:43 PM,34.9538,-113.3248, 314,405,466,"28,000"
Mon 04:34:09 PM,34.9876,-113.3675, 314,405,466,"28,000"
Mon 04:34:49 PM,35.0432,-113.4250, 321,404,465,"28,000"
