Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 05:12:00 PM    Left Gate (PHX) @ Saturday 02:12:00 PM MST,,,Airline
,,,
Taxi Time: 11 minutes,,,
Sat 05:23:43 PM    Departure (PHX) @ Saturday 02:23:43 PM MST,,,FlightAware ADS-B (KPHX)
Sat 05:23:43 PM,33.4311,-112.0161, 270,156,180,"1,000"
Sat 05:23:59 PM,33.4313,-112.0297, 273,161,185,"1,575"
Sat 05:24:15 PM,33.4319,-112.0445, 272,165,190,"2,200"
Sat 05:24:31 PM,33.4322,-112.0603, 271,184,212,"2,700"
Sat 05:24:47 PM,33.4324,-112.0776, 272,204,235,"3,075"
Sat 05:25:03 PM,33.4329,-112.0951, 273,211,243,"3,825"
Sat 05:25:21 PM,33.4335,-112.1166, 272,224,258,"4,650"
Sat 05:25:51 PM,33.4344,-112.1546, 272,234,269,"5,975"
Sat 05:26:09 PM,33.4405,-112.1767, 305,240,276,"6,750"
Sat 05:26:27 PM,33.4564,-112.1923, 336,250,288,"7,750"
Sat 05:26:48 PM,33.4815,-112.1958, 1,241,277,"9,450"
Sat 05:27:12 PM,33.5071,-112.1957, 360,236,272,"11,225"
Sat 05:27:37 PM,33.5342,-112.1962, 356,235,270,"12,850"
Sat 05:28:08 PM,33.5698,-112.1996, 356,281,323,"13,625"
Sat 05:28:38 PM,33.6139,-112.2035, 355,309,356,"14,900"
Sat 05:28:55 PM,33.6371,-112.2080, 348,309,356,"15,850"
Sat 05:29:31 PM,33.6878,-112.2240, 345,325,374,"17,475"
Sat 05:29:53 PM,33.7198,-112.2345, 345,334,384,"18,475"
Sat 05:30:23 PM,33.7655,-112.2495, 345,345,397,"19,800"
Sat 05:30:53 PM,33.8130,-112.2650, 345,353,406,"21,200"
Sat 05:31:23 PM,33.8608,-112.2803, 345,356,410,"22,625"
Sat 05:32:03 PM,33.9265,-112.3016, 345,366,421,"24,200"
Sat 05:32:44 PM,33.9930,-112.3234, 344,384,442,"25,275"
Sat 05:33:07 PM,34.0305,-112.3426, 331,387,445,"25,525"
Sat 05:33:31 PM,34.0649,-112.3720, 321,382,440,"26,000"
Sat 05:34:01 PM,34.1086,-112.4151, 320,380,437,"26,000"
Sat 05:34:32 PM,34.1498,-112.4569, 320,380,437,"26,000"
Sat 05:35:03 PM,34.1916,-112.4992, 320,380,437,"26,000"
Sat 05:35:33 PM,34.2312,-112.5393, 320,379,436,"26,000"
Sat 05:36:03 PM,34.2724,-112.5806, 320,379,436,"26,000"
Sat 05:36:33 PM,34.3108,-112.6195, 320,380,437,"26,000"
Sat 05:37:03 PM,34.3522,-112.6615, 320,380,437,"26,000"
Sat 05:37:33 PM,34.3916,-112.7015, 320,380,437,"26,000"
Sat 05:38:03 PM,34.4323,-112.7428, 320,380,437,"26,000"
Sat 05:38:33 PM,34.4723,-112.7835, 320,380,437,"26,000"
Sat 05:39:04 PM,34.5159,-112.8278, 320,380,437,"26,000"
Sat 05:39:34 PM,34.5562,-112.8691, 320,381,438,"26,000"
Sat 05:40:04 PM,34.5938,-112.9075, 320,382,440,"26,000"
Sat 05:40:35 PM,34.6372,-112.9519, 320,381,438,"26,000"
Sat 05:41:05 PM,34.6777,-112.9931, 320,380,437,"26,000"
Sat 05:41:35 PM,34.7191,-113.0354, 320,380,437,"26,000"
Sat 05:41:59 PM,34.7504,-113.0680, 317,379,436,"26,000"
Sat 05:42:43 PM,34.8029,-113.1335, 314,376,433,"26,000"
Sat 05:43:13 PM,34.8395,-113.1800, 314,375,432,"26,000"
Sat 05:43:43 PM,34.8756,-113.2260, 314,375,432,"26,000"
Sat 05:44:13 PM,34.9119,-113.2722, 314,377,434,"26,000"
Sat 05:44:43 PM,34.9481,-113.3181, 314,378,435,"26,000"
Sat 05:45:13 PM,34.9845,-113.3644, 315,380,437,"26,000"
Sat 05:45:53 PM,35.0387,-113.4206, 321,385,443,"26,000"
Sat 05:46:24 PM,35.0821,-113.4642, 320,386,444,"26,000"
Sat 05:47:02 PM,35.1334,-113.5161, 320,386,444,"26,000"
Sat 05:47:32 PM,35.1765,-113.5597, 320,386,444,"26,000"
Sat 05:48:02 PM,35.2164,-113.6000, 320,381,438,"26,000"
Sat 05:48:33 PM,35.2585,-113.6424, 320,381,438,"26,000"
Sat 05:49:03 PM,35.2977,-113.6821, 320,381,438,"26,000"
Sat 05:49:33 PM,35.3406,-113.7258, 320,381,438,"26,000"
Sat 05:50:03 PM,35.3806,-113.7665, 320,383,441,"26,000"
Sat 05:50:33 PM,35.4226,-113.8092, 320,384,442,"26,000"
Sat 05:51:03 PM,35.4594,-113.8465, 320,363,418,"25,850"
Sat 05:51:33 PM,35.4977,-113.8859, 320,344,396,"25,100"
Sat 05:52:03 PM,35.5344,-113.9234, 320,337,388,"23,950"
Sat 05:52:33 PM,35.5693,-113.9592, 320,332,382,"22,850"
Sat 05:53:03 PM,35.6044,-113.9951, 320,326,375,"21,750"
Sat 05:53:33 PM,35.6391,-114.0304, 321,321,369,"20,650"
