Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 12:22:00 AM    Left Gate (PHX) @ Saturday 09:22:00 PM MST,,,Airline
,,,
Taxi Time: 9 minutes,,,
Sun 12:31:00 AM    Departure (PHX) @ Saturday 09:31:00 PM MST,,,FlightAware ADS-B (KFFZ)
Sun 12:31:00 AM,33.4310,-112.0217, 269,159,183,"1,700"
Sun 12:31:16 AM,33.4310,-112.0348, 270,158,182,"2,600"
Sun 12:31:32 AM,33.4309,-112.0510, 270,188,216,"3,025"
Sun 12:31:48 AM,33.4311,-112.0682, 271,211,243,"3,550"
Sun 12:32:04 AM,33.4317,-112.0877, 274,225,259,"4,300"
Sun 12:32:29 AM,33.4333,-112.1180, 273,234,269,"5,775"
Sun 12:32:53 AM,33.4345,-112.1521, 274,246,283,"7,300"
Sun 12:33:09 AM,33.4385,-112.1716, 293,249,287,"8,125"
Sun 12:33:27 AM,33.4521,-112.1903, 327,255,293,"9,025"
Sun 12:33:45 AM,33.4726,-112.1959, 0,246,283,"10,275"
Sun 12:34:06 AM,33.4964,-112.1956, 0,250,288,"11,625"
Sun 12:34:28 AM,33.5244,-112.1956, 360,260,299,"12,700"
Sun 12:34:45 AM,33.5418,-112.1965, 356,264,304,"13,475"
Sun 12:35:15 AM,33.5822,-112.2004, 356,307,353,"14,225"
Sun 12:35:39 AM,33.6197,-112.2041, 353,337,388,"14,725"
Sun 12:35:56 AM,33.6443,-112.2102, 345,353,406,"15,050"
Sun 12:36:26 AM,33.6948,-112.2265, 345,386,444,"15,625"
Sun 12:36:56 AM,33.7484,-112.2439, 345,405,466,"16,425"
Sun 12:37:26 AM,33.8027,-112.2614, 345,413,475,"17,500"
Sun 12:37:56 AM,33.8595,-112.2798, 345,419,482,"18,650"
Sun 12:38:26 AM,33.9154,-112.2980, 345,425,489,"19,725"
Sun 12:38:56 AM,33.9742,-112.3170, 345,428,493,"20,875"
Sun 12:39:13 AM,34.0071,-112.3285, 340,427,491,"21,500"
Sun 12:39:34 AM,34.0423,-112.3502, 325,426,490,"21,925"
Sun 12:40:14 AM,34.1047,-112.4118, 320,429,494,"22,000"
Sun 12:40:44 AM,34.1504,-112.4576, 320,429,494,"22,000"
