Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 08:35:15 PM    Departure (PHX) @ Saturday 06:35:15 PM MST,,,FlightAware ADS-B (KFFZ)
Sat 08:35:15 PM,33.4310,-112.0015, 90,175,201,"1,100"
Sat 08:35:31 PM,33.4309,-111.9866, 89,179,206,"1,650"
Sat 08:35:47 PM,33.4315,-111.9712, 86,179,206,"2,350"
Sat 08:36:03 PM,33.4326,-111.9535, 86,194,223,"2,850"
Sat 08:36:19 PM,33.4336,-111.9353, 86,212,244,"3,300"
Sat 08:36:44 PM,33.4354,-111.9060, 87,230,265,"4,200"
Sat 08:37:00 PM,33.4370,-111.8835, 81,241,277,"4,925"
Sat 08:37:19 PM,33.4471,-111.8611, 48,255,293,"5,775"
Sat 08:37:37 PM,33.4648,-111.8486, 17,269,310,"6,525"
Sat 08:37:53 PM,33.4855,-111.8477, 351,277,319,"7,450"
Sat 08:38:13 PM,33.5092,-111.8616, 323,284,327,"8,575"
Sat 08:38:32 PM,33.5271,-111.8780, 322,293,337,"9,350"
Sat 08:39:02 PM,33.5618,-111.9095, 323,313,360,"10,700"
Sat 08:39:32 PM,33.6001,-111.9437, 323,348,400,"11,400"
Sat 08:40:02 PM,33.6370,-111.9774, 322,354,407,"12,875"
Sat 08:40:24 PM,33.6651,-112.0032, 322,349,402,"14,050"
Sat 08:40:53 PM,33.6996,-112.0347, 323,341,392,"15,775"
Sat 08:41:14 PM,33.7281,-112.0606, 324,343,395,"16,750"
Sat 08:41:45 PM,33.7696,-112.0984, 323,356,410,"17,825"
Sat 08:42:03 PM,33.7923,-112.1192, 323,362,417,"18,375"
Sat 08:42:41 PM,33.8444,-112.1666, 323,367,422,"19,900"
Sat 08:43:11 PM,33.8845,-112.2033, 323,369,425,"21,075"
Sat 08:43:41 PM,33.9255,-112.2409, 323,374,430,"22,150"
Sat 08:44:11 PM,33.9671,-112.2790, 323,377,434,"23,125"
Sat 08:44:41 PM,34.0100,-112.3184, 323,385,443,"24,000"
Sat 08:45:25 PM,34.0733,-112.3803, 320,395,455,"25,225"
Sat 08:45:55 PM,34.1144,-112.4216, 320,402,463,"25,975"
Sat 08:46:25 PM,34.1585,-112.4661, 320,414,476,"26,000"
Sat 08:46:56 PM,34.2033,-112.5113, 320,413,475,"26,000"
Sat 08:47:26 PM,34.2474,-112.5556, 320,414,476,"26,000"
Sat 08:47:56 PM,34.2929,-112.6017, 320,416,479,"26,000"
Sat 08:48:26 PM,34.3359,-112.6451, 320,418,481,"26,000"
Sat 08:48:56 PM,34.3810,-112.6907, 320,418,481,"26,000"
Sat 08:49:26 PM,34.4265,-112.7369, 320,419,482,"26,000"
Sat 08:49:59 PM,34.4734,-112.7847, 320,418,481,"26,000"
Sat 08:50:29 PM,34.5175,-112.8296, 320,417,480,"26,000"
Sat 08:50:59 PM,34.5618,-112.8748, 320,418,481,"26,000"
Sat 08:51:32 PM,34.6128,-112.9270, 320,419,482,"26,000"
Sat 08:52:04 PM,34.6572,-112.9723, 320,418,481,"26,000"
Sat 08:52:35 PM,34.7040,-113.0202, 320,418,481,"26,000"
Sat 08:53:06 PM,34.7494,-113.0666, 320,417,480,"26,000"
Sat 08:53:33 PM,34.7869,-113.1096, 313,418,481,"26,000"
Sat 08:54:08 PM,34.8325,-113.1711, 312,416,479,"26,000"
Sat 08:54:38 PM,34.8713,-113.2221, 313,417,480,"26,000"
Sat 08:55:08 PM,34.9119,-113.2738, 314,417,480,"26,000"
Sat 08:55:38 PM,34.9511,-113.3234, 314,417,480,"26,000"
Sat 08:56:10 PM,34.9971,-113.3791, 319,418,481,"26,000"
Sat 08:56:42 PM,35.0433,-113.4254, 320,420,483,"26,000"
Sat 08:57:12 PM,35.0900,-113.4725, 320,417,480,"25,800"
Sat 08:57:42 PM,35.1343,-113.5171, 320,406,467,"25,250"
Sat 08:58:13 PM,35.1760,-113.5592, 320,399,459,"24,750"
Sat 08:58:44 PM,35.2217,-113.6052, 320,392,451,"24,200"
Sat 08:59:14 PM,35.2638,-113.6479, 320,390,449,"23,675"
Sat 08:59:44 PM,35.3036,-113.6882, 320,388,447,"23,225"
Sat 09:00:14 PM,35.3440,-113.7293, 320,388,447,"22,800"
Sat 09:00:44 PM,35.3865,-113.7722, 320,386,444,"22,400"
Sat 09:01:14 PM,35.4267,-113.8132, 320,383,441,"21,975"
Sat 09:01:44 PM,35.4680,-113.8553, 320,382,440,"21,550"
Sat 09:02:14 PM,35.5084,-113.8965, 320,381,438,"21,150"
Sat 09:02:44 PM,35.5492,-113.9385, 320,378,435,"20,750"
Sat 09:03:14 PM,35.5898,-113.9799, 320,367,422,"20,075"
Sat 09:03:44 PM,35.6285,-114.0194, 320,357,411,"19,300"
Sat 09:04:14 PM,35.6643,-114.0563, 320,346,398,"18,600"
Sat 09:04:45 PM,35.7024,-114.0955, 320,353,406,"17,850"
Sat 09:05:15 PM,35.7422,-114.1364, 320,360,414,"17,000"
Sat 09:05:35 PM,35.7631,-114.1656, 304,362,417,"16,475"
Sat 09:06:15 PM,35.7969,-114.2402, 299,359,413,"15,350"
Sat 09:06:45 PM,35.8203,-114.2928, 298,355,409,"14,575"
Sat 09:07:10 PM,35.8391,-114.3341, 303,357,411,"13,975"
Sat 09:07:53 PM,35.8817,-114.4031, 307,346,398,"12,875"
Sat 09:08:23 PM,35.9110,-114.4501, 308,345,397,"12,125"
Sat 09:08:53 PM,35.9408,-114.4982, 307,347,399,"11,350"
Sat 09:09:16 PM,35.9624,-114.5327, 309,343,395,"10,825"
Sat 09:09:46 PM,35.9918,-114.5803, 307,320,368,"10,050"
