Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 09:31:00 AM    Left Gate (PHX) @ Saturday 06:31:00 AM MST,,,Airline
,,,
Taxi Time: 11 minutes,,,
Sat 09:42:30 AM    Departure (PHX) @ Saturday 06:42:30 AM MST,,,FlightAware ADS-B (KIWA)
Sat 09:42:30 AM,33.4312,-111.9974, 88,157,181,"1,700"
Sat 09:42:46 AM,33.4319,-111.9844, 86,166,191,"2,200"
Sat 09:43:02 AM,33.4327,-111.9691, 88,188,216,"2,525"
Sat 09:43:18 AM,33.4334,-111.9505, 87,203,234,"2,900"
Sat 09:43:34 AM,33.4340,-111.9309, 88,220,253,"3,300"
Sat 09:43:55 AM,33.4350,-111.9062, 87,220,253,"4,250"
Sat 09:44:13 AM,33.4366,-111.8822, 80,243,280,"4,750"
Sat 09:44:31 AM,33.4454,-111.8610, 51,275,316,"5,050"
Sat 09:44:49 AM,33.4676,-111.8449, 13,301,346,"5,525"
Sat 09:45:19 AM,33.5078,-111.8427, 2,311,358,"6,650"
Sat 09:45:49 AM,33.5532,-111.8405, 1,319,367,"8,025"
Sat 09:46:08 AM,33.5806,-111.8478, 333,310,357,"8,875"
Sat 09:46:34 AM,33.6092,-111.8756, 317,305,351,"9,150"
Sat 09:47:04 AM,33.6400,-111.9097, 318,307,353,"9,525"
Sat 09:47:34 AM,33.6703,-111.9427, 318,307,353,"10,925"
Sat 09:48:04 AM,33.7047,-111.9803, 318,338,389,"11,725"
Sat 09:48:34 AM,33.7386,-112.0171, 318,347,399,"12,950"
Sat 09:49:04 AM,33.7752,-112.0570, 318,354,407,"14,350"
Sat 09:49:34 AM,33.8120,-112.0972, 317,357,411,"15,850"
Sat 09:50:04 AM,33.8494,-112.1384, 317,368,423,"17,100"
Sat 09:50:34 AM,33.8878,-112.1808, 318,385,443,"18,025"
Sat 09:51:04 AM,33.9263,-112.2229, 318,393,452,"19,175"
Sat 09:51:34 AM,33.9669,-112.2674, 318,396,456,"20,350"
Sat 09:52:04 AM,34.0093,-112.3140, 318,396,456,"21,650"
Sat 09:52:26 AM,34.0395,-112.3464, 320,403,464,"22,450"
Sat 09:52:56 AM,34.0819,-112.3890, 320,410,472,"23,450"
Sat 09:53:26 AM,34.1250,-112.4322, 320,415,478,"24,350"
Sat 09:53:56 AM,34.1703,-112.4778, 320,419,482,"25,300"
Sat 09:54:26 AM,34.2157,-112.5236, 320,423,487,"26,175"
Sat 09:54:56 AM,34.2605,-112.5688, 320,427,491,"27,025"
Sat 09:55:26 AM,34.3065,-112.6152, 320,425,489,"27,950"
Sat 09:55:58 AM,34.3546,-112.6637, 320,415,478,"28,000"
Sat 09:56:32 AM,34.4041,-112.7142, 320,412,474,"28,000"
Sat 09:57:02 AM,34.4472,-112.7581, 320,411,473,"28,000"
Sat 09:57:33 AM,34.4930,-112.8047, 320,409,471,"28,000"
Sat 09:58:03 AM,34.5358,-112.8484, 320,408,470,"28,000"
Sat 09:58:35 AM,34.5834,-112.8969, 320,408,470,"28,000"
Sat 09:59:05 AM,34.6257,-112.9400, 320,407,468,"28,000"
Sat 09:59:35 AM,34.6687,-112.9840, 320,407,468,"28,000"
Sat 10:00:05 AM,34.7127,-113.0290, 320,406,467,"28,000"
Sat 10:00:30 AM,34.7488,-113.0664, 318,401,461,"28,000"
Sat 10:01:01 AM,34.7858,-113.1122, 314,390,449,"28,000"
Sat 10:01:36 AM,34.8297,-113.1676, 314,389,448,"28,000"
Sat 10:02:10 AM,34.8743,-113.2243, 314,386,444,"28,000"
Sat 10:02:41 AM,34.9118,-113.2718, 314,385,443,"28,000"
Sat 10:03:11 AM,34.9479,-113.3177, 314,384,442,"28,000"
Sat 10:03:41 AM,34.9863,-113.3665, 315,385,443,"28,000"
Sat 10:04:12 AM,35.0271,-113.4091, 320,394,453,"28,000"
Sat 10:04:42 AM,35.0713,-113.4536, 321,387,445,"28,000"
Sat 10:05:12 AM,35.1097,-113.4921, 320,374,430,"27,625"
Sat 10:05:42 AM,35.1494,-113.5321, 320,363,418,"27,100"
Sat 10:06:12 AM,35.1880,-113.5713, 320,364,419,"26,550"
Sat 10:06:29 AM,35.2070,-113.5949, 308,344,396,"26,300"
Sat 10:06:45 AM,35.2183,-113.6218, 290,322,371,"26,025"
Sat 10:07:30 AM,35.2401,-113.6997, 289,328,377,"25,275"
Sat 10:07:53 AM,35.2520,-113.7411, 291,329,379,"24,875"
Sat 10:08:10 AM,35.2655,-113.7688, 307,347,399,"24,575"
Sat 10:08:31 AM,35.2920,-113.7977, 327,374,430,"24,225"
Sat 10:09:07 AM,35.3442,-113.8371, 328,374,430,"23,875"
Sat 10:09:37 AM,35.3888,-113.8708, 328,372,428,"23,350"
Sat 10:10:07 AM,35.4313,-113.9032, 328,370,426,"22,875"
Sat 10:10:37 AM,35.4751,-113.9365, 328,371,427,"22,375"
Sat 10:11:07 AM,35.5198,-113.9705, 328,370,426,"21,875"
Sat 10:11:37 AM,35.5632,-114.0035, 328,365,420,"21,375"
Sat 10:12:07 AM,35.6071,-114.0370, 328,361,415,"20,750"
Sat 10:12:37 AM,35.6478,-114.0684, 328,356,410,"19,975"
Sat 10:13:07 AM,35.6908,-114.1013, 328,351,404,"19,175"
Sat 10:13:37 AM,35.7321,-114.1330, 328,346,398,"18,325"
Sat 10:14:02 AM,35.7610,-114.1639, 310,322,371,"17,700"
Sat 10:14:21 AM,35.7749,-114.1908, 298,311,358,"17,150"
Sat 10:14:51 AM,35.7953,-114.2364, 299,306,352,"16,350"
Sat 10:15:21 AM,35.8169,-114.2848, 299,299,344,"15,475"
Sat 10:15:51 AM,35.8351,-114.3259, 300,296,341,"14,725"
Sat 10:16:35 AM,35.8713,-114.3868, 307,297,342,"13,575"
Sat 10:17:05 AM,35.8954,-114.4254, 308,294,338,"12,825"
Sat 10:17:35 AM,35.9211,-114.4663, 308,292,336,"12,025"
Sat 10:18:05 AM,35.9465,-114.5070, 308,292,336,"11,250"
Sat 10:18:35 AM,35.9702,-114.5450, 307,301,346,"10,500"
Sat 10:19:04 AM,35.9961,-114.5874, 307,302,348,"9,975"
Sat 10:19:34 AM,36.0208,-114.6276, 307,295,339,"9,225"
Sat 10:19:54 AM,36.0379,-114.6557, 304,286,329,"8,775"
Sat 10:20:21 AM,36.0549,-114.6904, 301,272,313,"8,475"
Sat 10:20:39 AM,36.0667,-114.7146, 299,261,300,"8,300"
Sat 10:20:55 AM,36.0727,-114.7375, 279,243,280,"8,150"
Sat 10:21:12 AM,36.0731,-114.7608, 271,241,277,"7,800"
Sat 10:21:42 AM,36.0734,-114.8017, 270,236,272,"7,300"
Sat 10:22:12 AM,36.0735,-114.8395, 271,230,265,"6,800"
Sat 10:22:42 AM,36.0736,-114.8788, 270,217,250,"6,300"
Sat 10:23:12 AM,36.0736,-114.9151, 270,213,245,"5,650"
Sat 10:23:42 AM,36.0736,-114.9507, 270,201,231,"5,125"
Sat 10:24:12 AM,36.0737,-114.9850, 270,194,223,"4,550"
Sat 10:24:41 AM,36.0737,-115.0161, 270,174,200,"4,050"
Sat 10:25:11 AM,36.0736,-115.0435, 269,164,189,"3,625"
,,,
