Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 12:34:20 AM    Departure (PHX) @ Saturday 10:34:20 PM MST,,,FlightAware ADS-B (KSDL)
Sun 12:34:20 AM,33.4311,-112.0034, 89,148,170,"1,300"
Sun 12:34:36 AM,33.4313,-111.9908, 88,141,162,"2,075"
Sun 12:34:52 AM,33.4318,-111.9786, 86,155,178,"2,575"
Sun 12:35:08 AM,33.4327,-111.9647, 86,178,205,"2,925"
Sun 12:35:24 AM,33.4338,-111.9456, 86,207,238,"3,450"
Sun 12:35:40 AM,33.4346,-111.9276, 87,227,261,"4,075"
Sun 12:35:58 AM,33.4357,-111.9020, 87,256,295,"4,800"
Sun 12:36:18 AM,33.4373,-111.8741, 82,269,310,"5,875"
Sun 12:36:36 AM,33.4457,-111.8487, 56,276,318,"6,975"
Sun 12:36:53 AM,33.4624,-111.8318, 29,284,327,"8,175"
Sun 12:37:09 AM,33.4827,-111.8234, 10,289,333,"9,300"
Sun 12:37:27 AM,33.5066,-111.8247, 349,293,337,"10,525"
Sun 12:38:01 AM,33.5486,-111.8576, 320,332,382,"12,075"
Sun 12:38:31 AM,33.5815,-111.8914, 320,327,376,"14,025"
Sun 12:39:01 AM,33.6155,-111.9256, 320,327,376,"15,900"
Sun 12:39:31 AM,33.6523,-111.9617, 321,340,391,"17,350"
Sun 12:40:01 AM,33.6886,-111.9974, 321,348,400,"18,800"
Sun 12:40:32 AM,33.7278,-112.0361, 320,350,403,"20,575"
Sun 12:41:03 AM,33.7694,-112.0772, 320,384,442,"21,150"
Sun 12:41:33 AM,33.8103,-112.1178, 320,396,456,"22,125"
Sun 12:42:03 AM,33.8530,-112.1602, 320,400,460,"23,400"
Sun 12:42:33 AM,33.8959,-112.2027, 320,408,470,"24,450"
Sun 12:43:03 AM,33.9425,-112.2492, 320,416,479,"25,400"
Sun 12:43:34 AM,33.9885,-112.2950, 320,421,484,"26,350"
Sun 12:44:04 AM,34.0337,-112.3400, 320,429,494,"27,150"
Sun 12:44:34 AM,34.0804,-112.3868, 320,435,501,"27,875"
Sun 12:45:04 AM,34.1249,-112.4316, 320,434,499,"28,000"
Sun 12:45:34 AM,34.1698,-112.4769, 320,436,502,"28,000"
Sun 12:46:04 AM,34.2182,-112.5258, 320,435,501,"28,000"
Sun 12:46:34 AM,34.2634,-112.5714, 320,434,499,"28,000"
Sun 12:47:04 AM,34.3101,-112.6185, 320,434,499,"28,000"
Sun 12:47:34 AM,34.3563,-112.6653, 320,435,501,"28,000"
Sun 12:48:04 AM,34.4033,-112.7129, 320,434,499,"28,000"
Sun 12:48:34 AM,34.4494,-112.7599, 320,434,499,"28,000"
Sun 12:49:04 AM,34.4953,-112.8066, 320,437,503,"28,000"
Sun 12:49:34 AM,34.5412,-112.8535, 320,437,503,"28,000"
Sun 12:50:04 AM,34.5894,-112.9027, 320,435,501,"28,000"
Sun 12:50:34 AM,34.6350,-112.9495, 320,436,502,"28,000"
Sun 12:51:04 AM,34.6807,-112.9965, 320,435,501,"28,000"
Sun 12:51:34 AM,34.7279,-113.0445, 320,435,501,"28,000"
Sun 12:52:01 AM,34.7683,-113.0860, 318,438,504,"28,000"
Sun 12:52:36 AM,34.8166,-113.1465, 312,438,504,"28,000"
Sun 12:53:06 AM,34.8571,-113.2010, 313,440,506,"28,000"
Sun 12:53:36 AM,34.9004,-113.2571, 314,441,507,"28,000"
Sun 12:54:06 AM,34.9430,-113.3113, 314,441,507,"28,000"
Sun 12:54:36 AM,34.9852,-113.3651, 315,443,510,"28,000"
Sun 12:55:19 AM,35.0525,-113.4347, 320,443,510,"28,000"
Sun 12:55:49 AM,35.0996,-113.4821, 320,438,504,"27,875"
Sun 12:56:19 AM,35.1467,-113.5295, 321,431,496,"27,400"
Sun 12:56:49 AM,35.1932,-113.5762, 321,429,494,"26,925"
Sun 12:57:19 AM,35.2357,-113.6191, 320,426,490,"26,425"
Sun 12:57:49 AM,35.2811,-113.6651, 320,425,489,"25,950"
Sun 12:58:19 AM,35.3268,-113.7115, 320,423,487,"25,375"
Sun 12:58:49 AM,35.3720,-113.7574, 320,416,479,"24,400"
Sun 12:59:19 AM,35.4176,-113.8037, 320,409,471,"23,425"
Sun 12:59:49 AM,35.4609,-113.8479, 320,406,467,"22,525"
Sun 01:00:19 AM,35.5019,-113.8898, 320,396,456,"21,600"
Sun 01:00:49 AM,35.5457,-113.9347, 320,379,436,"20,650"
Sun 01:01:19 AM,35.5859,-113.9758, 320,364,419,"19,800"
Sun 01:01:49 AM,35.6224,-114.0131, 320,351,404,"19,025"
Sun 01:02:19 AM,35.6595,-114.0512, 320,339,390,"18,200"
Sun 01:02:49 AM,35.6945,-114.0873, 320,333,383,"17,275"
Sun 01:03:19 AM,35.7302,-114.1240, 320,322,371,"16,525"
Sun 01:03:40 AM,35.7534,-114.1483, 316,316,364,"16,000"
Sun 01:03:56 AM,35.7678,-114.1735, 298,312,359,"15,600"
Sun 01:04:26 AM,35.7878,-114.2199, 298,311,358,"14,900"
Sun 01:04:57 AM,35.8085,-114.2667, 299,309,356,"14,175"
Sun 01:05:27 AM,35.8286,-114.3121, 299,304,350,"13,500"
Sun 01:05:44 AM,35.8414,-114.3392, 304,298,343,"13,075"
Sun 01:06:14 AM,35.8660,-114.3786, 308,290,334,"12,400"
Sun 01:06:44 AM,35.8897,-114.4164, 308,281,323,"11,750"
Sun 01:07:14 AM,35.9138,-114.4550, 307,273,314,"11,100"
Sun 01:07:45 AM,35.9362,-114.4911, 308,266,306,"10,500"
Sun 01:08:09 AM,35.9554,-114.5217, 308,261,300,"9,975"
Sun 01:08:39 AM,35.9769,-114.5562, 307,255,293,"9,400"
Sun 01:09:09 AM,35.9973,-114.5893, 307,251,289,"8,850"
Sun 01:09:33 AM,36.0139,-114.6166, 307,248,285,"8,400"
Sun 01:10:03 AM,36.0352,-114.6512, 307,241,277,"7,875"
Sun 01:10:26 AM,36.0479,-114.6759, 301,236,272,"7,825"
Sun 01:10:56 AM,36.0649,-114.7108, 301,226,260,"7,800"
Sun 01:11:12 AM,36.0712,-114.7301, 283,214,246,"7,825"
Sun 01:11:31 AM,36.0730,-114.7529, 272,210,242,"7,775"
Sun 01:11:54 AM,36.0734,-114.7807, 272,208,239,"7,475"
Sun 01:12:24 AM,36.0735,-114.8150, 270,203,234,"6,950"
Sun 01:12:54 AM,36.0735,-114.8508, 270,202,232,"6,350"
Sun 01:13:24 AM,36.0736,-114.8828, 270,194,223,"5,800"
Sun 01:13:54 AM,36.0736,-114.9156, 270,181,208,"5,250"
Sun 01:14:24 AM,36.0736,-114.9454, 270,162,186,"4,775"
Sun 01:14:54 AM,36.0737,-114.9723, 270,147,169,"4,350"
Sun 01:15:24 AM,36.0737,-114.9976, 270,152,175,"3,925"
Sun 01:15:54 AM,36.0737,-115.0217, 269,136,157,"3,550"
Sun 01:16:22 AM,36.0737,-115.0433, 270,136,157,"3,200"
,,,
Sun 01:16:47 AM,36.0737,-115.0635, 270,136,157,"2,900"
,,,
Sun 01:17:03 AM,36.0737,-115.0747, 270,136,157,"2,725"
Sun 01:17:19 AM,36.0737,-115.0871, 270,133,153,"2,525"
Sun 01:17:35 AM,36.0737,-115.0988, 270,130,150,"2,350"
Sun 01:17:51 AM,36.0737,-115.1113, 270,128,147,"2,150"
,,,
Sun 01:18:00 AM    Arrival (LAS) @ Saturday 10:18:00 PM PST,,,Airline
,,,
Sun 01:18:07 AM,36.0737,-115.1224, 270,126,145,"2,000"
Sun 01:18:23 AM,36.0737,-115.1343, 270,115,132,"1,875"
,,,
Taxi Time: 8 minutes,,,
Sun 01:26:00 AM    Gate Arrival (LAS) @ Saturday 10:26:00 PM PST,,,Airline
