Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 01:44:57 PM    Departure (PHX) @ Saturday 10:44:57 AM MST,,,FlightAware ADS-B (KSDL)
Sat 01:44:57 PM,33.4311,-111.9887, 90,175,201,"1,575"
Sat 01:45:13 PM,33.4313,-111.9726, 88,180,207,"2,225"
Sat 01:45:29 PM,33.4318,-111.9570, 87,191,220,"2,700"
Sat 01:45:45 PM,33.4329,-111.9384, 85,214,246,"3,000"
Sat 01:46:11 PM,33.4353,-111.9028, 86,251,289,"3,600"
Sat 01:46:29 PM,33.4373,-111.8804, 80,259,298,"4,275"
Sat 01:46:47 PM,33.4475,-111.8566, 52,277,319,"4,825"
Sat 01:47:04 PM,33.4678,-111.8428, 17,290,334,"5,525"
Sat 01:47:33 PM,33.5054,-111.8420, 359,295,339,"6,825"
Sat 01:47:58 PM,33.5410,-111.8409, 3,300,345,"7,975"
Sat 01:48:28 PM,33.5825,-111.8386, 2,301,346,"8,900"
Sat 01:48:58 PM,33.6268,-111.8369, 2,302,348,"8,925"
Sat 01:49:14 PM,33.6475,-111.8367, 359,302,348,"8,900"
Sat 01:49:31 PM,33.6710,-111.8393, 352,300,345,"9,025"
Sat 01:49:54 PM,33.7024,-111.8448, 351,302,348,"9,750"
Sat 01:50:13 PM,33.7273,-111.8529, 337,309,356,"10,375"
Sat 01:50:30 PM,33.7498,-111.8724, 315,325,374,"10,675"
Sat 01:50:59 PM,33.7737,-111.9131, 305,339,390,"11,475"
Sat 01:51:28 PM,33.8009,-111.9614, 306,343,395,"12,825"
Sat 01:51:58 PM,33.8294,-112.0079, 307,345,397,"14,250"
Sat 01:52:28 PM,33.8574,-112.0526, 307,347,399,"15,575"
Sat 01:52:58 PM,33.8867,-112.1008, 306,353,406,"16,775"
Sat 01:53:18 PM,33.9045,-112.1304, 307,359,413,"17,425"
Sat 01:53:48 PM,33.9352,-112.1813, 306,365,420,"18,600"
Sat 01:54:18 PM,33.9655,-112.2316, 306,372,428,"19,650"
Sat 01:54:48 PM,33.9965,-112.2829, 306,378,435,"20,700"
Sat 01:55:08 PM,34.0166,-112.3155, 308,383,441,"21,350"
Sat 01:55:30 PM,34.0448,-112.3511, 318,392,451,"22,175"
Sat 01:56:11 PM,34.1027,-112.4098, 320,397,457,"23,550"
Sat 01:56:41 PM,34.1443,-112.4518, 320,401,461,"24,475"
Sat 01:57:11 PM,34.1870,-112.4948, 320,406,467,"25,350"
Sat 01:57:41 PM,34.2313,-112.5393, 320,414,476,"26,025"
Sat 01:58:11 PM,34.2768,-112.5854, 320,439,505,"26,025"
Sat 01:58:41 PM,34.3238,-112.6330, 320,456,525,"26,025"
Sat 01:59:15 PM,34.3823,-112.6925, 320,466,536,"26,000"
Sat 01:59:45 PM,34.4297,-112.7405, 320,465,535,"26,000"
Sat 02:00:15 PM,34.4799,-112.7913, 320,465,535,"26,000"
Sat 02:00:45 PM,34.5281,-112.8403, 320,463,533,"26,025"
Sat 02:01:15 PM,34.5773,-112.8905, 320,463,533,"26,000"
Sat 02:01:47 PM,34.6303,-112.9447, 320,465,535,"26,000"
Sat 02:02:17 PM,34.6798,-112.9954, 320,465,535,"26,000"
Sat 02:02:49 PM,34.7303,-113.0470, 320,445,512,"25,975"
Sat 02:03:19 PM,34.7756,-113.0953, 316,409,471,"26,000"
Sat 02:03:56 PM,34.8201,-113.1550, 312,394,453,"25,975"
Sat 02:04:26 PM,34.8574,-113.2047, 313,394,453,"26,000"
Sat 02:04:56 PM,34.8963,-113.2542, 314,411,473,"26,025"
Sat 02:05:26 PM,34.9367,-113.3049, 314,431,496,"26,025"
Sat 02:05:57 PM,34.9806,-113.3596, 315,436,502,"26,000"
Sat 02:06:35 PM,35.0380,-113.4195, 320,442,509,"26,000"
Sat 02:07:05 PM,35.0853,-113.4672, 320,443,510,"25,975"
Sat 02:07:35 PM,35.1332,-113.5157, 320,442,509,"25,100"
Sat 02:08:05 PM,35.1799,-113.5630, 320,435,501,"24,100"
Sat 02:08:38 PM,35.2327,-113.6164, 321,437,503,"24,000"
Sat 02:09:08 PM,35.2781,-113.6623, 320,437,503,"24,000"
Sat 02:09:38 PM,35.3243,-113.7092, 320,437,503,"24,000"
Sat 02:10:08 PM,35.3717,-113.7572, 320,438,504,"24,000"
Sat 02:10:39 PM,35.4199,-113.8063, 320,434,499,"24,000"
Sat 02:11:09 PM,35.4657,-113.8530, 320,418,481,"23,750"
Sat 02:11:39 PM,35.5095,-113.8981, 320,410,472,"22,425"
Sat 02:12:09 PM,35.5533,-113.9428, 320,401,461,"21,025"
