Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 02:15:00 PM    Left Gate (PHX) @ Saturday 11:15:00 AM MST,,,Airline
,,,
Taxi Time: 17 minutes,,,
Sat 02:32:49 PM    Departure (PHX) @ Saturday 11:32:49 AM MST,,,FlightAware ADS-B (KPHX)
Sat 02:32:49 PM,33.4311,-112.0004, 90,154,177,"1,325"
Sat 02:33:05 PM,33.4316,-111.9870, 86,149,171,"2,025"
Sat 02:33:21 PM,33.4325,-111.9710, 87,164,189,"2,425"
Sat 02:33:37 PM,33.4332,-111.9579, 86,190,219,"2,725"
Sat 02:33:53 PM,33.4343,-111.9393, 86,211,243,"3,150"
Sat 02:34:20 PM,33.4359,-111.9056, 88,251,289,"3,950"
Sat 02:34:42 PM,33.4372,-111.8726, 85,269,310,"4,950"
Sat 02:34:59 PM,33.4439,-111.8488, 59,283,326,"5,400"
Sat 02:35:16 PM,33.4600,-111.8310, 29,279,321,"5,825"
Sat 02:35:33 PM,33.4831,-111.8240, 0,285,328,"6,300"
Sat 02:35:58 PM,33.5143,-111.8269, 355,295,339,"7,125"
Sat 02:36:28 PM,33.5555,-111.8300, 357,298,343,"7,700"
Sat 02:36:58 PM,33.5964,-111.8325, 357,302,348,"7,900"
Sat 02:37:28 PM,33.6391,-111.8352, 357,301,346,"7,900"
Sat 02:37:44 PM,33.6623,-111.8378, 352,298,343,"8,075"
Sat 02:38:03 PM,33.6878,-111.8424, 352,300,345,"8,975"
Sat 02:38:26 PM,33.7193,-111.8486, 346,302,348,"10,225"
Sat 02:38:43 PM,33.7393,-111.8609, 320,311,358,"10,850"
Sat 02:39:22 PM,33.7739,-111.9154, 305,304,350,"13,075"
Sat 02:39:52 PM,33.7990,-111.9572, 306,309,356,"14,500"
Sat 02:40:22 PM,33.8237,-111.9975, 306,312,359,"15,875"
Sat 02:41:07 PM,33.8657,-112.0669, 306,361,415,"16,600"
Sat 02:41:37 PM,33.8965,-112.1174, 306,373,429,"17,625"
Sat 02:42:07 PM,33.9267,-112.1670, 306,381,438,"18,650"
Sat 02:42:37 PM,33.9587,-112.2197, 306,386,444,"19,775"
Sat 02:43:07 PM,33.9897,-112.2709, 306,394,453,"20,725"
Sat 02:43:36 PM,34.0210,-112.3224, 308,399,459,"21,775"
Sat 02:44:00 PM,34.0541,-112.3608, 320,409,471,"22,600"
Sat 02:44:30 PM,34.0980,-112.4045, 320,415,478,"23,550"
Sat 02:45:00 PM,34.1420,-112.4487, 320,421,484,"24,325"
Sat 02:45:30 PM,34.1868,-112.4938, 320,425,489,"25,275"
Sat 02:46:00 PM,34.2334,-112.5407, 320,425,489,"26,250"
Sat 02:46:30 PM,34.2779,-112.5856, 320,432,497,"26,925"
Sat 02:47:00 PM,34.3252,-112.6335, 320,433,498,"27,775"
Sat 02:47:31 PM,34.3710,-112.6798, 320,430,495,"28,000"
Sat 02:48:01 PM,34.4199,-112.7294, 320,430,495,"28,000"
Sat 02:48:31 PM,34.4627,-112.7729, 320,427,491,"28,000"
Sat 02:49:01 PM,34.5080,-112.8191, 320,429,494,"28,000"
Sat 02:49:31 PM,34.5547,-112.8668, 320,432,497,"28,000"
Sat 02:50:01 PM,34.6006,-112.9137, 320,433,498,"28,050"
Sat 02:50:31 PM,34.6464,-112.9604, 320,434,499,"28,050"
Sat 02:51:01 PM,34.6924,-113.0075, 320,434,499,"28,050"
Sat 02:51:31 PM,34.7390,-113.0553, 320,430,495,"28,000"
Sat 02:51:52 PM,34.7700,-113.0875, 318,426,490,"28,000"
Sat 02:52:15 PM,34.7999,-113.1242, 312,423,487,"28,000"
Sat 02:52:45 PM,34.8400,-113.1781, 312,423,487,"28,000"
Sat 02:53:15 PM,34.8816,-113.2327, 313,425,489,"28,000"
Sat 02:53:45 PM,34.9207,-113.2827, 314,426,490,"27,975"
Sat 02:54:16 PM,34.9640,-113.3378, 314,427,491,"27,975"
Sat 02:54:38 PM,34.9931,-113.3740, 317,428,493,"28,000"
Sat 02:55:08 PM,35.0400,-113.4216, 321,431,496,"28,000"
Sat 02:55:38 PM,35.0868,-113.4682, 321,426,490,"27,625"
Sat 02:56:08 PM,35.1322,-113.5141, 320,425,489,"27,100"
Sat 02:56:38 PM,35.1771,-113.5595, 320,423,487,"26,625"
Sat 02:57:08 PM,35.2202,-113.6030, 320,414,476,"26,150"
Sat 02:57:38 PM,35.2653,-113.6488, 320,413,475,"25,675"
Sat 02:58:08 PM,35.3113,-113.6954, 320,415,478,"25,175"
Sat 02:58:38 PM,35.3541,-113.7389, 320,417,480,"24,625"
Sat 02:59:09 PM,35.4007,-113.7862, 320,411,473,"23,675"
Sat 02:59:39 PM,35.4446,-113.8308, 320,401,461,"22,675"
Sat 03:00:10 PM,35.4864,-113.8736, 320,397,457,"21,750"
Sat 03:00:40 PM,35.5306,-113.9189, 320,391,450,"20,775"
Sat 03:01:10 PM,35.5696,-113.9587, 320,384,442,"19,875"
Sat 03:01:40 PM,35.6120,-114.0023, 320,384,442,"18,925"
Sat 03:02:10 PM,35.6510,-114.0421, 320,381,438,"18,050"
Sat 03:02:40 PM,35.6943,-114.0864, 320,378,435,"17,100"
Sat 03:03:10 PM,35.7321,-114.1253, 320,360,414,"16,175"
Sat 03:03:30 PM,35.7560,-114.1514, 312,339,390,"15,600"
Sat 03:04:13 PM,35.7876,-114.2192, 298,315,362,"14,500"
Sat 03:04:43 PM,35.8087,-114.2670, 299,310,357,"13,750"
Sat 03:05:06 PM,35.8242,-114.3015, 300,308,354,"13,200"
Sat 03:05:27 PM,35.8454,-114.3273, 330,320,368,"12,700"
Sat 03:05:43 PM,35.8692,-114.3364, 354,330,380,"12,275"
Sat 03:06:01 PM,35.8965,-114.3373, 359,329,379,"11,800"
Sat 03:06:31 PM,35.9419,-114.3383, 358,325,374,"11,050"
Sat 03:07:01 PM,35.9873,-114.3403, 358,324,373,"10,800"
Sat 03:07:31 PM,36.0321,-114.3424, 358,325,374,"10,625"
Sat 03:08:01 PM,36.0765,-114.3443, 358,319,367,"10,500"
Sat 03:08:20 PM,36.1050,-114.3465, 351,315,362,"10,375"
Sat 03:08:37 PM,36.1273,-114.3583, 326,314,361,"10,275"
Sat 03:08:55 PM,36.1466,-114.3800, 316,308,354,"10,175"
Sat 03:09:25 PM,36.1767,-114.4162, 316,310,357,"10,050"
Sat 03:09:41 PM,36.1909,-114.4394, 295,306,352,"9,925"
Sat 03:10:10 PM,36.1958,-114.4875, 271,294,338,"9,600"
Sat 03:10:40 PM,36.1972,-114.5373, 272,295,339,"9,225"
Sat 03:11:10 PM,36.1991,-114.5891, 273,301,346,"8,875"
Sat 03:11:37 PM,36.2009,-114.6363, 271,297,342,"8,525"
Sat 03:11:53 PM,36.1979,-114.6613, 253,290,334,"8,250"
Sat 03:12:14 PM,36.1891,-114.6925, 251,288,331,"7,850"
Sat 03:12:44 PM,36.1757,-114.7398, 251,286,329,"7,250"
