Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sat 02:28:00 PM    Left Gate (PHX) @ Saturday 11:28:00 AM MST,,,Airline
,,,
Taxi Time: 10 minutes,,,
Sat 02:38:58 PM    Departure (PHX) @ Saturday 11:38:58 AM MST,,,FlightAware ADS-B (KFFZ)
Sat 02:38:58 PM,33.4310,-111.9923, 89,178,205,"1,450"
Sat 02:39:14 PM,33.4314,-111.9767, 88,171,197,"2,225"
Sat 02:39:30 PM,33.4320,-111.9612, 86,176,203,"2,775"
Sat 02:39:46 PM,33.4329,-111.9449, 86,189,217,"3,150"
Sat 02:40:02 PM,33.4340,-111.9269, 85,201,231,"3,475"
Sat 02:40:20 PM,33.4355,-111.9050, 86,218,251,"3,750"
Sat 02:40:43 PM,33.4373,-111.8769, 85,254,292,"4,075"
Sat 02:40:59 PM,33.4429,-111.8533, 63,273,314,"4,475"
Sat 02:41:15 PM,33.4569,-111.8356, 35,274,315,"5,175"
Sat 02:41:33 PM,33.4782,-111.8279, 4,282,325,"6,050"
Sat 02:41:54 PM,33.5050,-111.8297, 356,285,328,"6,975"
Sat 02:42:22 PM,33.5451,-111.8332, 357,300,345,"7,825"
Sat 02:42:46 PM,33.5767,-111.8342, 359,298,343,"7,900"
Sat 02:43:11 PM,33.6109,-111.8350, 359,298,343,"7,900"
Sat 02:43:40 PM,33.6522,-111.8367, 356,299,344,"7,975"
Sat 02:44:04 PM,33.6852,-111.8422, 352,298,343,"8,925"
Sat 02:44:26 PM,33.7134,-111.8471, 350,298,343,"9,875"
Sat 02:44:45 PM,33.7398,-111.8618, 320,306,352,"10,525"
Sat 02:45:29 PM,33.7757,-111.9192, 306,303,349,"12,375"
Sat 02:46:14 PM,33.8140,-111.9824, 306,307,353,"14,175"
Sat 02:46:44 PM,33.8388,-112.0231, 306,307,353,"15,350"
Sat 02:47:14 PM,33.8650,-112.0663, 306,332,382,"15,875"
Sat 02:47:44 PM,33.8932,-112.1131, 306,354,407,"16,350"
Sat 02:48:14 PM,33.9226,-112.1617, 306,376,433,"16,800"
Sat 02:48:44 PM,33.9532,-112.2123, 306,388,447,"17,425"
Sat 02:49:14 PM,33.9857,-112.2660, 306,394,453,"18,325"
Sat 02:49:44 PM,34.0189,-112.3201, 307,402,463,"19,150"
Sat 02:50:00 PM,34.0400,-112.3472, 318,411,473,"19,625"
Sat 02:50:30 PM,34.0824,-112.3891, 320,418,481,"20,400"
Sat 02:51:00 PM,34.1272,-112.4340, 320,422,486,"21,200"
Sat 02:51:30 PM,34.1732,-112.4805, 320,425,489,"22,050"
Sat 02:52:00 PM,34.2190,-112.5269, 320,431,496,"22,800"
Sat 02:52:30 PM,34.2647,-112.5731, 320,436,502,"23,550"
Sat 02:53:00 PM,34.3118,-112.6207, 320,439,505,"24,250"
Sat 02:53:30 PM,34.3597,-112.6690, 320,440,506,"25,025"
Sat 02:54:00 PM,34.4045,-112.7143, 320,439,505,"25,800"
Sat 02:54:31 PM,34.4541,-112.7646, 320,430,495,"27,000"
Sat 02:55:01 PM,34.4990,-112.8104, 320,432,497,"27,700"
Sat 02:55:31 PM,34.5446,-112.8570, 320,431,496,"28,000"
Sat 02:56:01 PM,34.5913,-112.9046, 320,430,495,"28,000"
Sat 02:56:31 PM,34.6355,-112.9501, 320,443,510,"28,000"
Sat 02:57:01 PM,34.6835,-112.9995, 320,463,533,"28,000"
Sat 02:57:32 PM,34.7353,-113.0526, 320,474,545,"28,000"
Sat 02:57:55 PM,34.7747,-113.0935, 318,470,541,"28,000"
Sat 02:58:31 PM,34.8284,-113.1624, 312,465,535,"28,000"
Sat 02:59:01 PM,34.8701,-113.2180, 313,465,535,"28,000"
Sat 02:59:33 PM,34.9181,-113.2799, 314,468,539,"28,000"
Sat 03:00:04 PM,34.9648,-113.3393, 314,470,541,"28,000"
Sat 03:00:20 PM,34.9881,-113.3685, 315,471,542,"28,000"
Sat 03:00:50 PM,35.0401,-113.4222, 321,475,547,"28,025"
Sat 03:01:24 PM,35.0970,-113.4791, 321,473,544,"28,025"
Sat 03:01:55 PM,35.1480,-113.5305, 320,472,543,"28,025"
Sat 03:02:25 PM,35.2000,-113.5830, 320,472,543,"27,625"
Sat 03:02:56 PM,35.2534,-113.6371, 320,479,551,"27,050"
Sat 03:03:26 PM,35.3028,-113.6874, 320,475,547,"25,900"
Sat 03:03:57 PM,35.3555,-113.7408, 320,464,534,"25,075"
Sat 03:04:27 PM,35.4045,-113.7903, 320,457,526,"23,575"
Sat 03:04:57 PM,35.4520,-113.8387, 320,451,519,"22,150"
Sat 03:05:27 PM,35.5005,-113.8884, 320,443,510,"20,825"
Sat 03:05:57 PM,35.5465,-113.9353, 320,432,497,"19,675"
Sat 03:06:27 PM,35.5922,-113.9821, 320,430,495,"18,275"
Sat 03:06:57 PM,35.6376,-114.0286, 320,422,486,"17,200"
Sat 03:07:27 PM,35.6836,-114.0759, 320,402,463,"16,725"
Sat 03:07:58 PM,35.7245,-114.1176, 320,366,421,"16,550"
Sat 03:08:19 PM,35.7505,-114.1443, 318,339,390,"16,225"
Sat 03:08:48 PM,35.7747,-114.1882, 298,319,367,"15,225"
Sat 03:09:18 PM,35.7952,-114.2361, 298,313,360,"13,975"
Sat 03:09:48 PM,35.8156,-114.2826, 299,302,348,"13,125"
Sat 03:10:06 PM,35.8277,-114.3080, 307,308,354,"12,725"
Sat 03:10:25 PM,35.8501,-114.3293, 336,321,369,"12,350"
Sat 03:10:50 PM,35.8881,-114.3358, 359,329,379,"11,825"
Sat 03:11:20 PM,35.9327,-114.3380, 358,328,377,"11,150"
Sat 03:11:50 PM,35.9786,-114.3400, 358,324,373,"10,850"
Sat 03:12:20 PM,36.0229,-114.3420, 358,322,371,"10,650"
Sat 03:12:50 PM,36.0673,-114.3440, 358,312,359,"10,475"
Sat 03:13:11 PM,36.0992,-114.3453, 357,318,366,"10,375"
Sat 03:13:27 PM,36.1201,-114.3528, 334,308,354,"10,225"
Sat 03:13:48 PM,36.1421,-114.3771, 316,311,358,"10,200"
Sat 03:14:14 PM,36.1698,-114.4086, 317,309,356,"10,000"
Sat 03:14:31 PM,36.1862,-114.4296, 310,303,349,"9,950"
Sat 03:14:49 PM,36.1941,-114.4587, 273,283,326,"9,650"
Sat 03:15:16 PM,36.1954,-114.4997, 275,274,315,"9,200"
Sat 03:15:46 PM,36.1975,-114.5469, 273,268,308,"8,650"
Sat 03:16:16 PM,36.1992,-114.5918, 272,264,304,"8,450"
Sat 03:16:46 PM,36.2010,-114.6385, 271,265,305,"8,450"
Sat 03:17:04 PM,36.1972,-114.6632, 251,262,302,"8,250"
Sat 03:17:23 PM,36.1893,-114.6898, 252,260,299,"7,925"
Sat 03:17:53 PM,36.1782,-114.7312, 251,256,295,"7,425"
Sat 03:18:23 PM,36.1667,-114.7734, 252,251,289,"6,975"
Sat 03:18:53 PM,36.1555,-114.8147, 251,251,289,"6,950"
Sat 03:19:23 PM,36.1439,-114.8567, 251,251,289,"6,675"
Sat 03:19:48 PM,36.1348,-114.8901, 252,248,285,"6,175"
Sat 03:20:17 PM,36.1361,-114.9289, 275,247,284,"5,925"
Sat 03:20:33 PM,36.1366,-114.9520, 271,246,283,"6,050"
Sat 03:21:03 PM,36.1389,-114.9925, 273,232,267,"5,700"
Sat 03:21:24 PM,36.1401,-115.0194, 274,219,252,"5,275"
Sat 03:21:54 PM,36.1419,-115.0548, 274,191,220,"4,825"
Sat 03:22:10 PM,36.1422,-115.0716, 268,180,207,"4,475"
Sat 03:22:29 PM,36.1417,-115.0910, 270,175,201,"4,025"
,,,
Sat 03:22:42 PM,36.1402,-115.1033, 256,159,183,"3,875"
,,,
Sat 03:22:45 PM,36.1396,-115.1059, 255,158,182,"3,800"
Sat 03:23:01 PM,36.1365,-115.1195, 253,159,183,"3,275"
Sat 03:23:17 PM,36.1312,-115.1312, 229,153,176,"2,825"
Sat 03:23:33 PM,36.1218,-115.1402, 211,145,167,"2,575"
Sat 03:23:49 PM,36.1129,-115.1453, 204,149,171,"2,400"
Sat 03:24:05 PM,36.1031,-115.1510, 204,148,170,"2,200"
Sat 03:24:23 PM,36.0911,-115.1578, 205,146,168,"2,075"
,,,
Sat 03:24:55 PM    Arrival (LAS) @ Saturday 12:24:55 PM PDT,,,FlightAware
,,,
Taxi Time: 8 minutes,,,
Sat 03:33:00 PM    Gate Arrival (LAS) @ Saturday 12:33:00 PM PDT,,,Airline
