Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 08:33:22 PM    Departure (PHX) @ Sunday 05:33:22 PM MST,,,FlightAware ADS-B (KDVT)
Sun 08:33:22 PM,33.4313,-112.0330, 271,176,203,"1,775"
Sun 08:33:38 PM,33.4315,-112.0493, 272,173,199,"2,550"
Sun 08:33:54 PM,33.4320,-112.0646, 272,188,216,"2,775"
Sun 08:34:10 PM,33.4323,-112.0816, 271,204,235,"2,925"
Sun 08:34:39 PM,33.4333,-112.1179, 272,239,275,"3,400"
Sun 08:35:09 PM,33.4346,-112.1578, 273,246,283,"4,625"
Sun 08:35:26 PM,33.4405,-112.1798, 305,255,293,"5,200"
Sun 08:35:44 PM,33.4590,-112.1956, 339,259,298,"5,800"
Sun 08:36:02 PM,33.4786,-112.1968, 2,258,297,"6,650"
Sun 08:36:22 PM,33.5034,-112.1956, 2,264,304,"7,375"
Sun 08:36:41 PM,33.5273,-112.1952, 0,268,308,"8,175"
Sun 08:36:59 PM,33.5508,-112.1969, 356,278,320,"8,750"
Sun 08:37:29 PM,33.5906,-112.2009, 355,295,339,"9,650"
Sun 08:37:53 PM,33.6235,-112.2043, 353,307,353,"10,475"
Sun 08:38:15 PM,33.6529,-112.2123, 345,328,377,"10,850"
Sun 08:38:45 PM,33.7022,-112.2283, 345,359,413,"11,350"
Sun 08:39:15 PM,33.7500,-112.2437, 345,384,442,"11,875"
Sun 08:39:45 PM,33.8038,-112.2611, 345,407,468,"12,375"
Sun 08:40:15 PM,33.8584,-112.2788, 345,402,463,"13,775"
Sun 08:40:43 PM,33.9094,-112.2954, 345,386,444,"15,575"
Sun 08:41:13 PM,33.9586,-112.3115, 345,383,441,"16,850"
Sun 08:41:43 PM,34.0088,-112.3278, 345,375,432,"18,275"
Sun 08:42:00 PM,34.0382,-112.3433, 326,364,419,"19,325"
Sun 08:42:44 PM,34.0933,-112.3986, 319,368,423,"20,825"
Sun 08:43:14 PM,34.1321,-112.4385, 320,373,429,"21,775"
Sun 08:43:44 PM,34.1725,-112.4793, 320,378,435,"22,700"
Sun 08:44:14 PM,34.2133,-112.5204, 320,378,435,"23,775"
Sun 08:44:44 PM,34.2549,-112.5623, 320,384,442,"24,675"
Sun 08:45:14 PM,34.2960,-112.6039, 320,386,444,"25,600"
Sun 08:45:44 PM,34.3364,-112.6448, 320,393,452,"26,300"
Sun 08:46:14 PM,34.3783,-112.6872, 320,396,456,"27,100"
Sun 08:46:44 PM,34.4210,-112.7305, 320,400,460,"27,875"
Sun 08:47:18 PM,34.4692,-112.7797, 320,419,482,"28,000"
Sun 08:47:48 PM,34.5178,-112.8291, 320,441,507,"28,000"
Sun 08:48:18 PM,34.5622,-112.8743, 320,453,521,"28,000"
Sun 08:48:48 PM,34.6110,-112.9240, 320,456,525,"28,000"
Sun 08:49:19 PM,34.6630,-112.9771, 320,454,522,"28,000"
Sun 08:49:49 PM,34.7099,-113.0252, 320,456,525,"28,000"
Sun 08:50:20 PM,34.7574,-113.0739, 320,455,524,"28,000"
Sun 08:51:02 PM,34.8201,-113.1502, 312,453,521,"28,000"
Sun 08:51:32 PM,34.8632,-113.2081, 313,452,520,"27,975"
Sun 08:52:02 PM,34.9054,-113.2630, 314,452,520,"27,950"
Sun 08:52:32 PM,34.9497,-113.3193, 314,454,522,"27,950"
Sun 08:52:59 PM,34.9903,-113.3704, 316,453,521,"27,975"
Sun 08:53:31 PM,35.0429,-113.4243, 321,454,522,"28,000"
Sun 08:54:02 PM,35.0921,-113.4734, 321,454,522,"28,025"
Sun 08:54:32 PM,35.1416,-113.5234, 320,453,521,"28,025"
Sun 08:55:02 PM,35.1898,-113.5721, 320,453,521,"27,975"
Sun 08:55:32 PM,35.2348,-113.6175, 321,453,521,"27,175"
Sun 08:56:02 PM,35.2846,-113.6679, 320,451,519,"25,550"
Sun 08:56:32 PM,35.3327,-113.7169, 320,447,514,"24,075"
Sun 08:57:02 PM,35.3809,-113.7659, 320,437,503,"22,625"
Sun 08:57:32 PM,35.4260,-113.8118, 320,430,495,"21,225"
Sun 08:58:04 PM,35.4768,-113.8637, 320,425,489,"19,700"
Sun 08:58:34 PM,35.5187,-113.9065, 320,420,483,"18,425"
Sun 08:59:04 PM,35.5660,-113.9550, 320,416,479,"17,050"
Sun 08:59:35 PM,35.6101,-114.0003, 320,407,468,"16,050"
Sun 09:00:05 PM,35.6525,-114.0438, 320,384,442,"15,500"
Sun 09:00:35 PM,35.6914,-114.0838, 320,364,419,"15,050"
Sun 09:01:05 PM,35.7294,-114.1228, 320,340,391,"14,650"
Sun 09:01:23 PM,35.7502,-114.1441, 319,333,383,"14,425"
Sun 09:01:47 PM,35.7709,-114.1788, 298,324,373,"13,925"
Sun 09:02:17 PM,35.7924,-114.2288, 298,320,368,"13,125"
Sun 09:02:47 PM,35.8127,-114.2752, 298,315,362,"12,350"
Sun 09:03:17 PM,35.8337,-114.3229, 299,308,354,"11,600"
Sun 09:04:00 PM,35.8692,-114.3820, 308,301,346,"10,550"
Sun 09:04:30 PM,35.8950,-114.4233, 307,294,338,"10,075"
Sun 09:05:02 PM,35.9211,-114.4658, 308,297,342,"10,050"
Sun 09:05:32 PM,35.9465,-114.5067, 307,293,337,"10,075"
Sun 09:05:48 PM,35.9606,-114.5293, 308,292,336,"10,000"
Sun 09:06:18 PM,35.9842,-114.5672, 307,291,335,"9,425"
Sun 09:06:48 PM,36.0085,-114.6066, 307,285,328,"8,850"
Sun 09:07:18 PM,36.0321,-114.6450, 307,275,316,"8,275"
Sun 09:07:40 PM,36.0471,-114.6730, 301,262,302,"8,050"
Sun 09:08:10 PM,36.0650,-114.7098, 301,243,280,"8,050"
Sun 09:08:28 PM,36.0734,-114.7334, 279,230,265,"8,025"
Sun 09:08:48 PM,36.0737,-114.7572, 268,223,257,"7,775"
Sun 09:09:18 PM,36.0734,-114.7967, 270,216,249,"7,225"
Sun 09:09:48 PM,36.0735,-114.8336, 270,217,250,"6,600"
Sun 09:10:18 PM,36.0735,-114.8701, 270,214,246,"6,025"
Sun 09:10:48 PM,36.0736,-114.9069, 270,216,249,"5,450"
Sun 09:11:18 PM,36.0736,-114.9433, 270,221,254,"4,925"
Sun 09:11:48 PM,36.0737,-114.9805, 270,214,246,"4,375"
Sun 09:12:18 PM,36.0737,-115.0155, 270,188,216,"3,775"
Sun 09:12:48 PM,36.0737,-115.0436, 270,165,190,"3,350"
,,,
Sun 09:13:09 PM,36.0737,-115.0633, 270,161,185,"3,050"
,,,
Sun 09:13:25 PM,36.0737,-115.0778, 270,161,185,"2,850"
Sun 09:13:41 PM,36.0737,-115.0932, 270,157,181,"2,625"
