Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 08:24:00 PM    Left Gate (PHX) @ Sunday 05:24:00 PM MST,,,Airline
,,,
Taxi Time: 18 minutes,,,
Sun 08:42:19 PM    Departure (PHX) @ Sunday 05:42:19 PM MST,,,FlightAware ADS-B (KPHX)
Sun 08:42:19 PM,33.4312,-111.9967, 89,170,196,"1,550"
Sun 08:42:35 PM,33.4317,-111.9821, 87,174,200,"2,200"
Sun 08:42:51 PM,33.4325,-111.9655, 87,184,212,"2,750"
Sun 08:43:07 PM,33.4333,-111.9484, 87,205,236,"3,025"
Sun 08:43:23 PM,33.4341,-111.9290, 87,227,261,"3,275"
Sun 08:43:42 PM,33.4352,-111.9034, 87,247,284,"3,850"
Sun 08:44:00 PM,33.4378,-111.8778, 75,262,302,"4,350"
Sun 08:44:18 PM,33.4496,-111.8568, 43,270,311,"5,050"
Sun 08:44:36 PM,33.4692,-111.8446, 13,274,315,"5,700"
Sun 08:44:52 PM,33.4890,-111.8445, 349,271,312,"6,375"
Sun 08:45:08 PM,33.5090,-111.8557, 324,270,311,"7,075"
Sun 08:45:38 PM,33.5369,-111.8817, 323,274,315,"8,325"
Sun 08:46:08 PM,33.5686,-111.9109, 322,284,327,"9,575"
Sun 08:46:38 PM,33.6009,-111.9405, 322,302,348,"10,475"
Sun 08:47:08 PM,33.6345,-111.9714, 323,328,377,"10,975"
Sun 08:47:38 PM,33.6719,-112.0056, 323,341,392,"11,875"
Sun 08:48:08 PM,33.7113,-112.0417, 322,351,404,"13,000"
Sun 08:48:38 PM,33.7490,-112.0764, 322,356,410,"14,025"
Sun 08:49:09 PM,33.7900,-112.1144, 323,371,427,"14,125"
Sun 08:49:39 PM,33.8309,-112.1521, 322,370,426,"14,125"
Sun 08:50:09 PM,33.8710,-112.1891, 322,369,425,"14,125"
Sun 08:50:39 PM,33.9127,-112.2277, 322,369,425,"14,125"
Sun 08:51:09 PM,33.9532,-112.2653, 322,371,427,"14,125"
Sun 08:51:39 PM,33.9948,-112.3035, 325,372,428,"14,100"
Sun 08:52:13 PM,34.0490,-112.3361, 331,374,430,"14,125"
Sun 08:52:43 PM,34.0936,-112.3679, 329,362,417,"14,100"
Sun 08:53:13 PM,34.1348,-112.3975, 329,360,414,"14,125"
Sun 08:53:44 PM,34.1793,-112.4296, 328,348,400,"14,125"
Sun 08:54:15 PM,34.2215,-112.4612, 328,343,395,"14,125"
Sun 08:54:45 PM,34.2606,-112.4906, 328,342,394,"14,125"
Sun 08:55:20 PM,34.3068,-112.5303, 322,338,389,"14,125"
Sun 08:55:36 PM,34.3239,-112.5490, 315,339,390,"14,125"
Sun 08:56:06 PM,34.3572,-112.5901, 314,339,390,"14,125"
Sun 08:56:36 PM,34.3905,-112.6308, 315,340,391,"14,125"
Sun 08:57:06 PM,34.4242,-112.6721, 314,349,402,"14,125"
Sun 08:57:36 PM,34.4596,-112.7154, 315,361,415,"14,125"
Sun 08:58:06 PM,34.4944,-112.7578, 315,362,417,"14,125"
Sun 08:58:36 PM,34.5309,-112.8027, 314,361,415,"14,125"
Sun 08:59:06 PM,34.5652,-112.8449, 315,351,404,"14,100"
Sun 08:59:36 PM,34.5981,-112.8854, 314,344,396,"14,125"
Sun 09:00:06 PM,34.6327,-112.9280, 314,344,396,"14,125"
Sun 09:00:36 PM,34.6654,-112.9684, 314,343,395,"14,125"
Sun 09:01:07 PM,34.6996,-113.0108, 315,347,399,"14,125"
Sun 09:01:37 PM,34.7337,-113.0527, 315,345,397,"14,125"
Sun 09:02:09 PM,34.7685,-113.0955, 314,342,394,"14,100"
Sun 09:02:46 PM,34.8112,-113.1488, 314,342,394,"14,125"
Sun 09:03:16 PM,34.8449,-113.1908, 314,348,400,"14,125"
Sun 09:03:45 PM,34.8778,-113.2284, 320,352,405,"14,125"
Sun 09:04:15 PM,34.9156,-113.2656, 321,348,400,"14,075"
Sun 09:04:34 PM,34.9384,-113.2894, 316,347,399,"14,125"
Sun 09:04:50 PM,34.9565,-113.3143, 307,348,400,"14,125"
Sun 09:05:22 PM,34.9880,-113.3647, 311,350,403,"14,125"
Sun 09:06:10 PM,35.0447,-113.4267, 320,353,406,"14,125"
Sun 09:06:42 PM,35.0850,-113.4675, 320,361,415,"14,150"
Sun 09:07:12 PM,35.1242,-113.5071, 320,375,432,"14,125"
Sun 09:07:42 PM,35.1646,-113.5476, 321,377,434,"14,100"
Sun 09:08:12 PM,35.2055,-113.5888, 320,376,433,"14,100"
Sun 09:08:43 PM,35.2483,-113.6321, 320,376,433,"14,125"
Sun 09:09:18 PM,35.2937,-113.6780, 320,378,435,"14,125"
Sun 09:09:49 PM,35.3344,-113.7195, 320,368,423,"14,125"
Sun 09:10:19 PM,35.3740,-113.7596, 320,365,420,"14,125"
Sun 09:10:49 PM,35.4127,-113.7993, 320,376,433,"14,125"
Sun 09:11:19 PM,35.4548,-113.8421, 320,376,433,"14,125"
Sun 09:11:51 PM,35.4966,-113.8846, 320,377,434,"14,125"
Sun 09:12:21 PM,35.5370,-113.9258, 320,377,434,"14,125"
Sun 09:12:51 PM,35.5796,-113.9694, 320,379,436,"14,100"
Sun 09:13:21 PM,35.6174,-114.0081, 320,371,427,"14,125"
Sun 09:13:57 PM,35.6632,-114.0553, 320,347,399,"14,100"
Sun 09:14:27 PM,35.6990,-114.0917, 320,313,360,"14,100"
Sun 09:14:58 PM,35.7310,-114.1247, 320,300,345,"14,100"
Sun 09:15:24 PM,35.7574,-114.1559, 308,298,343,"14,125"
Sun 09:15:43 PM,35.7714,-114.1829, 299,294,338,"13,925"
Sun 09:16:13 PM,35.7910,-114.2265, 299,293,337,"13,500"
Sun 09:16:43 PM,35.8104,-114.2703, 299,296,341,"13,075"
Sun 09:17:13 PM,35.8305,-114.3159, 298,299,344,"12,625"
Sun 09:17:58 PM,35.8659,-114.3780, 307,299,344,"11,975"
Sun 09:18:28 PM,35.8904,-114.4174, 307,295,339,"11,525"
Sun 09:18:58 PM,35.9171,-114.4604, 308,290,334,"11,075"
Sun 09:19:28 PM,35.9407,-114.4981, 307,287,330,"10,650"
Sun 09:19:58 PM,35.9638,-114.5350, 308,270,311,"10,200"
Sun 09:20:19 PM,35.9799,-114.5608, 308,250,288,"9,975"
Sun 09:20:49 PM,36.0005,-114.5944, 307,236,272,"9,325"
Sun 09:21:19 PM,36.0185,-114.6241, 307,229,264,"8,675"
Sun 09:21:35 PM,36.0299,-114.6424, 307,228,262,"8,275"
Sun 09:21:55 PM,36.0408,-114.6616, 301,223,257,"8,225"
Sun 09:22:25 PM,36.0568,-114.6945, 301,221,254,"8,075"
Sun 09:22:47 PM,36.0692,-114.7201, 297,225,259,"7,400"
Sun 09:23:06 PM,36.0731,-114.7426, 272,216,249,"7,250"
Sun 09:23:26 PM,36.0733,-114.7666, 271,211,243,"6,975"
Sun 09:23:56 PM,36.0734,-114.8042, 270,215,247,"6,525"
Sun 09:24:26 PM,36.0735,-114.8400, 271,213,245,"6,050"
Sun 09:24:56 PM,36.0736,-114.8744, 270,199,229,"5,875"
Sun 09:25:26 PM,36.0737,-114.9087, 270,195,224,"5,650"
Sun 09:25:56 PM,36.0736,-114.9422, 270,192,221,"5,225"
Sun 09:26:26 PM,36.0737,-114.9743, 269,179,206,"4,700"
Sun 09:26:56 PM,36.0737,-115.0035, 270,166,191,"4,225"
Sun 09:27:16 PM,36.0737,-115.0223, 271,157,181,"3,950"
Sun 09:27:38 PM,36.0737,-115.0412, 270,160,184,"3,625"
Sun 09:27:54 PM,36.0737,-115.0570, 269,156,180,"3,375"
,,,
Sun 09:28:02 PM,36.0737,-115.0632, 271,157,181,"3,300"
,,,
Sun 09:28:10 PM,36.0737,-115.0702, 271,160,184,"3,200"
Sun 09:28:26 PM,36.0737,-115.0847, 269,163,188,"2,950"
Sun 09:28:42 PM,36.0737,-115.1001, 270,166,191,"2,700"
Sun 09:28:58 PM,36.0737,-115.1141, 270,162,186,"2,475"
Sun 09:29:15 PM,36.0737,-115.1306, 270,161,185,"2,250"
,,,
Sun 09:29:47 PM    Arrival (LAS) @ Sunday 06:29:47 PM PDT,,,FlightAware
,,,
Taxi Time: 6 minutes,,,
Sun 09:36:00 PM    Gate Arrival (LAS) @ Sunday 06:36:00 PM PDT,,,Airline
