Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 08:26:11 PM    Departure (PHX) @ Sunday 05:26:11 PM MST,,,FlightAware ADS-B (KPHX)
Sun 08:26:11 PM,33.4311,-111.9932, 90,177,204,"1,375"
Sun 08:26:27 PM,33.4314,-111.9783, 87,178,205,"2,075"
Sun 08:26:43 PM,33.4321,-111.9619, 87,184,212,"2,750"
Sun 08:26:59 PM,33.4330,-111.9440, 86,197,227,"3,275"
Sun 08:27:15 PM,33.4341,-111.9266, 85,211,243,"3,750"
Sun 08:27:31 PM,33.4354,-111.9070, 86,218,251,"4,425"
Sun 08:27:50 PM,33.4368,-111.8836, 84,221,254,"5,250"
Sun 08:28:08 PM,33.4438,-111.8634, 57,226,260,"6,125"
Sun 08:28:24 PM,33.4560,-111.8493, 34,232,267,"6,875"
Sun 08:28:40 PM,33.4718,-111.8424, 11,241,277,"7,525"
Sun 08:28:59 PM,33.4945,-111.8422, 357,266,306,"7,900"
Sun 08:29:18 PM,33.5204,-111.8422, 1,283,326,"8,475"
Sun 08:29:48 PM,33.5600,-111.8402, 3,296,341,"9,025"
Sun 08:30:18 PM,33.6011,-111.8381, 2,294,338,"9,000"
Sun 08:30:48 PM,33.6412,-111.8365, 2,290,334,"9,000"
Sun 08:31:04 PM,33.6630,-111.8380, 354,290,334,"9,025"
Sun 08:31:22 PM,33.6862,-111.8474, 331,293,337,"9,425"
Sun 08:31:38 PM,33.7019,-111.8647, 312,296,341,"10,100"
Sun 08:32:08 PM,33.7283,-111.9032, 310,324,373,"10,775"
Sun 08:32:38 PM,33.7593,-111.9475, 310,356,410,"11,400"
Sun 08:33:08 PM,33.7918,-111.9941, 310,363,418,"12,725"
Sun 08:33:53 PM,33.8410,-112.0649, 310,371,427,"14,875"
Sun 08:34:23 PM,33.8742,-112.1127, 310,377,434,"16,225"
Sun 08:34:53 PM,33.9073,-112.1605, 310,380,437,"17,650"
Sun 08:35:23 PM,33.9423,-112.2110, 310,385,443,"19,000"
Sun 08:35:53 PM,33.9776,-112.2620, 310,393,452,"20,150"
Sun 08:36:23 PM,34.0111,-112.3104, 310,399,459,"21,225"
Sun 08:36:43 PM,34.0370,-112.3432, 316,406,467,"21,900"
Sun 08:37:13 PM,34.0831,-112.3901, 320,420,483,"22,000"
Sun 08:37:43 PM,34.1254,-112.4327, 320,420,483,"22,000"
Sun 08:38:13 PM,34.1707,-112.4782, 320,420,483,"22,000"
Sun 08:38:43 PM,34.2138,-112.5217, 320,420,483,"22,000"
Sun 08:39:14 PM,34.2620,-112.5703, 320,420,483,"22,000"
Sun 08:39:45 PM,34.3098,-112.6187, 320,419,482,"22,000"
Sun 08:40:16 PM,34.3549,-112.6643, 320,418,481,"22,000"
Sun 08:40:46 PM,34.4000,-112.7101, 320,418,481,"22,000"
Sun 08:41:16 PM,34.4452,-112.7560, 320,418,481,"22,000"
Sun 08:41:47 PM,34.4884,-112.7998, 320,399,459,"21,975"
Sun 08:42:17 PM,34.5279,-112.8399, 320,372,428,"21,975"
Sun 08:42:47 PM,34.5686,-112.8817, 320,368,423,"22,000"
Sun 08:43:17 PM,34.6080,-112.9220, 320,367,422,"22,000"
Sun 08:43:47 PM,34.6473,-112.9622, 320,367,422,"22,000"
Sun 08:44:18 PM,34.6865,-113.0022, 320,363,418,"21,975"
Sun 08:44:48 PM,34.7240,-113.0405, 320,341,392,"22,000"
Sun 08:45:18 PM,34.7607,-113.0784, 319,340,391,"22,000"
Sun 08:45:45 PM,34.7878,-113.1128, 312,336,387,"22,000"
Sun 08:46:27 PM,34.8322,-113.1721, 313,335,386,"22,000"
Sun 08:46:58 PM,34.8644,-113.2128, 314,345,397,"22,025"
Sun 08:47:28 PM,34.9003,-113.2576, 314,362,417,"22,000"
Sun 08:48:01 PM,34.9377,-113.3047, 314,361,415,"22,000"
Sun 08:48:32 PM,34.9749,-113.3521, 314,363,418,"22,000"
Sun 08:48:49 PM,34.9952,-113.3764, 318,365,420,"22,000"
Sun 08:49:30 PM,35.0472,-113.4292, 320,369,425,"22,000"
Sun 08:50:01 PM,35.0904,-113.4728, 321,371,427,"22,000"
Sun 08:50:31 PM,35.1296,-113.5124, 320,373,429,"22,000"
Sun 08:51:01 PM,35.1698,-113.5530, 320,371,427,"22,000"
Sun 08:51:31 PM,35.2109,-113.5947, 320,381,438,"22,000"
Sun 08:52:01 PM,35.2514,-113.6356, 320,382,440,"22,000"
Sun 08:52:31 PM,35.2919,-113.6765, 320,384,442,"22,000"
Sun 08:53:01 PM,35.3315,-113.7167, 320,384,442,"22,000"
Sun 08:53:32 PM,35.3759,-113.7618, 320,385,443,"22,000"
Sun 08:54:02 PM,35.4164,-113.8029, 320,386,444,"22,000"
Sun 08:54:32 PM,35.4567,-113.8439, 320,386,444,"22,000"
Sun 08:55:02 PM,35.4981,-113.8860, 320,384,442,"21,950"
Sun 08:55:32 PM,35.5385,-113.9273, 320,381,438,"21,075"
Sun 08:56:02 PM,35.5789,-113.9686, 320,371,427,"20,225"
Sun 08:56:22 PM,35.6047,-113.9948, 320,356,410,"19,725"
Sun 08:56:41 PM,35.6227,-114.0240, 296,328,377,"19,350"
