Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 10:29:00 AM    Left Gate (PHX) @ Sunday 07:29:00 AM MST,,,Airline
,,,
Taxi Time: 19 minutes,,,
Sun 10:48:33 AM    Departure (PHX) @ Sunday 07:48:33 AM MST,,,FlightAware ADS-B (KFFZ)
Sun 10:48:33 AM,33.4310,-111.9937, 91,170,196,"1,575"
Sun 10:48:49 AM,33.4312,-111.9773, 88,168,193,"2,375"
Sun 10:49:05 AM,33.4322,-111.9621, 84,186,214,"2,825"
Sun 10:49:21 AM,33.4337,-111.9460, 84,207,238,"3,175"
Sun 10:49:37 AM,33.4352,-111.9258, 86,232,267,"3,525"
Sun 10:49:53 AM,33.4360,-111.9029, 88,257,296,"3,925"
Sun 10:50:11 AM,33.4390,-111.8771, 72,275,316,"4,575"
Sun 10:50:29 AM,33.4536,-111.8537, 39,282,325,"5,525"
Sun 10:50:45 AM,33.4714,-111.8462, 10,282,325,"6,300"
Sun 10:51:15 AM,33.5100,-111.8442, 1,279,321,"7,975"
Sun 10:51:45 AM,33.5510,-111.8432, 2,286,329,"9,025"
Sun 10:52:07 AM,33.5774,-111.8418, 3,287,330,"9,025"
Sun 10:52:37 AM,33.6183,-111.8387, 4,288,331,"8,975"
Sun 10:52:55 AM,33.6441,-111.8396, 351,292,336,"8,950"
Sun 10:53:12 AM,33.6642,-111.8521, 323,295,339,"8,975"
Sun 10:53:38 AM,33.6871,-111.8824, 312,293,337,"9,600"
Sun 10:54:08 AM,33.7161,-111.9200, 313,318,366,"10,675"
Sun 10:54:38 AM,33.7467,-111.9602, 312,355,409,"11,250"
Sun 10:55:08 AM,33.7815,-112.0065, 312,371,427,"12,400"
Sun 10:55:38 AM,33.8167,-112.0530, 312,376,433,"13,825"
Sun 10:56:08 AM,33.8500,-112.0974, 312,371,427,"15,425"
Sun 10:56:38 AM,33.8854,-112.1445, 312,375,432,"16,825"
Sun 10:57:08 AM,33.9203,-112.1910, 312,373,429,"18,300"
Sun 10:57:38 AM,33.9546,-112.2365, 312,380,437,"19,425"
Sun 10:58:08 AM,33.9909,-112.2850, 312,386,444,"20,500"
Sun 10:58:38 AM,34.0289,-112.3345, 315,392,451,"21,625"
Sun 10:58:54 AM,34.0511,-112.3577, 320,399,459,"22,025"
Sun 10:59:24 AM,34.0924,-112.3989, 320,403,464,"22,975"
Sun 10:59:54 AM,34.1354,-112.4422, 320,410,472,"23,850"
Sun 11:00:24 AM,34.1796,-112.4867, 320,416,479,"24,675"
Sun 11:00:54 AM,34.2232,-112.5307, 320,412,474,"25,750"
Sun 11:01:24 AM,34.2677,-112.5756, 320,409,471,"26,000"
Sun 11:01:54 AM,34.3111,-112.6195, 320,409,471,"26,000"
Sun 11:02:24 AM,34.3536,-112.6626, 320,410,472,"26,000"
Sun 11:02:54 AM,34.3980,-112.7077, 320,410,472,"26,000"
Sun 11:03:24 AM,34.4412,-112.7515, 320,410,472,"26,000"
Sun 11:03:54 AM,34.4862,-112.7973, 320,410,472,"26,000"
Sun 11:04:24 AM,34.5289,-112.8408, 320,410,472,"25,975"
Sun 11:04:54 AM,34.5720,-112.8847, 320,410,472,"26,000"
Sun 11:05:24 AM,34.6173,-112.9311, 320,409,471,"26,000"
Sun 11:05:55 AM,34.6592,-112.9739, 320,409,471,"26,000"
Sun 11:06:25 AM,34.7034,-113.0192, 320,409,471,"26,000"
