Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 12:17:30 AM    Departure (PHX) @ Sunday 09:17:30 PM MST,,,FlightAware ADS-B (KPHX)
Mon 12:17:30 AM,33.4310,-112.0031, 90,152,175,"1,525"
Mon 12:17:46 AM,33.4314,-111.9890, 87,153,176,"2,375"
Mon 12:18:02 AM,33.4320,-111.9738, 87,171,197,"2,925"
Mon 12:18:18 AM,33.4326,-111.9592, 88,192,221,"3,375"
Mon 12:18:34 AM,33.4333,-111.9405, 87,205,236,"4,100"
Mon 12:19:03 AM,33.4349,-111.9070, 87,231,266,"5,325"
Mon 12:19:21 AM,33.4370,-111.8802, 79,259,298,"5,850"
Mon 12:19:39 AM,33.4464,-111.8593, 51,271,312,"6,675"
Mon 12:19:56 AM,33.4636,-111.8448, 22,276,318,"7,625"
Mon 12:20:17 AM,33.4926,-111.8406, 1,283,326,"9,025"
Mon 12:21:02 AM,33.5538,-111.8388, 1,320,368,"11,425"
Mon 12:21:19 AM,33.5809,-111.8449, 336,331,381,"12,250"
Mon 12:21:35 AM,33.5998,-111.8614, 315,335,386,"13,050"
Mon 12:22:12 AM,33.6416,-111.9088, 319,364,419,"14,850"
Mon 12:22:33 AM,33.6685,-111.9379, 318,385,443,"15,850"
Mon 12:22:51 AM,33.6938,-111.9656, 318,398,458,"16,650"
Mon 12:23:21 AM,33.7360,-112.0119, 318,408,470,"18,000"
Mon 12:23:51 AM,33.7766,-112.0564, 318,406,467,"19,775"
Mon 12:24:21 AM,33.8169,-112.1011, 317,397,457,"21,750"
Mon 12:24:52 AM,33.8599,-112.1485, 317,409,471,"23,175"
Mon 12:25:22 AM,33.9022,-112.1956, 317,420,483,"24,475"
Mon 12:25:52 AM,33.9457,-112.2441, 317,429,494,"25,775"
Mon 12:26:22 AM,33.9891,-112.2919, 318,429,494,"27,225"
Mon 12:26:52 AM,34.0341,-112.3409, 320,431,496,"28,750"
Mon 12:27:22 AM,34.0805,-112.3875, 320,434,499,"29,925"
Mon 12:27:53 AM,34.1302,-112.4378, 320,447,514,"30,000"
Mon 12:28:24 AM,34.1771,-112.4854, 320,454,522,"30,000"
Mon 12:28:55 AM,34.2286,-112.5370, 320,454,522,"30,000"
Mon 12:29:25 AM,34.2775,-112.5861, 320,452,520,"30,025"
Mon 12:29:55 AM,34.3268,-112.6359, 320,450,518,"30,000"
Mon 12:30:25 AM,34.3746,-112.6843, 320,447,514,"30,000"
Mon 12:30:55 AM,34.4218,-112.7322, 320,451,519,"30,025"
Mon 12:31:25 AM,34.4661,-112.7773, 320,452,520,"30,000"
Mon 12:31:55 AM,34.5146,-112.8265, 320,452,520,"30,025"
Mon 12:32:28 AM,34.5705,-112.8837, 320,449,517,"30,000"
Mon 12:32:58 AM,34.6178,-112.9320, 320,449,517,"30,000"
Mon 12:33:28 AM,34.6624,-112.9775, 320,451,519,"30,000"
Mon 12:33:59 AM,34.7149,-113.0314, 320,463,533,"30,025"
Mon 12:34:22 AM,34.7519,-113.0703, 317,461,531,"30,000"
Mon 12:35:07 AM,34.8185,-113.1535, 314,451,519,"30,000"
Mon 12:35:37 AM,34.8591,-113.2048, 314,450,518,"29,975"
Mon 12:36:10 AM,34.9073,-113.2662, 314,448,516,"30,000"
Mon 12:36:40 AM,34.9515,-113.3222, 314,452,520,"30,000"
Mon 12:37:05 AM,34.9870,-113.3670, 316,457,526,"30,000"
Mon 12:37:46 AM,35.0556,-113.4378, 320,460,529,"30,000"
Mon 12:38:16 AM,35.1015,-113.4842, 320,462,532,"29,875"
Mon 12:38:46 AM,35.1515,-113.5343, 321,460,529,"29,325"
Mon 12:39:16 AM,35.2001,-113.5833, 320,445,512,"28,325"
Mon 12:39:46 AM,35.2476,-113.6313, 320,436,502,"27,450"
Mon 12:40:16 AM,35.2942,-113.6785, 320,439,505,"27,000"
Mon 12:40:46 AM,35.3420,-113.7270, 320,433,498,"26,225"
Mon 12:41:17 AM,35.3872,-113.7729, 320,423,487,"25,100"
Mon 12:41:47 AM,35.4322,-113.8187, 320,413,475,"23,825"
Mon 12:42:17 AM,35.4764,-113.8638, 320,405,466,"22,700"
