Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 01:07:00 PM    Left Gate (PHX) @ Sunday 10:07:00 AM MST,,,Airline
,,,
Taxi Time: 16 minutes,,,
Sun 01:23:00 PM    Departure (PHX) @ Sunday 10:23:00 AM MST,,,FlightAware ADS-B (KPHX)
Sun 01:23:00 PM,33.4311,-112.0044, 90,151,174,"1,425"
Sun 01:23:16 PM,33.4313,-111.9909, 88,163,188,"1,950"
Sun 01:23:32 PM,33.4319,-111.9758, 86,169,194,"2,550"
Sun 01:23:48 PM,33.4327,-111.9614, 86,192,221,"2,750"
Sun 01:24:04 PM,33.4339,-111.9415, 87,214,246,"3,075"
Sun 01:24:27 PM,33.4351,-111.9128, 88,238,274,"3,675"
Sun 01:24:46 PM,33.4360,-111.8885, 85,251,289,"4,300"
Sun 01:25:03 PM,33.4425,-111.8657, 57,252,290,"4,975"
Sun 01:25:22 PM,33.4595,-111.8481, 28,242,278,"6,025"
Sun 01:25:41 PM,33.4786,-111.8416, 5,251,289,"6,650"
Sun 01:26:11 PM,33.5154,-111.8399, 2,283,326,"7,425"
Sun 01:26:41 PM,33.5597,-111.8388, 1,304,350,"8,550"
Sun 01:27:11 PM,33.6010,-111.8379, 1,310,357,"9,200"
Sun 01:27:37 PM,33.6394,-111.8370, 360,316,364,"10,225"
Sun 01:27:55 PM,33.6677,-111.8394, 353,323,372,"10,950"
Sun 01:28:20 PM,33.7042,-111.8456, 351,336,387,"11,825"
Sun 01:28:37 PM,33.7286,-111.8566, 332,327,376,"12,550"
Sun 01:28:54 PM,33.7467,-111.8738, 313,317,365,"13,150"
Sun 01:29:37 PM,33.7853,-111.9354, 306,325,374,"14,975"
Sun 01:30:07 PM,33.8127,-111.9801, 306,329,379,"16,400"
Sun 01:30:37 PM,33.8390,-112.0232, 306,327,376,"17,925"
Sun 01:31:07 PM,33.8662,-112.0678, 306,326,375,"19,400"
Sun 01:31:37 PM,33.8934,-112.1128, 306,326,375,"20,675"
Sun 01:32:07 PM,33.9193,-112.1551, 306,324,373,"22,000"
Sun 01:32:38 PM,33.9468,-112.2008, 306,325,374,"23,225"
Sun 01:33:08 PM,33.9733,-112.2446, 306,325,374,"24,425"
Sun 01:33:38 PM,34.0007,-112.2900, 306,327,376,"25,500"
Sun 01:33:58 PM,34.0185,-112.3182, 310,339,390,"26,150"
Sun 01:34:19 PM,34.0415,-112.3476, 317,356,410,"26,725"
Sun 01:34:38 PM,34.0664,-112.3734, 320,365,420,"27,350"
Sun 01:35:08 PM,34.1062,-112.4134, 320,367,422,"28,000"
