Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 01:47:54 AM    Departure (PHX) @ Sunday 10:47:54 PM MST,,,FlightAware ADS-B (KPHX)
Mon 01:47:54 AM,33.4311,-112.0288, 270,154,177,"1,925"
Mon 01:48:10 AM,33.4314,-112.0423, 273,153,176,"2,550"
Mon 01:48:26 AM,33.4320,-112.0564, 272,171,197,"2,950"
Mon 01:48:42 AM,33.4324,-112.0715, 272,189,217,"3,350"
Mon 01:48:58 AM,33.4327,-112.0908, 271,210,242,"3,775"
Mon 01:49:20 AM,33.4330,-112.1176, 271,244,281,"4,300"
Mon 01:49:49 AM,33.4336,-112.1577, 274,258,297,"5,600"
Mon 01:50:05 AM,33.4405,-112.1806, 305,272,313,"6,250"
Mon 01:50:24 AM,33.4597,-112.1968, 341,281,323,"7,050"
Mon 01:50:47 AM,33.4913,-112.1981, 3,290,334,"8,250"
Mon 01:51:15 AM,33.5304,-112.1963, 0,308,354,"9,450"
Mon 01:51:48 AM,33.5779,-112.2002, 356,332,382,"10,800"
Mon 01:52:17 AM,33.6223,-112.2047, 352,353,406,"11,850"
Mon 01:52:56 AM,33.6831,-112.2232, 345,346,398,"14,350"
Mon 01:53:26 AM,33.7313,-112.2385, 345,355,409,"15,825"
Mon 01:53:57 AM,33.7829,-112.2548, 345,360,414,"17,400"
Mon 01:54:27 AM,33.8295,-112.2698, 345,366,421,"18,725"
Mon 01:54:57 AM,33.8796,-112.2859, 345,379,436,"19,825"
Mon 01:55:27 AM,33.9334,-112.3033, 345,381,438,"21,275"
Mon 01:55:57 AM,33.9820,-112.3191, 345,386,444,"22,450"
Mon 01:56:14 AM,34.0111,-112.3287, 343,388,447,"23,100"
Mon 01:56:30 AM,34.0385,-112.3447, 325,390,449,"23,750"
Mon 01:56:47 AM,34.0625,-112.3683, 320,392,451,"24,375"
Mon 01:57:17 AM,34.1025,-112.4090, 320,389,448,"25,725"
Mon 01:57:47 AM,34.1462,-112.4528, 320,388,447,"26,975"
Mon 01:58:17 AM,34.1840,-112.4908, 320,386,444,"27,825"
Mon 01:58:47 AM,34.2278,-112.5349, 320,381,438,"28,000"
Mon 01:59:17 AM,34.2689,-112.5765, 320,381,438,"28,000"
Mon 01:59:49 AM,34.3121,-112.6200, 320,385,443,"28,000"
Mon 02:00:19 AM,34.3535,-112.6619, 320,384,442,"28,000"
Mon 02:00:53 AM,34.3972,-112.7063, 320,383,441,"28,000"
Mon 02:01:23 AM,34.4389,-112.7488, 320,382,440,"28,000"
Mon 02:01:53 AM,34.4799,-112.7905, 320,382,440,"27,975"
Mon 02:02:23 AM,34.5200,-112.8313, 320,382,440,"27,975"
Mon 02:02:53 AM,34.5607,-112.8728, 320,382,440,"28,000"
Mon 02:03:23 AM,34.6019,-112.9149, 320,381,438,"28,000"
Mon 02:03:53 AM,34.6414,-112.9553, 320,388,447,"28,000"
Mon 02:04:25 AM,34.6885,-113.0036, 320,417,480,"28,000"
Mon 02:04:56 AM,34.7329,-113.0491, 320,439,505,"28,000"
Mon 02:05:25 AM,34.7777,-113.0962, 316,449,517,"28,000"
Mon 02:06:06 AM,34.8349,-113.1705, 312,448,516,"28,000"
Mon 02:06:36 AM,34.8787,-113.2283, 313,446,513,"28,000"
Mon 02:07:06 AM,34.9205,-113.2819, 314,448,516,"28,000"
Mon 02:07:37 AM,34.9671,-113.3412, 314,448,516,"28,000"
Mon 02:07:59 AM,34.9992,-113.3804, 319,450,518,"28,000"
Mon 02:08:29 AM,35.0478,-113.4292, 321,450,518,"28,000"
Mon 02:08:59 AM,35.0946,-113.4760, 320,450,518,"28,000"
Mon 02:09:29 AM,35.1432,-113.5249, 320,450,518,"28,000"
Mon 02:09:59 AM,35.1899,-113.5722, 320,448,516,"27,825"
Mon 02:10:30 AM,35.2398,-113.6227, 320,446,513,"27,300"
Mon 02:11:00 AM,35.2886,-113.6722, 320,442,509,"26,225"
Mon 02:11:30 AM,35.3349,-113.7191, 320,432,497,"25,175"
Mon 02:12:00 AM,35.3792,-113.7641, 320,427,491,"24,225"
Mon 02:12:32 AM,35.4284,-113.8143, 320,420,483,"23,150"
Mon 02:13:02 AM,35.4728,-113.8596, 320,415,478,"22,200"
Mon 02:13:33 AM,35.5190,-113.9067, 320,413,475,"21,200"
Mon 02:14:03 AM,35.5612,-113.9499, 320,408,470,"20,300"
Mon 02:14:33 AM,35.6036,-113.9933, 320,395,455,"19,350"
Mon 02:15:03 AM,35.6466,-114.0373, 320,378,435,"18,450"
Mon 02:15:33 AM,35.6852,-114.0773, 320,358,412,"17,650"
Mon 02:16:04 AM,35.7239,-114.1170, 320,351,404,"16,800"
Mon 02:16:25 AM,35.7511,-114.1456, 317,352,405,"16,200"
Mon 02:17:10 AM,35.7879,-114.2189, 298,339,390,"15,000"
Mon 02:17:40 AM,35.8105,-114.2701, 298,334,384,"14,250"
Mon 02:18:10 AM,35.8333,-114.3217, 299,335,386,"13,450"
Mon 02:18:26 AM,35.8466,-114.3468, 306,334,384,"13,050"
Mon 02:19:02 AM,35.8792,-114.3981, 308,326,375,"12,175"
Mon 02:19:32 AM,35.9062,-114.4417, 307,315,362,"11,425"
Mon 02:20:02 AM,35.9328,-114.4845, 307,305,351,"10,700"
Mon 02:20:32 AM,35.9589,-114.5264, 308,296,341,"9,975"
Mon 02:21:02 AM,35.9826,-114.5649, 307,291,335,"9,350"
Mon 02:21:32 AM,36.0071,-114.6048, 307,289,333,"8,650"
Mon 02:22:02 AM,36.0316,-114.6449, 307,288,331,"8,075"
Mon 02:22:29 AM,36.0495,-114.6786, 301,266,306,"8,025"
Mon 02:22:45 AM,36.0607,-114.7017, 301,256,295,"8,050"
Mon 02:23:04 AM,36.0714,-114.7252, 290,245,282,"8,025"
Mon 02:23:26 AM,36.0735,-114.7552, 270,241,277,"7,800"
Mon 02:23:53 AM,36.0734,-114.7897, 270,235,270,"7,325"
Mon 02:24:23 AM,36.0734,-114.8319, 270,234,269,"6,650"
Mon 02:24:53 AM,36.0735,-114.8719, 270,228,262,"6,000"
Mon 02:25:23 AM,36.0736,-114.9076, 270,214,246,"5,450"
Mon 02:25:53 AM,36.0736,-114.9437, 270,202,232,"4,925"
Mon 02:26:23 AM,36.0737,-114.9778, 270,197,227,"4,375"
Mon 02:26:53 AM,36.0737,-115.0100, 270,181,208,"3,900"
Mon 02:27:23 AM,36.0737,-115.0397, 270,154,177,"3,425"
Mon 02:27:52 AM,36.0737,-115.0636, 270,144,166,"3,075"
Mon 02:28:08 AM,36.0737,-115.0761, 270,142,163,"2,900"
Mon 02:28:24 AM,36.0737,-115.0885, 270,138,159,"2,725"
Mon 02:28:40 AM,36.0737,-115.1022, 270,136,157,"2,525"
Mon 02:28:56 AM,36.0737,-115.1131, 270,134,154,"2,350"
Mon 02:29:12 AM,36.0737,-115.1265, 270,136,157,"2,150"
Mon 02:29:28 AM,36.0737,-115.1380, 271,112,129,"2,100"
,,,
Mon 02:30:00 AM    Arrival (LAS) @ Sunday 11:30:00 PM PDT,,,FlightAware
,,,
Taxi Time: 11 minutes,,,
Mon 02:41:00 AM    Gate Arrival (LAS) @ Sunday 11:41:00 PM PDT,,,Airline
