Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 01:54:00 PM    Left Gate (PHX) @ Sunday 10:54:00 AM MST,,,Airline
,,,
Taxi Time: 15 minutes,,,
Sun 02:09:03 PM    Departure (PHX) @ Sunday 11:09:03 AM MST,,,FlightAware ADS-B (KFFZ)
Sun 02:09:03 PM,33.4311,-111.9891, 89,168,193,"1,650"
Sun 02:09:19 PM,33.4317,-111.9746, 86,167,192,"2,300"
Sun 02:09:35 PM,33.4327,-111.9582, 87,181,208,"2,600"
Sun 02:09:51 PM,33.4337,-111.9410, 86,197,227,"2,800"
Sun 02:10:07 PM,33.4345,-111.9254, 87,213,245,"3,025"
Sun 02:10:37 PM,33.4357,-111.8857, 88,249,287,"3,525"
Sun 02:10:55 PM,33.4400,-111.8582, 71,268,308,"3,925"
Sun 02:11:13 PM,33.4518,-111.8390, 39,275,316,"4,550"
Sun 02:11:31 PM,33.4729,-111.8274, 11,276,318,"5,300"
Sun 02:11:55 PM,33.5036,-111.8279, 357,283,326,"6,250"
Sun 02:12:25 PM,33.5455,-111.8306, 357,290,334,"7,450"
Sun 02:12:55 PM,33.5843,-111.8328, 357,287,330,"8,600"
Sun 02:13:25 PM,33.6254,-111.8350, 357,288,331,"8,875"
Sun 02:13:45 PM,33.6522,-111.8366, 355,289,333,"8,875"
Sun 02:14:01 PM,33.6741,-111.8399, 352,291,335,"8,875"
Sun 02:14:22 PM,33.6999,-111.8443, 352,292,336,"8,875"
Sun 02:14:39 PM,33.7228,-111.8493, 342,294,338,"9,100"
Sun 02:14:56 PM,33.7419,-111.8635, 315,301,346,"9,675"
Sun 02:15:32 PM,33.7729,-111.9144, 306,325,374,"10,675"
Sun 02:16:02 PM,33.8011,-111.9606, 306,352,405,"11,225"
Sun 02:16:32 PM,33.8315,-112.0104, 306,373,429,"11,875"
Sun 02:17:02 PM,33.8612,-112.0588, 306,376,433,"13,075"
Sun 02:17:32 PM,33.8924,-112.1103, 306,381,438,"14,125"
Sun 02:18:02 PM,33.9226,-112.1599, 306,379,436,"15,425"
Sun 02:18:32 PM,33.9548,-112.2129, 306,382,440,"16,450"
Sun 02:19:02 PM,33.9859,-112.2644, 306,384,442,"17,500"
Sun 02:19:32 PM,34.0168,-112.3157, 306,380,437,"18,700"
Sun 02:19:48 PM,34.0357,-112.3420, 317,386,444,"19,150"
Sun 02:20:32 PM,34.0982,-112.4042, 320,400,460,"20,200"
Sun 02:21:03 PM,34.1421,-112.4484, 320,407,468,"20,925"
Sun 02:21:33 PM,34.1843,-112.4911, 320,410,472,"21,750"
Sun 02:22:03 PM,34.2283,-112.5357, 320,416,479,"22,475"
Sun 02:22:33 PM,34.2745,-112.5821, 320,420,483,"23,300"
Sun 02:23:03 PM,34.3180,-112.6263, 320,422,486,"24,025"
Sun 02:23:33 PM,34.3625,-112.6715, 320,429,494,"24,625"
Sun 02:24:03 PM,34.4088,-112.7183, 320,428,493,"25,450"
Sun 02:24:33 PM,34.4547,-112.7649, 320,424,488,"26,400"
Sun 02:25:03 PM,34.4986,-112.8095, 320,425,489,"27,150"
Sun 02:25:33 PM,34.5444,-112.8562, 320,427,491,"27,925"
Sun 02:26:05 PM,34.6008,-112.9138, 320,443,510,"28,000"
Sun 02:26:38 PM,34.6455,-112.9595, 320,444,511,"28,000"
Sun 02:27:08 PM,34.6943,-113.0093, 320,444,511,"28,000"
Sun 02:27:38 PM,34.7407,-113.0568, 320,442,509,"28,000"
Sun 02:27:55 PM,34.7676,-113.0846, 318,442,509,"28,000"
Sun 02:28:27 PM,34.8137,-113.1418, 312,443,510,"28,000"
Sun 02:28:57 PM,34.8533,-113.1950, 312,442,509,"28,000"
Sun 02:29:27 PM,34.8962,-113.2509, 313,442,509,"28,000"
Sun 02:29:58 PM,34.9379,-113.3040, 314,442,509,"28,000"
Sun 02:30:28 PM,34.9799,-113.3574, 314,441,507,"28,000"
Sun 02:30:48 PM,35.0107,-113.3921, 320,442,509,"28,000"
Sun 02:31:18 PM,35.0580,-113.4393, 321,443,510,"28,000"
Sun 02:31:52 PM,35.1128,-113.4944, 320,442,509,"28,000"
Sun 02:32:22 PM,35.1608,-113.5430, 320,440,506,"27,575"
Sun 02:32:52 PM,35.2067,-113.5894, 320,438,504,"27,075"
Sun 02:33:22 PM,35.2539,-113.6371, 320,435,501,"26,275"
Sun 02:33:52 PM,35.2990,-113.6829, 320,426,490,"25,075"
