Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 02:08:00 PM    Left Gate (PHX) @ Sunday 11:08:00 AM MST,,,Airline
,,,
Taxi Time: 16 minutes,,,
Sun 02:24:42 PM    Departure (PHX) @ Sunday 11:24:42 AM MST,,,FlightAware ADS-B (KCHD)
Sun 02:24:42 PM,33.4312,-111.9931, 89,168,193,"1,525"
Sun 02:24:58 PM,33.4314,-111.9779, 88,170,196,"2,125"
Sun 02:25:14 PM,33.4320,-111.9621, 87,188,216,"2,550"
Sun 02:25:30 PM,33.4329,-111.9445, 87,210,242,"2,850"
Sun 02:25:46 PM,33.4339,-111.9260, 87,227,261,"3,275"
Sun 02:26:02 PM,33.4351,-111.9059, 86,228,262,"4,025"
Sun 02:26:20 PM,33.4371,-111.8825, 78,229,264,"4,875"
Sun 02:26:38 PM,33.4454,-111.8627, 52,243,280,"5,425"
Sun 02:26:54 PM,33.4606,-111.8482, 25,268,308,"5,775"
Sun 02:27:11 PM,33.4823,-111.8433, 0,283,326,"6,300"
Sun 02:27:32 PM,33.5090,-111.8423, 5,291,335,"7,300"
Sun 02:28:02 PM,33.5487,-111.8394, 2,290,334,"8,750"
Sun 02:28:32 PM,33.5882,-111.8381, 1,288,331,"8,975"
Sun 02:29:02 PM,33.6301,-111.8373, 1,285,328,"8,975"
Sun 02:29:20 PM,33.6527,-111.8373, 357,285,328,"8,975"
Sun 02:29:43 PM,33.6847,-111.8423, 352,288,331,"9,025"
Sun 02:30:02 PM,33.7101,-111.8469, 347,294,338,"9,750"
Sun 02:30:21 PM,33.7345,-111.8599, 328,306,352,"10,775"
Sun 02:30:39 PM,33.7523,-111.8801, 307,341,392,"11,075"
Sun 02:31:19 PM,33.7911,-111.9440, 306,371,427,"12,725"
Sun 02:31:49 PM,33.8226,-111.9959, 306,377,434,"14,525"
Sun 02:32:28 PM,33.8633,-112.0630, 306,381,438,"16,775"
Sun 02:32:58 PM,33.8937,-112.1130, 306,379,436,"18,550"
Sun 02:33:28 PM,33.9250,-112.1649, 306,384,442,"20,100"
Sun 02:33:58 PM,33.9578,-112.2192, 306,398,458,"21,250"
Sun 02:34:28 PM,33.9912,-112.2742, 306,412,474,"22,375"
Sun 02:34:51 PM,34.0176,-112.3165, 309,419,482,"23,175"
Sun 02:35:15 PM,34.0507,-112.3571, 319,425,489,"24,100"
Sun 02:35:45 PM,34.0941,-112.4008, 320,430,495,"25,200"
Sun 02:36:15 PM,34.1410,-112.4483, 320,434,499,"26,275"
Sun 02:36:45 PM,34.1870,-112.4946, 320,428,493,"27,700"
Sun 02:37:15 PM,34.2321,-112.5402, 320,427,491,"28,000"
Sun 02:37:46 PM,34.2793,-112.5881, 320,427,491,"28,000"
Sun 02:38:18 PM,34.3271,-112.6364, 320,426,490,"28,000"
Sun 02:38:50 PM,34.3749,-112.6847, 320,424,488,"28,000"
Sun 02:39:20 PM,34.4213,-112.7317, 320,424,488,"28,000"
Sun 02:39:51 PM,34.4669,-112.7780, 320,425,489,"28,000"
Sun 02:40:22 PM,34.5127,-112.8247, 320,425,489,"28,000"
Sun 02:40:56 PM,34.5658,-112.8788, 320,425,489,"28,000"
Sun 02:41:27 PM,34.6126,-112.9265, 320,426,490,"28,000"
Sun 02:42:01 PM,34.6626,-112.9778, 320,427,491,"28,000"
Sun 02:42:32 PM,34.7114,-113.0277, 320,427,491,"28,000"
Sun 02:42:55 PM,34.7460,-113.0633, 318,427,491,"28,000"
