Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 02:28:00 PM    Left Gate (PHX) @ Sunday 11:28:00 AM MST,,,Airline
,,,
Taxi Time: 25 minutes,,,
Sun 02:53:00 PM    Departure (PHX) @ Sunday 11:53:00 AM MST,,,Albuquerque Center
,,,
Sun 02:54:01 PM,33.4310,-111.9948, 90,156,180,"1,850"
Sun 02:54:17 PM,33.4314,-111.9799, 87,165,190,"2,475"
Sun 02:54:33 PM,33.4323,-111.9644, 86,185,213,"2,800"
Sun 02:54:49 PM,33.4333,-111.9464, 87,212,244,"3,075"
Sun 02:55:05 PM,33.4343,-111.9280, 87,230,265,"3,525"
Sun 02:55:23 PM,33.4356,-111.9030, 87,250,288,"4,125"
Sun 02:55:42 PM,33.4386,-111.8753, 72,277,319,"4,600"
Sun 02:55:58 PM,33.4491,-111.8561, 45,284,327,"5,225"
Sun 02:56:14 PM,33.4679,-111.8439, 15,290,334,"5,875"
Sun 02:56:32 PM,33.4928,-111.8414, 358,293,337,"6,650"
Sun 02:56:49 PM,33.5138,-111.8480, 334,282,325,"7,550"
Sun 02:57:07 PM,33.5326,-111.8646, 321,284,327,"8,575"
Sun 02:57:34 PM,33.5592,-111.8908, 321,299,344,"10,050"
Sun 02:58:04 PM,33.5945,-111.9247, 322,342,394,"10,875"
Sun 02:58:34 PM,33.6336,-111.9610, 322,365,420,"12,075"
Sun 02:59:04 PM,33.6758,-112.0003, 322,378,435,"13,475"
Sun 02:59:34 PM,33.7164,-112.0387, 322,388,447,"14,950"
Sun 03:00:04 PM,33.7608,-112.0808, 322,397,457,"16,375"
Sun 03:00:45 PM,33.8205,-112.1375, 322,413,475,"18,125"
Sun 03:01:15 PM,33.8659,-112.1807, 322,423,487,"19,300"
Sun 03:01:46 PM,33.9155,-112.2276, 322,415,478,"21,225"
Sun 03:02:02 PM,33.9360,-112.2469, 323,415,478,"21,875"
Sun 03:02:43 PM,34.0012,-112.3091, 321,422,486,"23,650"
Sun 03:03:13 PM,34.0467,-112.3529, 321,426,490,"24,775"
Sun 03:03:43 PM,34.0909,-112.3978, 320,431,496,"25,775"
Sun 03:04:14 PM,34.1401,-112.4478, 320,440,506,"26,000"
Sun 03:04:46 PM,34.1883,-112.4964, 320,441,507,"26,000"
Sun 03:05:16 PM,34.2363,-112.5444, 320,440,506,"26,000"
Sun 03:05:46 PM,34.2832,-112.5918, 320,439,505,"26,000"
Sun 03:06:16 PM,34.3305,-112.6395, 320,438,504,"26,000"
Sun 03:06:46 PM,34.3766,-112.6863, 320,438,504,"26,000"
Sun 03:07:16 PM,34.4219,-112.7326, 320,441,507,"26,000"
Sun 03:07:47 PM,34.4717,-112.7830, 320,439,505,"26,000"
Sun 03:08:18 PM,34.5206,-112.8331, 320,447,514,"26,000"
Sun 03:08:50 PM,34.5706,-112.8839, 320,447,514,"26,000"
Sun 03:09:21 PM,34.6203,-112.9345, 320,449,517,"26,000"
Sun 03:09:51 PM,34.6681,-112.9833, 320,451,519,"26,000"
Sun 03:10:24 PM,34.7204,-113.0369, 320,451,519,"26,000"
Sun 03:10:45 PM,34.7555,-113.0742, 317,444,511,"26,000"
Sun 03:11:16 PM,34.7979,-113.1273, 314,439,505,"26,000"
Sun 03:11:48 PM,34.8421,-113.1830, 314,436,502,"26,000"
Sun 03:12:19 PM,34.8856,-113.2383, 314,434,499,"26,000"
Sun 03:12:49 PM,34.9273,-113.2915, 314,433,498,"26,000"
Sun 03:13:19 PM,34.9686,-113.3444, 313,432,497,"26,000"
Sun 03:13:42 PM,35.0027,-113.3849, 319,442,509,"26,000"
Sun 03:14:08 PM,35.0423,-113.4249, 320,444,511,"26,000"
Sun 03:14:38 PM,35.0889,-113.4716, 321,443,510,"26,000"
Sun 03:15:08 PM,35.1367,-113.5197, 320,441,507,"25,600"
Sun 03:15:38 PM,35.1845,-113.5677, 321,438,504,"25,075"
Sun 03:16:08 PM,35.2304,-113.6139, 320,434,499,"24,575"
Sun 03:16:38 PM,35.2772,-113.6615, 321,431,496,"24,050"
Sun 03:17:08 PM,35.3229,-113.7074, 320,426,490,"23,575"
Sun 03:17:38 PM,35.3682,-113.7538, 320,420,483,"23,025"
Sun 03:18:08 PM,35.4121,-113.7983, 320,411,473,"22,550"
Sun 03:18:38 PM,35.4555,-113.8426, 320,405,466,"22,050"
Sun 03:19:08 PM,35.4994,-113.8877, 320,401,461,"21,525"
Sun 03:19:38 PM,35.5412,-113.9302, 320,395,455,"21,050"
Sun 03:20:08 PM,35.5829,-113.9727, 320,388,447,"20,300"
Sun 03:20:38 PM,35.6238,-114.0145, 320,380,437,"19,175"
Sun 03:21:08 PM,35.6634,-114.0554, 320,373,429,"18,050"
Sun 03:21:43 PM,35.7084,-114.1016, 320,351,404,"17,575"
Sun 03:22:09 PM,35.7422,-114.1366, 319,348,400,"17,525"
Sun 03:22:31 PM,35.7642,-114.1677, 304,330,380,"17,100"
Sun 03:23:08 PM,35.7907,-114.2262, 299,318,366,"16,125"
Sun 03:23:38 PM,35.8116,-114.2733, 298,311,358,"15,350"
Sun 03:24:08 PM,35.8321,-114.3195, 299,306,352,"14,575"
Sun 03:24:47 PM,35.8638,-114.3746, 307,300,345,"13,650"
Sun 03:25:17 PM,35.8884,-114.4134, 308,279,321,"13,300"
Sun 03:25:48 PM,35.9113,-114.4501, 307,259,298,"13,000"
