Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 04:01:00 PM    Left Gate (PHX) @ Sunday 01:01:00 PM MST,,,Airline
,,,
Taxi Time: 27 minutes,,,
Sun 04:28:07 PM    Departure (PHX) @ Sunday 01:28:07 PM MST,,,FlightAware ADS-B (KPHX)
Sun 04:28:07 PM,33.4310,-112.0031, 90,158,182,"1,325"
Sun 04:28:23 PM,33.4315,-111.9890, 87,162,186,"1,950"
Sun 04:28:39 PM,33.4322,-111.9750, 87,174,200,"2,425"
Sun 04:28:55 PM,33.4330,-111.9579, 87,193,222,"2,725"
Sun 04:29:11 PM,33.4340,-111.9395, 86,216,249,"2,875"
Sun 04:29:39 PM,33.4357,-111.9039, 87,231,266,"3,775"
Sun 04:29:57 PM,33.4376,-111.8811, 78,248,285,"4,275"
Sun 04:30:15 PM,33.4493,-111.8600, 39,271,312,"4,575"
Sun 04:30:31 PM,33.4689,-111.8512, 9,284,327,"4,875"
Sun 04:30:48 PM,33.4917,-111.8492, 2,285,328,"5,550"
Sun 04:31:06 PM,33.5148,-111.8510, 347,278,320,"6,425"
Sun 04:31:24 PM,33.5349,-111.8612, 329,276,318,"7,075"
Sun 04:31:45 PM,33.5558,-111.8807, 322,276,318,"7,900"
Sun 04:32:15 PM,33.5861,-111.9093, 322,263,303,"9,600"
Sun 04:32:45 PM,33.6144,-111.9364, 321,282,325,"10,575"
Sun 04:33:15 PM,33.6466,-111.9677, 321,318,366,"11,075"
Sun 04:33:39 PM,33.6754,-111.9952, 322,337,388,"11,575"
Sun 04:33:59 PM,33.7000,-112.0186, 322,345,397,"12,325"
Sun 04:34:29 PM,33.7382,-112.0550, 321,353,406,"13,450"
Sun 04:34:59 PM,33.7772,-112.0927, 321,366,421,"14,550"
Sun 04:35:29 PM,33.8175,-112.1313, 321,375,432,"15,600"
Sun 04:35:59 PM,33.8591,-112.1716, 321,385,443,"16,700"
Sun 04:36:29 PM,33.9004,-112.2114, 321,393,452,"17,925"
Sun 04:36:59 PM,33.9447,-112.2541, 321,390,449,"19,550"
Sun 04:37:29 PM,33.9878,-112.2957, 321,390,449,"20,825"
Sun 04:38:00 PM,34.0308,-112.3375, 321,401,461,"21,675"
Sun 04:38:30 PM,34.0736,-112.3802, 320,402,463,"22,825"
Sun 04:39:00 PM,34.1143,-112.4214, 320,407,468,"23,725"
Sun 04:39:31 PM,34.1631,-112.4709, 320,417,480,"24,650"
Sun 04:40:01 PM,34.2071,-112.5153, 320,424,488,"25,500"
Sun 04:40:31 PM,34.2518,-112.5603, 320,435,501,"26,275"
Sun 04:41:01 PM,34.2982,-112.6071, 320,443,510,"26,950"
Sun 04:41:31 PM,34.3462,-112.6557, 320,450,518,"27,650"
Sun 04:42:01 PM,34.3949,-112.7051, 320,456,525,"28,000"
Sun 04:42:31 PM,34.4418,-112.7525, 320,453,521,"28,000"
Sun 04:43:01 PM,34.4905,-112.8017, 320,449,517,"28,000"
Sun 04:43:31 PM,34.5386,-112.8508, 320,445,512,"28,000"
Sun 04:44:01 PM,34.5854,-112.8990, 320,443,510,"28,000"
Sun 04:44:31 PM,34.6313,-112.9462, 320,444,511,"28,000"
Sun 04:45:02 PM,34.6827,-112.9985, 320,442,509,"28,000"
Sun 04:45:32 PM,34.7260,-113.0429, 320,442,509,"28,000"
Sun 04:45:53 PM,34.7602,-113.0801, 315,429,494,"28,000"
Sun 04:46:23 PM,34.8008,-113.1313, 314,429,494,"28,000"
Sun 04:46:53 PM,34.8426,-113.1844, 314,434,499,"28,000"
Sun 04:47:23 PM,34.8845,-113.2375, 314,431,496,"27,975"
Sun 04:47:53 PM,34.9241,-113.2866, 314,399,459,"27,975"
Sun 04:48:23 PM,34.9609,-113.3333, 313,382,440,"28,000"
Sun 04:48:45 PM,34.9895,-113.3699, 316,385,443,"28,000"
Sun 04:49:17 PM,35.0327,-113.4150, 320,395,455,"28,000"
Sun 04:49:51 PM,35.0791,-113.4619, 320,394,453,"28,000"
Sun 04:50:22 PM,35.1230,-113.5063, 320,391,450,"28,000"
Sun 04:50:52 PM,35.1653,-113.5486, 321,387,445,"27,975"
Sun 04:51:22 PM,35.2062,-113.5894, 320,373,429,"27,525"
Sun 04:51:52 PM,35.2458,-113.6294, 320,363,418,"26,875"
Sun 04:52:22 PM,35.2841,-113.6688, 320,373,429,"26,200"
Sun 04:52:52 PM,35.3254,-113.7108, 320,403,464,"26,000"
Sun 04:53:22 PM,35.3694,-113.7551, 320,418,481,"25,975"
Sun 04:53:53 PM,35.4179,-113.8044, 320,423,487,"24,925"
Sun 04:54:23 PM,35.4607,-113.8481, 320,412,474,"24,000"
Sun 04:54:55 PM,35.5056,-113.8935, 320,403,464,"22,875"
Sun 04:55:25 PM,35.5499,-113.9391, 320,395,455,"21,750"
Sun 04:55:55 PM,35.5930,-113.9830, 320,387,445,"20,650"
Sun 04:56:26 PM,35.6334,-114.0242, 320,380,437,"19,600"
Sun 04:56:56 PM,35.6734,-114.0650, 320,363,418,"18,650"
Sun 04:57:26 PM,35.7110,-114.1039, 320,341,392,"18,175"
Sun 04:57:56 PM,35.7451,-114.1399, 316,324,373,"18,000"
Sun 04:58:17 PM,35.7659,-114.1710, 303,316,364,"17,575"
Sun 04:59:06 PM,35.7999,-114.2464, 299,305,351,"16,375"
Sun 04:59:36 PM,35.8197,-114.2909, 298,278,320,"16,275"
Sun 05:00:07 PM,35.8374,-114.3309, 301,259,298,"16,050"
Sun 05:00:37 PM,35.8578,-114.3653, 307,264,304,"15,325"
Sun 05:01:07 PM,35.8804,-114.4017, 308,260,299,"14,725"
Sun 05:01:24 PM,35.8933,-114.4213, 312,259,298,"14,350"
Sun 05:01:40 PM,35.9086,-114.4360, 329,266,306,"14,050"
Sun 05:01:56 PM,35.9271,-114.4447, 348,274,315,"13,700"
Sun 05:02:36 PM,35.9778,-114.4507, 358,272,313,"12,950"
Sun 05:03:06 PM,36.0155,-114.4483, 359,263,303,"12,550"
Sun 05:03:25 PM,36.0365,-114.4552, 329,252,290,"12,225"
Sun 05:03:43 PM,36.0507,-114.4753, 298,241,277,"11,900"
Sun 05:04:00 PM,36.0554,-114.4971, 274,234,269,"11,625"
