Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 03:11:00 PM    Left Gate (PHX) @ Thursday 01:11:00 PM MST,,,Airline
,,,
Taxi Time: 31 minutes,,,
Thu 03:42:14 PM    Departure (PHX) @ Thursday 01:42:14 PM MST,,,FlightAware ADS-B (KFFZ)
Thu 03:42:14 PM,33.4310,-112.0177, 269,180,207,"1,450"
Thu 03:42:30 PM,33.4322,-112.0332, 291,161,185,"2,800"
Thu 03:42:46 PM,33.4397,-112.0433, 330,177,204,"3,375"
Thu 03:43:02 PM,33.4526,-112.0494, 342,204,235,"3,800"
Thu 03:43:18 PM,33.4690,-112.0554, 343,219,252,"4,500"
Thu 03:43:34 PM,33.4843,-112.0604, 346,227,261,"5,375"
Thu 03:43:58 PM,33.5104,-112.0686, 344,251,289,"6,325"
Thu 03:44:15 PM,33.5282,-112.0760, 338,255,293,"7,175"
Thu 03:44:39 PM,33.5549,-112.0901, 336,273,314,"8,225"
Thu 03:45:09 PM,33.5912,-112.1093, 337,288,331,"9,750"
Thu 03:45:39 PM,33.6298,-112.1293, 336,314,361,"10,950"
Thu 03:46:09 PM,33.6716,-112.1507, 337,352,405,"11,550"
Thu 03:46:39 PM,33.7182,-112.1744, 337,365,420,"12,925"
Thu 03:47:09 PM,33.7660,-112.1990, 337,377,434,"14,250"
Thu 03:47:39 PM,33.8156,-112.2247, 337,384,442,"15,650"
Thu 03:48:09 PM,33.8635,-112.2494, 337,388,447,"17,100"
Thu 03:48:39 PM,33.9127,-112.2748, 337,392,451,"18,525"
Thu 03:49:09 PM,33.9620,-112.3004, 337,397,457,"19,800"
Thu 03:49:30 PM,34.0007,-112.3208, 334,403,464,"20,775"
Thu 03:49:49 PM,34.0314,-112.3415, 327,409,471,"21,425"
Thu 03:50:33 PM,34.0984,-112.4056, 320,423,487,"22,775"
Thu 03:51:03 PM,34.1420,-112.4493, 320,427,491,"23,850"
Thu 03:51:33 PM,34.1873,-112.4949, 320,431,496,"24,975"
Thu 03:52:03 PM,34.2341,-112.5421, 320,437,503,"25,900"
Thu 03:52:33 PM,34.2808,-112.5894, 320,435,501,"27,025"
Thu 03:53:03 PM,34.3267,-112.6359, 320,436,502,"27,975"
Thu 03:53:33 PM,34.3719,-112.6818, 320,427,491,"28,000"
Thu 03:54:03 PM,34.4156,-112.7260, 320,416,479,"28,000"
Thu 03:54:35 PM,34.4645,-112.7756, 320,414,476,"28,000"
Thu 03:55:05 PM,34.5095,-112.8216, 320,412,474,"28,000"
Thu 03:55:35 PM,34.5517,-112.8646, 320,412,474,"28,000"
Thu 03:56:06 PM,34.5984,-112.9125, 320,410,472,"28,000"
Thu 03:56:36 PM,34.6418,-112.9566, 320,407,468,"28,000"
Thu 03:57:06 PM,34.6845,-113.0001, 320,407,468,"28,000"
Thu 03:57:36 PM,34.7283,-113.0452, 320,406,467,"28,000"
Thu 03:57:52 PM,34.7501,-113.0680, 317,407,468,"28,000"
Thu 03:58:11 PM,34.7753,-113.0987, 314,407,468,"28,000"
Thu 03:58:56 PM,34.8346,-113.1735, 314,410,472,"28,000"
Thu 03:59:28 PM,34.8757,-113.2260, 313,409,471,"28,000"
Thu 03:59:59 PM,34.9156,-113.2767, 314,405,466,"28,000"
Thu 04:00:29 PM,34.9560,-113.3280, 314,403,464,"28,000"
Thu 04:00:59 PM,34.9938,-113.3748, 318,400,460,"28,000"
Thu 04:01:40 PM,35.0517,-113.4336, 320,397,457,"28,000"
Thu 04:02:10 PM,35.0948,-113.4772, 320,396,456,"28,000"
Thu 04:02:40 PM,35.1368,-113.5195, 320,397,457,"27,625"
Thu 04:03:10 PM,35.1781,-113.5613, 321,396,456,"27,125"
Thu 04:03:40 PM,35.2208,-113.6042, 320,395,455,"26,625"
Thu 04:04:10 PM,35.2630,-113.6471, 320,392,451,"26,125"
Thu 04:04:41 PM,35.3069,-113.6915, 320,390,449,"26,000"
Thu 04:05:20 PM,35.3628,-113.7482, 320,389,448,"25,975"
Thu 04:05:50 PM,35.4038,-113.7900, 320,384,442,"25,200"
Thu 04:06:21 PM,35.4447,-113.8317, 320,379,436,"24,075"
Thu 04:06:51 PM,35.4847,-113.8725, 320,375,432,"23,025"
Thu 04:07:21 PM,35.5253,-113.9138, 320,372,428,"21,950"
Thu 04:07:51 PM,35.5648,-113.9545, 320,368,423,"20,975"
Thu 04:08:21 PM,35.6035,-113.9941, 320,364,419,"19,975"
Thu 04:08:52 PM,35.6420,-114.0335, 320,360,414,"19,000"
Thu 04:09:22 PM,35.6803,-114.0726, 320,356,410,"18,075"
Thu 04:09:52 PM,35.7169,-114.1102, 320,343,395,"17,400"
Thu 04:10:20 PM,35.7512,-114.1472, 313,320,368,"17,150"
Thu 04:10:45 PM,35.7709,-114.1814, 299,313,360,"16,650"
Thu 04:11:15 PM,35.7912,-114.2273, 299,306,352,"15,950"
Thu 04:11:45 PM,35.8108,-114.2714, 299,286,329,"15,700"
Thu 04:12:15 PM,35.8296,-114.3140, 299,263,303,"15,475"
Thu 04:12:31 PM,35.8390,-114.3336, 303,258,297,"15,150"
Thu 04:13:18 PM,35.8716,-114.3866, 308,250,288,"14,075"
Thu 04:13:48 PM,35.8927,-114.4207, 307,244,281,"13,400"
Thu 04:14:18 PM,35.9138,-114.4548, 308,246,283,"12,550"
Thu 04:14:48 PM,35.9337,-114.4869, 307,243,280,"11,875"
Thu 04:15:18 PM,35.9547,-114.5201, 308,242,278,"11,125"
Thu 04:15:57 PM,35.9817,-114.5638, 306,238,274,"10,275"
Thu 04:16:27 PM,36.0007,-114.5953, 308,238,274,"9,550"
Thu 04:16:57 PM,36.0213,-114.6286, 307,237,273,"9,000"
Thu 04:17:24 PM,36.0387,-114.6581, 303,242,278,"8,475"
Thu 04:17:44 PM,36.0500,-114.6815, 302,241,277,"8,200"
Thu 04:18:11 PM,36.0656,-114.7126, 303,233,268,"8,100"
Thu 04:18:30 PM,36.0728,-114.7366, 277,234,269,"8,000"
Thu 04:18:49 PM,36.0731,-114.7618, 270,233,268,"7,650"
Thu 04:19:19 PM,36.0733,-114.8016, 271,233,268,"7,100"
Thu 04:19:46 PM,36.0734,-114.8356, 270,225,259,"6,675"
Thu 04:20:16 PM,36.0736,-114.8746, 271,214,246,"6,100"
Thu 04:20:46 PM,36.0736,-114.9109, 270,203,234,"5,525"
Thu 04:21:10 PM,36.0737,-114.9387, 270,197,227,"5,100"
Thu 04:21:40 PM,36.0735,-114.9719, 271,193,222,"4,650"
Thu 04:22:07 PM,36.0737,-115.0011, 270,185,213,"4,150"
Thu 04:22:37 PM,36.0737,-115.0314, 270,172,198,"3,700"
Thu 04:23:07 PM,36.0737,-115.0595, 270,159,183,"3,225"
Thu 04:23:23 PM,36.0737,-115.0747, 271,160,184,"3,025"
Thu 04:23:39 PM,36.0737,-115.0892, 270,161,185,"2,800"
Thu 04:23:55 PM,36.0737,-115.1041, 269,158,182,"2,550"
Thu 04:24:11 PM,36.0737,-115.1191, 270,159,183,"2,325"
Thu 04:24:27 PM,36.0737,-115.1323, 270,156,180,"2,150"
,,,
Thu 04:24:59 PM    Arrival (LAS) @ Thursday 01:24:59 PM PST,,,FlightAware
,,,
Taxi Time: 11 minutes,,,
Thu 04:36:00 PM    Gate Arrival (LAS) @ Thursday 01:36:00 PM PST,,,Airline
