Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 05:18:21 PM    Departure (PHX) @ Thursday 02:18:21 PM MST,,,FlightAware ADS-B (KFFZ)
Thu 05:18:21 PM,33.4311,-111.9981, 90,184,212,"1,350"
Thu 05:18:37 PM,33.4314,-111.9828, 87,174,200,"2,125"
Thu 05:18:53 PM,33.4324,-111.9659, 86,179,206,"2,675"
Thu 05:19:09 PM,33.4332,-111.9504, 86,191,220,"2,925"
Thu 05:19:25 PM,33.4341,-111.9334, 86,203,234,"3,225"
Thu 05:19:47 PM,33.4353,-111.9078, 87,232,267,"3,500"
Thu 05:20:03 PM,33.4374,-111.8836, 78,257,296,"3,725"
Thu 05:20:20 PM,33.4474,-111.8629, 43,270,311,"4,250"
Thu 05:20:36 PM,33.4640,-111.8525, 13,277,319,"4,850"
Thu 05:20:53 PM,33.4850,-111.8523, 349,281,323,"5,525"
Thu 05:21:23 PM,33.5190,-111.8768, 323,289,333,"6,750"
Thu 05:21:53 PM,33.5519,-111.9068, 323,294,338,"8,000"
Thu 05:22:23 PM,33.5851,-111.9362, 324,297,342,"9,225"
Thu 05:23:08 PM,33.6357,-111.9815, 323,304,350,"11,000"
Thu 05:23:38 PM,33.6704,-112.0126, 323,311,358,"12,125"
Thu 05:24:08 PM,33.7056,-112.0440, 323,316,364,"13,275"
Thu 05:24:38 PM,33.7413,-112.0760, 323,339,390,"13,825"
Thu 05:25:08 PM,33.7803,-112.1111, 323,367,422,"14,275"
Thu 05:25:38 PM,33.8235,-112.1499, 323,385,443,"14,900"
Thu 05:26:08 PM,33.8658,-112.1880, 323,394,453,"15,775"
Thu 05:26:38 PM,33.9102,-112.2280, 323,391,450,"17,025"
Thu 05:27:08 PM,33.9523,-112.2661, 323,396,456,"18,000"
Thu 05:27:38 PM,33.9949,-112.3045, 323,379,436,"19,625"
Thu 05:28:08 PM,34.0366,-112.3430, 320,382,440,"20,600"
Thu 05:28:38 PM,34.0774,-112.3841, 320,388,447,"21,400"
