Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 05:04:00 PM    Left Gate (PHX) @ Thursday 02:04:00 PM MST,,,Airline
,,,
Taxi Time: 13 minutes,,,
Thu 05:17:20 PM    Departure (PHX) @ Thursday 02:17:20 PM MST,,,FlightAware ADS-B (KGEU)
Thu 05:17:20 PM,33.4311,-111.9901, 89,165,190,"1,850"
Thu 05:17:36 PM,33.4314,-111.9755, 88,168,193,"2,425"
Thu 05:17:52 PM,33.4320,-111.9594, 87,190,219,"2,700"
Thu 05:18:08 PM,33.4327,-111.9422, 87,212,244,"2,925"
Thu 05:18:37 PM,33.4342,-111.9036, 87,260,299,"3,450"
Thu 05:19:00 PM,33.4374,-111.8677, 75,273,314,"4,475"
Thu 05:19:20 PM,33.4490,-111.8415, 50,273,314,"5,550"
Thu 05:19:36 PM,33.4633,-111.8277, 32,274,315,"6,425"
Thu 05:19:54 PM,33.4860,-111.8183, 9,286,329,"7,175"
Thu 05:20:11 PM,33.5076,-111.8202, 343,297,342,"7,875"
Thu 05:20:32 PM,33.5339,-111.8402, 322,300,345,"9,025"
Thu 05:20:50 PM,33.5505,-111.8564, 320,301,346,"9,825"
Thu 05:21:20 PM,33.5850,-111.8907, 320,327,376,"10,750"
Thu 05:21:50 PM,33.6219,-111.9281, 320,360,414,"11,325"
Thu 05:22:20 PM,33.6615,-111.9682, 320,368,423,"12,600"
Thu 05:22:50 PM,33.6993,-112.0060, 320,371,427,"13,850"
Thu 05:23:20 PM,33.7392,-112.0459, 320,378,435,"15,050"
Thu 05:23:50 PM,33.7812,-112.0878, 320,385,443,"16,175"
Thu 05:24:20 PM,33.8229,-112.1293, 320,382,440,"17,525"
Thu 05:24:50 PM,33.8637,-112.1700, 320,392,451,"18,400"
Thu 05:25:20 PM,33.9049,-112.2111, 320,396,456,"19,375"
Thu 05:25:50 PM,33.9498,-112.2559, 320,402,463,"20,350"
Thu 05:26:20 PM,33.9911,-112.2972, 320,412,474,"21,075"
Thu 05:26:50 PM,34.0354,-112.3416, 320,418,481,"21,850"
Thu 05:27:20 PM,34.0801,-112.3864, 320,422,486,"22,700"
Thu 05:27:50 PM,34.1271,-112.4336, 320,427,491,"23,475"
Thu 05:28:20 PM,34.1694,-112.4764, 320,431,496,"24,150"
Thu 05:28:50 PM,34.2163,-112.5237, 320,437,503,"24,825"
Thu 05:29:20 PM,34.2655,-112.5733, 320,448,516,"25,200"
Thu 05:29:50 PM,34.3125,-112.6209, 320,451,519,"25,825"
Thu 05:30:20 PM,34.3607,-112.6697, 320,455,524,"26,375"
Thu 05:30:50 PM,34.4080,-112.7176, 320,458,527,"26,900"
Thu 05:31:20 PM,34.4581,-112.7685, 320,459,528,"27,525"
Thu 05:31:50 PM,34.5079,-112.8193, 320,463,533,"27,950"
Thu 05:32:22 PM,34.5595,-112.8720, 320,461,531,"28,025"
Thu 05:32:52 PM,34.6096,-112.9230, 320,462,532,"28,000"
Thu 05:33:23 PM,34.6593,-112.9736, 320,436,502,"28,025"
Thu 05:33:53 PM,34.7023,-113.0176, 320,422,486,"28,000"
Thu 05:34:24 PM,34.7484,-113.0650, 320,422,486,"28,000"
Thu 05:34:40 PM,34.7726,-113.0906, 317,421,484,"28,000"
Thu 05:34:57 PM,34.7951,-113.1182, 313,420,483,"28,000"
Thu 05:35:27 PM,34.8339,-113.1703, 312,421,484,"28,000"
Thu 05:35:57 PM,34.8744,-113.2236, 313,420,483,"28,000"
Thu 05:36:27 PM,34.9165,-113.2773, 314,420,483,"28,000"
Thu 05:36:57 PM,34.9542,-113.3252, 314,420,483,"28,000"
Thu 05:37:24 PM,34.9928,-113.3738, 316,420,483,"28,000"
Thu 05:37:40 PM,35.0149,-113.3968, 320,421,484,"28,000"
Thu 05:38:12 PM,35.0629,-113.4446, 321,421,484,"28,000"
Thu 05:38:42 PM,35.1076,-113.4895, 320,418,481,"27,775"
Thu 05:39:13 PM,35.1558,-113.5383, 320,421,484,"27,125"
Thu 05:39:43 PM,35.1987,-113.5817, 320,418,481,"25,875"
Thu 05:40:13 PM,35.2450,-113.6285, 320,411,473,"24,675"
Thu 05:40:46 PM,35.2932,-113.6773, 320,401,461,"23,425"
Thu 05:41:16 PM,35.3343,-113.7190, 320,394,453,"22,400"
Thu 05:41:47 PM,35.3770,-113.7625, 320,391,450,"21,400"
Thu 05:42:17 PM,35.4179,-113.8041, 320,387,445,"20,425"
Thu 05:42:48 PM,35.4592,-113.8462, 320,381,438,"19,475"
Thu 05:43:18 PM,35.5016,-113.8895, 320,376,433,"18,525"
Thu 05:43:49 PM,35.5418,-113.9306, 320,369,425,"17,575"
Thu 05:44:20 PM,35.5819,-113.9715, 320,363,418,"16,700"
Thu 05:44:50 PM,35.6208,-114.0115, 320,357,411,"15,850"
Thu 05:45:20 PM,35.6587,-114.0503, 320,354,407,"15,075"
Thu 05:45:50 PM,35.6956,-114.0883, 320,344,396,"14,500"
Thu 05:46:20 PM,35.7316,-114.1253, 320,325,374,"14,200"
Thu 05:46:39 PM,35.7538,-114.1486, 316,320,368,"14,000"
Thu 05:46:56 PM,35.7679,-114.1726, 300,319,367,"13,625"
Thu 05:47:26 PM,35.7887,-114.2202, 298,317,365,"12,825"
Thu 05:47:59 PM,35.8113,-114.2725, 298,314,361,"11,925"
Thu 05:48:29 PM,35.8312,-114.3176, 299,301,346,"11,200"
Thu 05:48:55 PM,35.8510,-114.3545, 308,285,328,"10,900"
Thu 05:49:25 PM,35.8750,-114.3926, 308,277,319,"10,350"
Thu 05:49:55 PM,35.8994,-114.4316, 308,279,321,"9,975"
Thu 05:50:25 PM,35.9232,-114.4696, 308,280,322,"9,975"
Thu 05:50:55 PM,35.9453,-114.5051, 307,264,304,"9,975"
Thu 05:51:25 PM,35.9663,-114.5389, 307,253,291,"9,750"
Thu 05:51:55 PM,35.9872,-114.5729, 307,251,289,"9,125"
Thu 05:52:25 PM,36.0095,-114.6093, 307,243,280,"8,600"
Thu 05:52:55 PM,36.0285,-114.6405, 307,247,284,"8,025"
Thu 05:53:12 PM,36.0410,-114.6615, 303,253,291,"7,975"
Thu 05:53:34 PM,36.0552,-114.6899, 301,250,288,"7,975"
Thu 05:53:56 PM,36.0677,-114.7165, 296,247,284,"7,975"
Thu 05:54:12 PM,36.0724,-114.7383, 278,247,284,"7,900"
Thu 05:54:29 PM,36.0733,-114.7608, 271,241,277,"7,725"
Thu 05:54:59 PM,36.0735,-114.8020, 270,239,275,"7,225"
Thu 05:55:29 PM,36.0735,-114.8424, 270,231,266,"6,450"
Thu 05:55:59 PM,36.0736,-114.8795, 270,221,254,"5,800"
Thu 05:56:29 PM,36.0736,-114.9175, 270,198,228,"5,350"
Thu 05:56:59 PM,36.0736,-114.9502, 270,200,230,"4,750"
Thu 05:57:29 PM,36.0737,-114.9825, 270,195,224,"4,300"
Thu 05:57:59 PM,36.0737,-115.0162, 270,185,213,"3,750"
Thu 05:58:29 PM,36.0737,-115.0471, 270,171,197,"3,300"
,,,
Thu 05:58:46 PM,36.0737,-115.0639, 270,161,185,"3,050"
,,,
Thu 05:59:02 PM,36.0737,-115.0776, 270,152,175,"2,850"
Thu 05:59:18 PM,36.0737,-115.0908, 270,151,174,"2,650"
Thu 05:59:34 PM,36.0736,-115.1053, 270,153,176,"2,425"
Thu 05:59:50 PM,36.0737,-115.1194, 270,146,168,"2,250"
Thu 06:00:07 PM,36.0737,-115.1328, 270,143,165,"2,050"
,,,
Thu 06:00:39 PM    Arrival (LAS) @ Thursday 03:00:39 PM PDT,,,FlightAware
,,,
Taxi Time: 14 minutes,,,
Thu 06:15:00 PM    Gate Arrival (LAS) @ Thursday 03:15:00 PM PDT,,,Airline
