Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 12:21:44 AM    Departure (PHX) @ Thursday 10:21:44 PM MST,,,FlightAware ADS-B (KPHX)
Fri 12:21:44 AM,33.4311,-112.0164, 90,123,142,"1,100"
Fri 12:22:00 AM,33.4310,-112.0026, 90,150,173,"1,400"
Fri 12:22:16 AM,33.4312,-111.9897, 89,149,171,"2,200"
Fri 12:22:32 AM,33.4314,-111.9757, 89,169,194,"2,700"
Fri 12:22:48 AM,33.4320,-111.9596, 87,197,227,"3,100"
Fri 12:23:04 AM,33.4329,-111.9404, 87,216,249,"3,700"
Fri 12:23:27 AM,33.4345,-111.9133, 85,228,262,"4,825"
Fri 12:23:48 AM,33.4366,-111.8847, 83,259,298,"5,475"
Fri 12:24:06 AM,33.4453,-111.8603, 53,275,316,"6,275"
Fri 12:24:23 AM,33.4622,-111.8449, 25,270,311,"7,600"
Fri 12:24:39 AM,33.4807,-111.8395, 5,274,315,"8,650"
Fri 12:24:55 AM,33.5018,-111.8392, 359,275,316,"9,750"
Fri 12:25:12 AM,33.5228,-111.8393, 0,292,336,"10,625"
Fri 12:25:29 AM,33.5461,-111.8394, 0,326,375,"11,000"
Fri 12:26:02 AM,33.5994,-111.8379, 2,348,400,"12,775"
Fri 12:26:26 AM,33.6383,-111.8365, 0,356,410,"14,350"
Fri 12:26:43 AM,33.6690,-111.8403, 345,362,417,"15,400"
Fri 12:27:03 AM,33.6968,-111.8585, 320,366,421,"16,550"
Fri 12:27:22 AM,33.7169,-111.8857, 310,367,422,"17,700"
Fri 12:27:44 AM,33.7436,-111.9244, 310,374,430,"19,075"
Fri 12:28:24 AM,33.7865,-111.9860, 310,384,442,"20,850"
Fri 12:28:54 AM,33.8211,-112.0360, 310,386,444,"22,400"
Fri 12:29:24 AM,33.8551,-112.0850, 310,391,450,"23,875"
Fri 12:29:54 AM,33.8906,-112.1362, 310,401,461,"25,100"
Fri 12:30:24 AM,33.9280,-112.1902, 310,412,474,"26,225"
Fri 12:30:48 AM,33.9560,-112.2307, 310,414,476,"27,225"
Fri 12:31:18 AM,33.9931,-112.2843, 310,416,479,"28,000"
Fri 12:31:36 AM,34.0173,-112.3188, 312,419,482,"28,000"
Fri 12:32:11 AM,34.0633,-112.3699, 320,420,483,"28,000"
Fri 12:32:45 AM,34.1165,-112.4235, 320,419,482,"28,000"
Fri 12:33:15 AM,34.1605,-112.4683, 320,420,483,"28,000"
Fri 12:33:46 AM,34.2064,-112.5146, 320,422,486,"28,000"
Fri 12:34:17 AM,34.2528,-112.5611, 320,423,487,"28,000"
Fri 12:34:47 AM,34.2989,-112.6076, 320,424,488,"28,000"
Fri 12:35:24 AM,34.3542,-112.6636, 320,424,488,"28,000"
Fri 12:35:54 AM,34.4003,-112.7105, 320,424,488,"28,000"
Fri 12:36:25 AM,34.4454,-112.7563, 320,425,489,"28,000"
Fri 12:36:57 AM,34.4955,-112.8069, 320,427,491,"28,000"
Fri 12:37:27 AM,34.5415,-112.8537, 320,429,494,"28,000"
Fri 12:37:57 AM,34.5863,-112.8995, 320,429,494,"28,000"
Fri 12:38:28 AM,34.6331,-112.9476, 319,429,494,"28,000"
Fri 12:38:58 AM,34.6796,-112.9955, 320,431,496,"28,000"
Fri 12:39:28 AM,34.7247,-113.0417, 320,432,497,"28,000"
Fri 12:39:56 AM,34.7641,-113.0848, 314,433,498,"28,000"
Fri 12:40:26 AM,34.8061,-113.1378, 314,434,499,"28,000"
Fri 12:40:56 AM,34.8478,-113.1906, 314,434,499,"28,000"
Fri 12:41:26 AM,34.8909,-113.2452, 314,434,499,"28,000"
Fri 12:41:56 AM,34.9325,-113.2981, 314,434,499,"28,000"
Fri 12:42:26 AM,34.9743,-113.3516, 314,433,498,"28,000"
Fri 12:42:50 AM,35.0090,-113.3910, 321,432,497,"28,000"
