Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 08:18:00 PM    Left Gate (PHX) @ Thursday 06:18:00 PM MST,,,Airline
,,,
Taxi Time: 15 minutes,,,
Thu 08:33:29 PM    Departure (PHX) @ Thursday 06:33:29 PM MST,,,FlightAware ADS-B (KPHX)
Thu 08:33:29 PM,33.4311,-111.9999, 89,168,193,"1,400"
Thu 08:33:45 PM,33.4316,-111.9848, 87,173,199,"2,075"
Thu 08:34:01 PM,33.4322,-111.9701, 87,175,201,"2,725"
Thu 08:34:17 PM,33.4329,-111.9536, 87,194,223,"3,075"
Thu 08:34:33 PM,33.4338,-111.9348, 87,219,252,"3,325"
Thu 08:34:56 PM,33.4352,-111.9044, 87,248,285,"3,925"
Thu 08:35:14 PM,33.4376,-111.8781, 78,268,308,"4,525"
Thu 08:35:31 PM,33.4495,-111.8570, 47,274,315,"5,125"
Thu 08:35:50 PM,33.4701,-111.8462, 11,274,315,"5,850"
Thu 08:36:17 PM,33.5033,-111.8440, 3,271,312,"7,225"
Thu 08:36:47 PM,33.5413,-111.8421, 2,268,308,"8,800"
Thu 08:37:32 PM,33.5959,-111.8396, 2,257,296,"11,175"
Thu 08:38:02 PM,33.6345,-111.8377, 2,270,311,"12,025"
Thu 08:38:18 PM,33.6543,-111.8374, 357,267,307,"12,275"
Thu 08:38:48 PM,33.6906,-111.8429, 352,268,308,"13,050"
Thu 08:39:06 PM,33.7118,-111.8469, 350,263,303,"14,000"
Thu 08:39:27 PM,33.7354,-111.8601, 326,264,304,"14,950"
Thu 08:39:44 PM,33.7510,-111.8776, 310,281,323,"15,275"
Thu 08:40:14 PM,33.7755,-111.9186, 306,320,368,"15,725"
Thu 08:40:30 PM,33.7868,-111.9373, 307,333,383,"15,975"
Thu 08:41:00 PM,33.8185,-111.9906, 305,351,404,"17,000"
Thu 08:41:30 PM,33.8479,-112.0383, 307,364,419,"17,825"
Thu 08:42:00 PM,33.8792,-112.0890, 307,378,435,"18,625"
Thu 08:42:30 PM,33.9096,-112.1388, 306,392,451,"19,350"
Thu 08:43:00 PM,33.9424,-112.1931, 306,398,458,"20,375"
Thu 08:43:30 PM,33.9755,-112.2479, 306,399,459,"21,500"
Thu 08:43:59 PM,34.0061,-112.2983, 307,401,461,"22,425"
Thu 08:44:29 PM,34.0451,-112.3465, 319,407,468,"23,300"
Thu 08:45:12 PM,34.1050,-112.4106, 318,402,463,"24,950"
Thu 08:45:42 PM,34.1486,-112.4573, 318,419,482,"25,225"
Thu 08:46:12 PM,34.1935,-112.5055, 318,420,483,"26,000"
Thu 08:46:42 PM,34.2362,-112.5513, 318,419,482,"26,000"
Thu 08:47:13 PM,34.2797,-112.5980, 318,419,482,"26,000"
Thu 08:47:43 PM,34.3243,-112.6461, 318,418,481,"26,000"
Thu 08:48:13 PM,34.3664,-112.6916, 318,419,482,"26,000"
Thu 08:48:43 PM,34.4120,-112.7408, 318,423,487,"26,000"
Thu 08:49:13 PM,34.4553,-112.7875, 318,425,489,"26,000"
Thu 08:49:43 PM,34.5000,-112.8359, 318,425,489,"26,000"
Thu 08:50:14 PM,34.5442,-112.8840, 318,424,488,"26,000"
Thu 08:50:44 PM,34.5889,-112.9325, 318,424,488,"26,000"
Thu 08:51:15 PM,34.6333,-112.9808, 318,425,489,"26,000"
Thu 08:51:45 PM,34.6763,-113.0277, 318,427,491,"26,000"
Thu 08:52:15 PM,34.7217,-113.0773, 318,431,496,"26,000"
Thu 08:52:45 PM,34.7665,-113.1261, 318,431,496,"26,000"
Thu 08:53:15 PM,34.8109,-113.1747, 318,430,495,"26,000"
Thu 08:53:45 PM,34.8531,-113.2211, 318,430,495,"26,000"
Thu 08:54:15 PM,34.8985,-113.2709, 318,430,495,"26,000"
Thu 08:54:45 PM,34.9427,-113.3195, 318,430,495,"26,000"
Thu 08:55:15 PM,34.9877,-113.3692, 318,431,496,"26,000"
Thu 08:55:48 PM,35.0394,-113.4216, 320,431,496,"26,000"
Thu 08:56:19 PM,35.0857,-113.4681, 320,432,497,"26,000"
Thu 08:56:49 PM,35.1322,-113.5149, 320,432,497,"26,000"
Thu 08:57:21 PM,35.1812,-113.5643, 320,423,487,"25,625"
Thu 08:57:52 PM,35.2261,-113.6098, 320,409,471,"25,050"
Thu 08:58:22 PM,35.2684,-113.6525, 320,403,464,"24,525"
Thu 08:58:52 PM,35.3126,-113.6973, 320,398,458,"24,050"
Thu 08:59:22 PM,35.3540,-113.7394, 320,395,455,"23,625"
Thu 08:59:52 PM,35.3956,-113.7817, 320,391,450,"23,200"
Thu 09:00:22 PM,35.4376,-113.8245, 320,391,450,"22,775"
Thu 09:00:52 PM,35.4787,-113.8663, 320,388,447,"22,300"
Thu 09:01:23 PM,35.5219,-113.9104, 320,375,432,"21,475"
Thu 09:01:53 PM,35.5599,-113.9490, 320,363,418,"20,700"
Thu 09:02:23 PM,35.5976,-113.9880, 320,354,407,"19,950"
Thu 09:02:53 PM,35.6362,-114.0273, 320,346,398,"19,150"
Thu 09:03:23 PM,35.6720,-114.0640, 320,337,388,"18,450"
Thu 09:03:53 PM,35.7072,-114.1003, 320,327,376,"17,725"
Thu 09:04:23 PM,35.7425,-114.1369, 320,321,369,"17,050"
Thu 09:04:42 PM,35.7611,-114.1624, 306,320,368,"16,650"
Thu 09:05:20 PM,35.7890,-114.2222, 299,316,364,"15,775"
Thu 09:05:51 PM,35.8095,-114.2684, 298,311,358,"15,125"
Thu 09:06:25 PM,35.8335,-114.3227, 299,307,353,"14,350"
Thu 09:06:41 PM,35.8449,-114.3442, 306,303,349,"14,025"
Thu 09:07:13 PM,35.8725,-114.3884, 307,302,348,"13,325"
Thu 09:07:44 PM,35.8994,-114.4317, 307,298,343,"12,650"
Thu 09:08:14 PM,35.9237,-114.4707, 308,294,338,"12,025"
Thu 09:08:44 PM,35.9479,-114.5095, 308,292,336,"11,400"
Thu 09:09:14 PM,35.9725,-114.5490, 307,286,329,"10,775"
Thu 09:09:44 PM,35.9963,-114.5880, 307,278,320,"10,175"
Thu 09:10:14 PM,36.0192,-114.6251, 307,273,314,"9,575"
Thu 09:10:38 PM,36.0384,-114.6566, 306,268,308,"9,050"
Thu 09:11:07 PM,36.0564,-114.6935, 302,260,299,"8,550"
Thu 09:11:28 PM,36.0692,-114.7202, 296,248,285,"8,225"
Thu 09:11:45 PM,36.0731,-114.7404, 275,245,282,"7,925"
Thu 09:12:03 PM,36.0732,-114.7668, 271,236,272,"7,600"
Thu 09:12:33 PM,36.0734,-114.8060, 270,234,269,"7,025"
Thu 09:13:03 PM,36.0735,-114.8468, 270,226,260,"6,450"
Thu 09:13:33 PM,36.0736,-114.8859, 271,220,253,"5,850"
Thu 09:14:03 PM,36.0736,-114.9204, 270,209,241,"5,425"
Thu 09:14:33 PM,36.0736,-114.9549, 270,197,227,"4,875"
Thu 09:15:03 PM,36.0737,-114.9879, 270,179,206,"4,350"
Thu 09:15:24 PM,36.0737,-115.0093, 270,173,199,"3,975"
Thu 09:15:50 PM,36.0737,-115.0317, 270,155,178,"3,650"
Thu 09:16:20 PM,36.0737,-115.0579, 270,154,177,"3,200"
,,,
Thu 09:16:25 PM,36.0737,-115.0633, 271,154,177,"3,150"
,,,
Thu 09:16:36 PM,36.0737,-115.0728, 270,154,177,"2,975"
Thu 09:16:52 PM,36.0736,-115.0862, 270,155,178,"2,800"
Thu 09:17:08 PM,36.0736,-115.1003, 270,155,178,"2,575"
Thu 09:17:24 PM,36.0736,-115.1143, 270,155,178,"2,325"
Thu 09:17:40 PM,36.0737,-115.1299, 270,156,180,"2,100"
Thu 09:17:56 PM,36.0737,-115.1411, 271,109,125,"2,100"
,,,
Thu 09:18:12 PM    Arrival (LAS) @ Thursday 06:18:12 PM PST,,,FlightAware
,,,
Taxi Time: 6 minutes,,,
Thu 09:25:00 PM    Gate Arrival (LAS) @ Thursday 06:25:00 PM PST,,,Airline
