Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 08:31:00 PM    Left Gate (PHX) @ Thursday 06:31:00 PM MST,,,Airline
,,,
Taxi Time: 15 minutes,,,
Thu 08:46:17 PM    Departure (PHX) @ Thursday 06:46:17 PM MST,,,FlightAware ADS-B (KPHX)
Thu 08:46:17 PM,33.4311,-112.0045, 89,156,180,"1,375"
Thu 08:46:33 PM,33.4317,-111.9901, 86,146,168,"2,200"
Thu 08:46:49 PM,33.4325,-111.9780, 86,151,174,"2,750"
Thu 08:47:05 PM,33.4332,-111.9637, 87,173,199,"3,125"
Thu 08:47:21 PM,33.4339,-111.9475, 87,195,224,"3,525"
Thu 08:47:37 PM,33.4346,-111.9279, 88,217,250,"4,000"
Thu 08:47:56 PM,33.4354,-111.9043, 87,246,283,"4,600"
Thu 08:48:15 PM,33.4369,-111.8758, 83,276,318,"5,125"
Thu 08:48:31 PM,33.4426,-111.8535, 63,284,327,"5,825"
Thu 08:48:48 PM,33.4581,-111.8319, 37,284,327,"6,800"
Thu 08:49:06 PM,33.4787,-111.8213, 9,269,310,"7,675"
Thu 08:49:22 PM,33.4975,-111.8235, 342,269,310,"8,425"
Thu 08:49:38 PM,33.5155,-111.8364, 323,272,313,"9,275"
Thu 08:50:13 PM,33.5495,-111.8684, 322,294,338,"10,750"
Thu 08:50:43 PM,33.5847,-111.9013, 322,315,362,"11,975"
Thu 08:51:10 PM,33.6141,-111.9276, 333,323,372,"13,275"
Thu 08:51:29 PM,33.6454,-111.9377, 352,326,375,"14,325"
Thu 08:51:49 PM,33.6723,-111.9426, 346,329,379,"15,350"
Thu 08:52:11 PM,33.7034,-111.9657, 318,328,377,"16,400"
Thu 08:52:41 PM,33.7350,-112.0015, 316,332,382,"17,800"
Thu 08:53:11 PM,33.7697,-112.0415, 316,342,394,"19,050"
Thu 08:53:30 PM,33.7895,-112.0641, 318,349,402,"19,675"
Thu 08:54:00 PM,33.8270,-112.1063, 317,348,400,"20,800"
Thu 08:54:30 PM,33.8620,-112.1458, 317,353,406,"21,500"
Thu 08:55:00 PM,33.8968,-112.1850, 317,357,411,"22,725"
Thu 08:55:30 PM,33.9339,-112.2270, 317,362,417,"23,900"
Thu 08:56:00 PM,33.9701,-112.2680, 317,367,422,"24,900"
Thu 08:56:28 PM,34.0054,-112.3081, 317,367,422,"25,950"
Thu 08:56:48 PM,34.0299,-112.3356, 319,366,421,"26,775"
Thu 08:57:18 PM,34.0693,-112.3753, 320,366,421,"27,775"
Thu 08:57:49 PM,34.1089,-112.4151, 320,364,419,"28,000"
Thu 08:58:20 PM,34.1497,-112.4561, 320,362,417,"28,000"
Thu 08:58:50 PM,34.1878,-112.4947, 320,361,415,"28,000"
Thu 08:59:20 PM,34.2283,-112.5357, 320,383,441,"28,000"
Thu 08:59:52 PM,34.2741,-112.5818, 320,411,473,"28,000"
Thu 09:00:23 PM,34.3196,-112.6278, 320,422,486,"28,000"
Thu 09:00:53 PM,34.3651,-112.6738, 320,422,486,"28,000"
Thu 09:01:23 PM,34.4096,-112.7189, 320,424,488,"28,000"
Thu 09:01:53 PM,34.4556,-112.7656, 320,426,490,"28,000"
Thu 09:02:25 PM,34.5007,-112.8114, 320,426,490,"28,000"
Thu 09:02:59 PM,34.5547,-112.8665, 320,427,491,"28,000"
Thu 09:03:29 PM,34.6000,-112.9127, 320,424,488,"28,000"
Thu 09:04:00 PM,34.6463,-112.9601, 320,427,491,"28,000"
Thu 09:04:30 PM,34.6915,-113.0064, 320,428,493,"28,000"
Thu 09:05:00 PM,34.7378,-113.0540, 320,427,491,"28,000"
Thu 09:05:23 PM,34.7718,-113.0893, 317,427,491,"28,000"
Thu 09:05:53 PM,34.8113,-113.1391, 312,428,493,"28,000"
Thu 09:06:23 PM,34.8508,-113.1923, 312,427,491,"28,000"
Thu 09:06:53 PM,34.8915,-113.2451, 314,427,491,"28,000"
Thu 09:07:23 PM,34.9333,-113.2985, 314,429,494,"28,000"
Thu 09:07:53 PM,34.9740,-113.3500, 314,430,495,"28,000"
Thu 09:08:14 PM,35.0057,-113.3871, 320,432,497,"28,000"
Thu 09:08:44 PM,35.0529,-113.4342, 321,431,496,"28,000"
Thu 09:09:14 PM,35.0988,-113.4803, 320,434,499,"28,000"
Thu 09:09:44 PM,35.1424,-113.5242, 320,435,501,"27,750"
Thu 09:10:14 PM,35.1888,-113.5711, 320,434,499,"27,225"
Thu 09:10:44 PM,35.2355,-113.6183, 320,418,481,"26,725"
Thu 09:11:14 PM,35.2802,-113.6636, 320,414,476,"26,250"
Thu 09:11:44 PM,35.3233,-113.7074, 320,411,473,"25,450"
Thu 09:12:14 PM,35.3676,-113.7524, 320,404,465,"24,500"
Thu 09:12:44 PM,35.4100,-113.7956, 320,394,453,"23,600"
Thu 09:13:14 PM,35.4507,-113.8371, 320,392,451,"22,700"
Thu 09:13:44 PM,35.4933,-113.8805, 320,388,447,"21,850"
Thu 09:14:14 PM,35.5345,-113.9226, 320,382,440,"20,975"
Thu 09:14:46 PM,35.5774,-113.9665, 320,378,435,"20,075"
Thu 09:15:16 PM,35.6178,-114.0078, 320,373,429,"19,200"
Thu 09:15:46 PM,35.6566,-114.0476, 320,353,406,"18,400"
Thu 09:16:16 PM,35.6935,-114.0856, 320,322,371,"17,675"
Thu 09:16:46 PM,35.7258,-114.1188, 320,317,365,"17,000"
Thu 09:17:12 PM,35.7551,-114.1496, 316,313,360,"16,325"
Thu 09:17:31 PM,35.7696,-114.1760, 299,311,358,"15,925"
Thu 09:18:01 PM,35.7900,-114.2232, 298,307,353,"15,200"
Thu 09:18:31 PM,35.8095,-114.2680, 298,287,330,"14,550"
Thu 09:19:01 PM,35.8282,-114.3104, 299,282,325,"13,875"
Thu 09:19:21 PM,35.8416,-114.3385, 304,277,319,"13,475"
Thu 09:19:39 PM,35.8570,-114.3611, 316,266,306,"13,175"
Thu 09:20:09 PM,35.8840,-114.3899, 319,249,287,"12,750"
Thu 09:20:39 PM,35.9097,-114.4175, 319,242,278,"12,100"
