Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 10:43:44 AM    Departure (PHX) @ Thursday 07:43:44 AM MST,,,FlightAware ADS-B (KPHX)
Thu 10:43:44 AM,33.4311,-111.9978, 89,169,194,"1,425"
Thu 10:44:00 AM,33.4314,-111.9832, 87,165,190,"2,175"
Thu 10:44:16 AM,33.4324,-111.9677, 85,175,201,"2,850"
Thu 10:44:32 AM,33.4334,-111.9515, 86,193,222,"3,275"
Thu 10:44:48 AM,33.4343,-111.9337, 87,216,249,"3,625"
Thu 10:45:09 AM,33.4356,-111.9052, 87,249,287,"4,125"
Thu 10:45:26 AM,33.4386,-111.8807, 74,259,298,"5,000"
Thu 10:45:42 AM,33.4477,-111.8624, 49,263,303,"5,825"
Thu 10:46:00 AM,33.4689,-111.8497, 11,275,316,"6,750"
Thu 10:46:18 AM,33.4920,-111.8477, 3,287,330,"7,550"
Thu 10:46:48 AM,33.5304,-111.8454, 3,287,330,"9,200"
Thu 10:47:33 AM,33.5928,-111.8409, 4,316,364,"11,000"
Thu 10:48:03 AM,33.6403,-111.8378, 2,347,399,"11,750"
Thu 10:48:34 AM,33.6910,-111.8446, 352,369,425,"12,700"
Thu 10:48:50 AM,33.7195,-111.8534, 335,369,425,"13,475"
Thu 10:49:10 AM,33.7468,-111.8765, 317,375,432,"14,250"
Thu 10:49:47 AM,33.7856,-111.9362, 307,378,435,"15,850"
Thu 10:50:17 AM,33.8178,-111.9883, 306,380,437,"17,175"
Thu 10:50:47 AM,33.8481,-112.0383, 306,390,449,"18,225"
Thu 10:51:17 AM,33.8801,-112.0913, 306,395,455,"19,350"
Thu 10:51:47 AM,33.9128,-112.1448, 306,395,455,"20,625"
Thu 10:52:17 AM,33.9462,-112.1998, 306,401,461,"21,625"
Thu 10:52:47 AM,33.9788,-112.2533, 306,407,468,"22,550"
Thu 10:53:17 AM,34.0118,-112.3077, 307,410,472,"23,525"
Thu 10:53:45 AM,34.0495,-112.3558, 319,419,482,"24,225"
Thu 10:54:20 AM,34.1011,-112.4075, 320,424,488,"25,200"
Thu 10:54:50 AM,34.1469,-112.4536, 320,429,494,"25,950"
Thu 10:55:20 AM,34.1924,-112.4995, 320,432,497,"26,725"
Thu 10:55:50 AM,34.2403,-112.5477, 320,438,504,"27,300"
Thu 10:56:20 AM,34.2871,-112.5949, 320,452,520,"27,550"
Thu 10:56:50 AM,34.3355,-112.6441, 320,463,533,"27,750"
Thu 10:57:20 AM,34.3836,-112.6927, 320,461,531,"28,000"
Thu 10:57:50 AM,34.4329,-112.7427, 320,463,533,"28,025"
Thu 10:58:20 AM,34.4835,-112.7942, 320,465,535,"28,025"
Thu 10:58:50 AM,34.5327,-112.8444, 320,463,533,"28,025"
Thu 10:59:20 AM,34.5820,-112.8946, 320,463,533,"28,025"
Thu 10:59:50 AM,34.6293,-112.9431, 320,463,533,"28,000"
Thu 11:00:20 AM,34.6798,-112.9948, 320,463,533,"28,025"
Thu 11:00:50 AM,34.7270,-113.0430, 320,463,533,"28,025"
Thu 11:01:20 AM,34.7761,-113.0949, 315,462,532,"28,025"
Thu 11:01:51 AM,34.8201,-113.1537, 313,461,531,"28,025"
Thu 11:02:24 AM,34.8709,-113.2190, 314,461,531,"28,025"
Thu 11:02:55 AM,34.9163,-113.2768, 314,459,528,"28,025"
Thu 11:03:25 AM,34.9600,-113.3324, 314,444,511,"28,025"
Thu 11:03:44 AM,34.9867,-113.3657, 316,421,484,"28,000"
Thu 11:04:02 AM,35.0085,-113.3896, 320,403,464,"28,000"
Thu 11:04:32 AM,35.0528,-113.4341, 320,394,453,"27,950"
Thu 11:05:02 AM,35.0944,-113.4763, 320,392,451,"27,275"
Thu 11:05:33 AM,35.1396,-113.5219, 321,387,445,"26,500"
Thu 11:06:03 AM,35.1792,-113.5619, 320,386,444,"26,025"
Thu 11:06:33 AM,35.2195,-113.6026, 320,380,437,"25,525"
Thu 11:07:03 AM,35.2601,-113.6437, 320,377,434,"25,075"
Thu 11:07:33 AM,35.3016,-113.6857, 320,378,435,"24,550"
Thu 11:08:03 AM,35.3423,-113.7270, 320,375,432,"24,025"
Thu 11:08:33 AM,35.3811,-113.7665, 320,374,430,"23,550"
Thu 11:09:03 AM,35.4212,-113.8074, 320,370,426,"23,025"
Thu 11:09:33 AM,35.4607,-113.8476, 320,367,422,"22,525"
Thu 11:10:03 AM,35.4980,-113.8855, 320,366,421,"21,700"
Thu 11:10:33 AM,35.5379,-113.9264, 320,360,414,"20,900"
Thu 11:11:03 AM,35.5763,-113.9657, 320,357,411,"20,100"
Thu 11:11:33 AM,35.6140,-114.0043, 320,351,404,"19,300"
Thu 11:12:03 AM,35.6511,-114.0424, 320,347,399,"18,500"
Thu 11:12:34 AM,35.6878,-114.0799, 320,347,399,"17,725"
Thu 11:13:05 AM,35.7266,-114.1200, 320,333,383,"16,900"
Thu 11:13:27 AM,35.7523,-114.1470, 317,325,374,"16,325"
Thu 11:13:45 AM,35.7680,-114.1752, 298,320,368,"15,875"
