Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 11:03:00 AM    Left Gate (PHX) @ Thursday 08:03:00 AM MST,,,Airline
,,,
Taxi Time: 17 minutes,,,
Thu 11:20:36 AM    Departure (PHX) @ Thursday 08:20:36 AM MST,,,FlightAware ADS-B (KPHX)
Thu 11:20:36 AM,33.4310,-111.9959, 90,169,194,"1,475"
Thu 11:20:52 AM,33.4313,-111.9823, 88,166,191,"2,150"
Thu 11:21:08 AM,33.4319,-111.9671, 87,180,207,"2,625"
Thu 11:21:24 AM,33.4329,-111.9505, 86,200,230,"2,925"
Thu 11:21:40 AM,33.4338,-111.9306, 87,223,257,"3,250"
Thu 11:22:00 AM,33.4350,-111.9062, 87,219,252,"4,250"
Thu 11:22:16 AM,33.4360,-111.8877, 83,217,250,"5,075"
Thu 11:22:33 AM,33.4420,-111.8669, 63,236,272,"5,600"
Thu 11:22:49 AM,33.4536,-111.8516, 39,262,302,"5,875"
Thu 11:23:05 AM,33.4733,-111.8421, 11,287,330,"6,225"
Thu 11:23:29 AM,33.5078,-111.8404, 3,294,338,"7,325"
Thu 11:23:59 AM,33.5468,-111.8389, 0,302,348,"8,050"
Thu 11:24:21 AM,33.5796,-111.8392, 360,301,346,"8,050"
Thu 11:24:50 AM,33.6173,-111.8387, 2,299,344,"8,050"
Thu 11:25:09 AM,33.6468,-111.8378, 0,298,343,"8,050"
Thu 11:25:26 AM,33.6690,-111.8400, 352,297,342,"8,075"
Thu 11:25:53 AM,33.7047,-111.8460, 350,301,346,"8,925"
Thu 11:26:10 AM,33.7266,-111.8545, 332,297,342,"9,700"
Thu 11:26:26 AM,33.7449,-111.8709, 315,297,342,"10,475"
Thu 11:26:43 AM,33.7600,-111.8939, 306,314,361,"10,800"
Thu 11:27:13 AM,33.7874,-111.9386, 306,354,407,"11,375"
Thu 11:27:43 AM,33.8160,-111.9854, 306,369,425,"12,475"
Thu 11:28:13 AM,33.8473,-112.0367, 306,380,437,"13,800"
Thu 11:28:43 AM,33.8810,-112.0922, 306,390,449,"15,275"
Thu 11:29:13 AM,33.9109,-112.1413, 306,392,451,"16,750"
Thu 11:29:43 AM,33.9455,-112.1985, 306,396,456,"18,325"
Thu 11:30:13 AM,33.9766,-112.2501, 306,404,465,"19,550"
Thu 11:30:43 AM,34.0098,-112.3049, 307,415,478,"20,625"
Thu 11:31:05 AM,34.0392,-112.3446, 316,428,493,"21,425"
Thu 11:31:22 AM,34.0650,-112.3718, 320,433,498,"22,100"
Thu 11:31:52 AM,34.1086,-112.4157, 320,437,503,"23,200"
Thu 11:32:22 AM,34.1569,-112.4645, 320,437,503,"24,475"
Thu 11:32:52 AM,34.2026,-112.5105, 320,441,507,"25,425"
Thu 11:33:22 AM,34.2492,-112.5577, 320,444,511,"26,375"
Thu 11:33:52 AM,34.2974,-112.6063, 320,440,506,"27,600"
Thu 11:34:23 AM,34.3460,-112.6555, 320,442,509,"28,000"
Thu 11:34:53 AM,34.3931,-112.7032, 320,442,509,"28,000"
Thu 11:35:27 AM,34.4456,-112.7564, 320,439,505,"28,000"
Thu 11:36:02 AM,34.4999,-112.8117, 320,439,505,"28,000"
Thu 11:36:33 AM,34.5494,-112.8623, 320,440,506,"28,000"
Thu 11:37:04 AM,34.5991,-112.9131, 320,441,507,"28,000"
Thu 11:37:39 AM,34.6534,-112.9684, 320,441,507,"28,000"
Thu 11:38:10 AM,34.6997,-113.0159, 320,442,509,"28,000"
Thu 11:38:39 AM,34.7473,-113.0650, 318,441,507,"28,000"
Thu 11:38:56 AM,34.7700,-113.0922, 314,437,503,"28,000"
Thu 11:39:26 AM,34.8131,-113.1467, 314,438,504,"28,000"
Thu 11:39:56 AM,34.8544,-113.1992, 314,439,505,"28,000"
Thu 11:40:26 AM,34.8961,-113.2522, 314,440,506,"28,000"
Thu 11:40:56 AM,34.9389,-113.3065, 314,440,506,"28,000"
Thu 11:41:26 AM,34.9811,-113.3602, 314,441,507,"28,000"
Thu 11:41:48 AM,35.0139,-113.3958, 321,447,514,"28,000"
Thu 11:42:18 AM,35.0618,-113.4440, 320,447,514,"28,000"
Thu 11:42:48 AM,35.1122,-113.4948, 321,446,513,"27,250"
Thu 11:43:18 AM,35.1578,-113.5408, 320,448,516,"26,325"
Thu 11:43:49 AM,35.2087,-113.5922, 320,448,516,"25,975"
Thu 11:44:21 AM,35.2577,-113.6416, 320,445,512,"26,000"
Thu 11:44:51 AM,35.3041,-113.6886, 320,444,511,"26,000"
Thu 11:45:21 AM,35.3525,-113.7379, 320,442,509,"25,750"
Thu 11:45:51 AM,35.4004,-113.7865, 320,433,498,"24,625"
Thu 11:46:21 AM,35.4476,-113.8345, 320,428,493,"23,325"
Thu 11:46:51 AM,35.4918,-113.8796, 320,422,486,"22,125"
Thu 11:47:21 AM,35.5359,-113.9245, 320,416,479,"20,950"
Thu 11:47:53 AM,35.5831,-113.9728, 320,411,473,"19,650"
Thu 11:48:23 AM,35.6270,-114.0178, 320,405,466,"18,550"
Thu 11:48:53 AM,35.6684,-114.0605, 320,399,459,"17,500"
Thu 11:49:23 AM,35.7105,-114.1038, 320,380,437,"17,325"
Thu 11:49:47 AM,35.7431,-114.1373, 318,358,412,"17,075"
Thu 11:50:08 AM,35.7645,-114.1680, 304,333,383,"16,750"
Thu 11:50:38 AM,35.7868,-114.2169, 298,322,371,"16,000"
Thu 11:51:08 AM,35.8073,-114.2631, 298,314,361,"15,250"
Thu 11:51:38 AM,35.8273,-114.3086, 298,306,352,"14,525"
Thu 11:51:54 AM,35.8389,-114.3337, 302,306,352,"14,150"
Thu 11:52:24 AM,35.8640,-114.3750, 307,306,352,"13,400"
Thu 11:52:54 AM,35.8907,-114.4176, 308,297,342,"12,800"
Thu 11:53:25 AM,35.9157,-114.4572, 307,275,316,"12,525"
Thu 11:53:55 AM,35.9384,-114.4938, 308,269,310,"11,950"
Thu 11:54:25 AM,35.9593,-114.5275, 307,256,295,"11,575"
Thu 11:54:55 AM,35.9812,-114.5636, 307,246,283,"11,050"
Thu 11:55:14 AM,35.9936,-114.5836, 307,246,283,"10,700"
Thu 11:55:45 AM,36.0152,-114.6187, 308,247,284,"10,050"
Thu 11:56:15 AM,36.0359,-114.6527, 306,248,285,"9,550"
Thu 11:56:36 AM,36.0481,-114.6772, 301,248,285,"9,175"
Thu 11:57:06 AM,36.0662,-114.7140, 300,245,282,"8,625"
Thu 11:57:27 AM,36.0729,-114.7409, 276,229,264,"8,250"
Thu 11:57:49 AM,36.0736,-114.7691, 270,230,265,"7,850"
Thu 11:58:19 AM,36.0733,-114.8095, 270,233,268,"7,250"
Thu 11:58:49 AM,36.0736,-114.8497, 272,234,269,"6,550"
Thu 11:59:19 AM,36.0737,-114.8874, 269,213,245,"5,950"
Thu 11:59:49 AM,36.0736,-114.9234, 271,206,237,"5,375"
Thu 12:00:15 PM,36.0736,-114.9533, 271,201,231,"4,900"
Thu 12:00:45 PM,36.0737,-114.9862, 269,191,220,"4,350"
Thu 12:01:07 PM,36.0737,-115.0108, 270,181,208,"3,975"
Thu 12:01:37 PM,36.0737,-115.0395, 270,161,185,"3,525"
Thu 12:02:03 PM,36.0737,-115.0637, 270,155,178,"3,150"
Thu 12:02:19 PM,36.0737,-115.0769, 270,155,178,"2,975"
Thu 12:02:35 PM,36.0737,-115.0921, 269,155,178,"2,725"
Thu 12:02:51 PM,36.0737,-115.1057, 270,157,181,"2,500"
Thu 12:03:07 PM,36.0737,-115.1198, 270,154,177,"2,300"
Thu 12:03:23 PM,36.0737,-115.1335, 270,153,176,"2,150"
,,,
Thu 12:03:55 PM    Arrival (LAS) @ Thursday 09:03:55 AM PDT,,,FlightAware
,,,
Taxi Time: 5 minutes,,,
Thu 12:09:00 PM    Gate Arrival (LAS) @ Thursday 09:09:00 AM PDT,,,Airline
