Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 12:36:00 PM    Departure (PHX) @ Thursday 09:36:00 AM MST,,,Albuquerque Center
,,,
Thu 12:37:02 PM,33.4310,-111.9913, 89,162,186,"1,900"
Thu 12:37:18 PM,33.4315,-111.9775, 86,164,189,"2,525"
Thu 12:37:34 PM,33.4326,-111.9620, 86,182,209,"2,925"
Thu 12:37:50 PM,33.4333,-111.9457, 87,199,229,"3,250"
Thu 12:38:06 PM,33.4341,-111.9261, 88,214,246,"3,750"
Thu 12:38:23 PM,33.4347,-111.9060, 87,223,257,"4,375"
Thu 12:38:41 PM,33.4366,-111.8824, 79,246,283,"4,800"
Thu 12:38:57 PM,33.4457,-111.8638, 45,265,305,"5,150"
Thu 12:39:14 PM,33.4670,-111.8524, 8,271,312,"5,925"
Thu 12:39:35 PM,33.4928,-111.8500, 5,273,314,"6,900"
Thu 12:40:05 PM,33.5298,-111.8464, 4,280,322,"8,225"
Thu 12:40:35 PM,33.5700,-111.8432, 4,285,328,"9,575"
Thu 12:40:51 PM,33.5916,-111.8443, 348,286,329,"10,250"
Thu 12:41:07 PM,33.6086,-111.8549, 324,295,339,"10,725"
Thu 12:41:47 PM,33.6529,-111.9064, 317,341,392,"11,400"
Thu 12:42:17 PM,33.6878,-111.9457, 317,352,405,"12,450"
Thu 12:42:47 PM,33.7223,-111.9847, 316,342,394,"14,125"
Thu 12:43:17 PM,33.7570,-112.0246, 316,337,388,"15,875"
Thu 12:43:47 PM,33.7907,-112.0632, 316,343,395,"17,100"
Thu 12:44:17 PM,33.8250,-112.1023, 316,347,399,"18,325"
Thu 12:44:47 PM,33.8601,-112.1423, 316,354,407,"19,450"
Thu 12:45:17 PM,33.8970,-112.1845, 316,362,417,"20,525"
Thu 12:45:47 PM,33.9338,-112.2267, 316,364,419,"21,675"
Thu 12:46:17 PM,33.9709,-112.2692, 316,366,421,"22,850"
Thu 12:46:47 PM,34.0068,-112.3105, 316,369,425,"23,900"
Thu 12:47:03 PM,34.0265,-112.3331, 318,372,428,"24,400"
Thu 12:47:37 PM,34.0708,-112.3779, 320,383,441,"25,350"
Thu 12:48:07 PM,34.1125,-112.4198, 320,391,450,"26,025"
Thu 12:48:37 PM,34.1572,-112.4651, 320,411,473,"26,000"
Thu 12:49:07 PM,34.2005,-112.5085, 320,418,481,"26,000"
Thu 12:49:37 PM,34.2452,-112.5534, 320,419,482,"26,000"
Thu 12:50:07 PM,34.2881,-112.5966, 320,419,482,"26,000"
Thu 12:50:37 PM,34.3348,-112.6437, 320,420,483,"26,000"
Thu 12:51:08 PM,34.3818,-112.6916, 320,424,488,"26,000"
Thu 12:51:38 PM,34.4271,-112.7376, 320,427,491,"26,000"
Thu 12:52:08 PM,34.4714,-112.7826, 320,427,491,"26,000"
Thu 12:52:38 PM,34.5163,-112.8284, 320,427,491,"26,000"
Thu 12:53:09 PM,34.5627,-112.8757, 320,427,491,"26,000"
Thu 12:53:39 PM,34.6088,-112.9227, 320,428,493,"26,000"
Thu 12:54:09 PM,34.6529,-112.9679, 320,427,491,"26,000"
Thu 12:54:39 PM,34.6989,-113.0147, 320,426,490,"26,000"
Thu 12:55:09 PM,34.7454,-113.0625, 318,423,487,"26,000"
Thu 12:55:42 PM,34.7880,-113.1148, 314,419,482,"26,000"
Thu 12:56:15 PM,34.8335,-113.1722, 314,422,486,"26,000"
Thu 12:56:49 PM,34.8801,-113.2315, 314,424,488,"26,000"
Thu 12:57:20 PM,34.9220,-113.2849, 314,425,489,"26,000"
Thu 12:57:50 PM,34.9637,-113.3379, 314,427,491,"26,000"
Thu 12:58:18 PM,35.0022,-113.3838, 319,431,496,"26,000"
Thu 12:58:48 PM,35.0479,-113.4300, 320,434,499,"26,000"
Thu 12:59:18 PM,35.0944,-113.4767, 320,434,499,"26,000"
Thu 12:59:48 PM,35.1402,-113.5229, 320,434,499,"26,000"
Thu 01:00:18 PM,35.1872,-113.5705, 320,435,501,"26,000"
Thu 01:00:48 PM,35.2334,-113.6173, 320,435,501,"26,000"
