Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 12:41:37 PM    Departure (PHX) @ Thursday 09:41:37 AM MST,,,FlightAware ADS-B (KPHX)
Thu 12:41:37 PM,33.4311,-112.0033, 90,165,190,"1,150"
Thu 12:41:53 PM,33.4313,-111.9883, 88,169,194,"1,775"
Thu 12:42:09 PM,33.4318,-111.9737, 87,171,197,"2,375"
Thu 12:42:25 PM,33.4327,-111.9575, 86,190,219,"2,750"
Thu 12:42:41 PM,33.4336,-111.9399, 86,212,244,"3,075"
Thu 12:43:03 PM,33.4351,-111.9125, 87,221,254,"3,950"
Thu 12:43:27 PM,33.4364,-111.8844, 81,229,264,"4,950"
Thu 12:43:44 PM,33.4448,-111.8617, 52,255,293,"5,300"
Thu 12:44:01 PM,33.4618,-111.8466, 22,270,311,"5,875"
Thu 12:44:17 PM,33.4819,-111.8438, 353,280,322,"6,700"
Thu 12:44:33 PM,33.5005,-111.8509, 333,292,336,"7,350"
Thu 12:44:57 PM,33.5281,-111.8739, 323,294,338,"8,500"
Thu 12:45:27 PM,33.5589,-111.9019, 322,300,345,"9,725"
Thu 12:45:57 PM,33.5948,-111.9350, 322,321,369,"10,625"
Thu 12:46:27 PM,33.6320,-111.9694, 323,348,400,"11,250"
Thu 12:46:57 PM,33.6692,-112.0035, 323,355,409,"12,400"
Thu 12:47:27 PM,33.7104,-112.0414, 322,365,420,"13,500"
Thu 12:47:57 PM,33.7502,-112.0780, 322,370,426,"14,725"
Thu 12:48:27 PM,33.7910,-112.1156, 322,374,430,"16,025"
Thu 12:48:57 PM,33.8329,-112.1542, 322,380,437,"17,150"
Thu 12:49:27 PM,33.8734,-112.1917, 322,389,448,"18,150"
Thu 12:49:57 PM,33.9176,-112.2325, 322,395,455,"19,200"
Thu 12:50:27 PM,33.9616,-112.2732, 322,396,456,"20,350"
Thu 12:50:57 PM,34.0049,-112.3134, 322,397,457,"21,475"
Thu 12:51:27 PM,34.0482,-112.3551, 320,402,463,"22,450"
Thu 12:51:57 PM,34.0907,-112.3978, 320,409,471,"23,250"
Thu 12:52:27 PM,34.1346,-112.4419, 320,414,476,"24,100"
Thu 12:52:57 PM,34.1791,-112.4868, 320,420,483,"24,900"
Thu 12:53:27 PM,34.2260,-112.5343, 320,424,488,"25,700"
Thu 12:53:57 PM,34.2704,-112.5790, 320,429,494,"26,425"
Thu 12:54:27 PM,34.3164,-112.6255, 320,432,497,"27,150"
Thu 12:54:57 PM,34.3622,-112.6718, 320,435,501,"27,850"
Thu 12:55:27 PM,34.4081,-112.7185, 320,437,503,"28,000"
