Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 01:22:28 AM    Departure (PHX) @ Thursday 11:22:28 PM MST,,,FlightAware ADS-B (KPHX)
Fri 01:22:28 AM,33.4312,-111.9971, 88,142,163,"1,825"
Fri 01:22:44 AM,33.4318,-111.9851, 86,145,167,"2,425"
Fri 01:23:00 AM,33.4323,-111.9710, 88,165,190,"2,800"
Fri 01:23:16 AM,33.4327,-111.9542, 88,189,217,"3,325"
Fri 01:23:32 AM,33.4334,-111.9367, 87,212,244,"3,825"
Fri 01:23:57 AM,33.4350,-111.9048, 87,251,289,"4,725"
Fri 01:24:18 AM,33.4367,-111.8742, 83,273,314,"5,700"
Fri 01:24:35 AM,33.4443,-111.8489, 57,280,322,"6,750"
Fri 01:24:55 AM,33.4641,-111.8279, 27,283,326,"7,875"
Fri 01:25:13 AM,33.4870,-111.8231, 356,280,322,"8,975"
Fri 01:25:31 AM,33.5082,-111.8331, 325,278,320,"10,125"
Fri 01:25:48 AM,33.5221,-111.8523, 299,296,341,"10,725"
Fri 01:26:11 AM,33.5312,-111.8917, 284,331,381,"11,225"
Fri 01:26:28 AM,33.5435,-111.9195, 309,356,410,"11,475"
Fri 01:26:49 AM,33.5702,-111.9452, 326,353,406,"12,775"
Fri 01:27:19 AM,33.6103,-111.9769, 326,368,423,"14,175"
Fri 01:27:49 AM,33.6547,-112.0132, 325,402,463,"14,675"
Fri 01:28:19 AM,33.7016,-112.0532, 324,408,470,"15,950"
Fri 01:28:49 AM,33.7493,-112.0943, 324,409,471,"17,425"
Fri 01:29:19 AM,33.7924,-112.1313, 324,414,476,"18,600"
Fri 01:29:49 AM,33.8419,-112.1739, 324,424,488,"19,650"
Fri 01:30:19 AM,33.8895,-112.2148, 325,428,493,"20,700"
Fri 01:30:49 AM,33.9371,-112.2559, 325,433,498,"21,675"
Fri 01:31:19 AM,33.9884,-112.3002, 324,439,505,"22,725"
Fri 01:31:43 AM,34.0278,-112.3344, 323,445,512,"23,375"
Fri 01:32:21 AM,34.0879,-112.3944, 320,454,522,"24,250"
Fri 01:32:51 AM,34.1359,-112.4427, 320,459,528,"25,025"
Fri 01:33:22 AM,34.1899,-112.4972, 320,463,533,"25,825"
Fri 01:33:52 AM,34.2381,-112.5458, 320,449,517,"27,275"
Fri 01:34:22 AM,34.2847,-112.5929, 320,441,507,"27,975"
Fri 01:34:52 AM,34.3330,-112.6417, 320,440,506,"28,000"
Fri 01:35:22 AM,34.3783,-112.6877, 320,442,509,"28,000"
Fri 01:35:52 AM,34.4262,-112.7364, 320,443,510,"28,000"
Fri 01:36:22 AM,34.4731,-112.7838, 320,444,511,"28,000"
Fri 01:36:52 AM,34.5204,-112.8318, 320,443,510,"28,000"
Fri 01:37:22 AM,34.5661,-112.8784, 320,444,511,"28,000"
Fri 01:37:52 AM,34.6123,-112.9256, 320,443,510,"28,000"
Fri 01:38:22 AM,34.6605,-112.9749, 320,443,510,"27,975"
Fri 01:38:52 AM,34.7063,-113.0220, 320,444,511,"27,975"
Fri 01:39:22 AM,34.7546,-113.0715, 320,446,513,"28,000"
Fri 01:39:43 AM,34.7854,-113.1056, 315,446,513,"28,000"
Fri 01:40:14 AM,34.8297,-113.1642, 312,446,513,"28,025"
Fri 01:40:47 AM,34.8770,-113.2269, 313,446,513,"28,025"
Fri 01:41:17 AM,34.9192,-113.2809, 314,445,512,"28,025"
Fri 01:41:47 AM,34.9609,-113.3338, 314,442,509,"28,025"
Fri 01:42:17 AM,35.0059,-113.3879, 320,442,509,"28,025"
Fri 01:42:47 AM,35.0516,-113.4334, 321,443,510,"27,975"
Fri 01:43:17 AM,35.0994,-113.4814, 320,447,514,"27,950"
Fri 01:43:47 AM,35.1483,-113.5307, 320,457,526,"27,675"
Fri 01:44:17 AM,35.1968,-113.5797, 320,455,524,"27,175"
Fri 01:44:47 AM,35.2462,-113.6297, 320,451,519,"26,700"
Fri 01:45:18 AM,35.2961,-113.6803, 320,454,522,"25,975"
Fri 01:45:48 AM,35.3411,-113.7260, 320,450,518,"25,075"
Fri 01:46:18 AM,35.3917,-113.7773, 320,444,511,"24,000"
Fri 01:46:48 AM,35.4367,-113.8232, 320,422,486,"23,025"
Fri 01:47:18 AM,35.4806,-113.8679, 320,403,464,"22,075"
Fri 01:47:49 AM,35.5236,-113.9119, 320,383,441,"21,150"
Fri 01:48:19 AM,35.5649,-113.9542, 320,368,423,"20,275"
Fri 01:48:49 AM,35.6027,-113.9930, 320,354,407,"19,450"
Fri 01:49:19 AM,35.6397,-114.0309, 320,342,394,"18,675"
Fri 01:49:49 AM,35.6759,-114.0679, 320,330,380,"17,875"
Fri 01:50:20 AM,35.7123,-114.1055, 320,318,366,"17,100"
Fri 01:50:50 AM,35.7456,-114.1398, 320,309,356,"16,375"
Fri 01:51:07 AM,35.7616,-114.1601, 305,307,353,"16,000"
Fri 01:51:49 AM,35.7901,-114.2240, 298,306,352,"15,025"
Fri 01:52:20 AM,35.8108,-114.2715, 298,301,346,"14,300"
Fri 01:52:50 AM,35.8303,-114.3157, 299,293,337,"13,675"
Fri 01:53:08 AM,35.8434,-114.3426, 306,293,337,"13,225"
Fri 01:53:38 AM,35.8683,-114.3819, 308,292,336,"12,575"
Fri 01:54:08 AM,35.8925,-114.4206, 308,287,330,"11,900"
Fri 01:54:38 AM,35.9166,-114.4590, 308,288,331,"11,275"
Fri 01:54:58 AM,35.9305,-114.4870, 292,286,329,"10,875"
Fri 01:55:32 AM,35.9460,-114.5380, 291,285,328,"10,225"
Fri 01:56:02 AM,35.9596,-114.5820, 291,277,319,"9,550"
Fri 01:56:32 AM,35.9737,-114.6271, 291,279,321,"9,275"
Fri 01:56:58 AM,35.9859,-114.6662, 291,275,316,"9,025"
Fri 01:57:23 AM,35.9960,-114.6991, 291,265,305,"8,725"
Fri 01:57:48 AM,36.0071,-114.7354, 292,251,289,"8,300"
Fri 01:58:18 AM,36.0191,-114.7747, 290,235,270,"7,675"
Fri 01:58:48 AM,36.0302,-114.8107, 291,227,261,"7,025"
Fri 01:59:13 AM,36.0398,-114.8415, 292,227,261,"6,400"
Fri 01:59:38 AM,36.0491,-114.8718, 290,216,249,"5,800"
Fri 02:00:08 AM,36.0590,-114.9053, 290,189,217,"5,300"
Fri 02:00:38 AM,36.0681,-114.9346, 291,180,207,"5,000"
Fri 02:00:56 AM,36.0724,-114.9518, 282,186,214,"4,825"
Fri 02:01:19 AM,36.0734,-114.9762, 271,186,214,"4,425"
Fri 02:01:45 AM,36.0737,-115.0025, 270,183,211,"4,000"
Fri 02:02:15 AM,36.0737,-115.0319, 270,160,184,"3,550"
Fri 02:02:45 AM,36.0737,-115.0586, 270,142,163,"3,100"
,,,
Fri 02:02:51 AM,36.0737,-115.0634, 270,142,163,"3,050"
,,,
Fri 02:03:01 AM,36.0737,-115.0718, 270,144,166,"2,900"
Fri 02:03:17 AM,36.0737,-115.0842, 270,144,166,"2,725"
Fri 02:03:33 AM,36.0737,-115.0984, 269,144,166,"2,500"
Fri 02:03:49 AM,36.0737,-115.1116, 270,141,162,"2,275"
Fri 02:04:05 AM,36.0737,-115.1236, 270,140,161,"2,100"
Fri 02:04:23 AM,36.0737,-115.1377, 270,129,148,"2,000"
,,,
Fri 02:04:39 AM    Arrival (LAS) @ Thursday 11:04:39 PM PST,,,FlightAware
,,,
Taxi Time: 9 minutes,,,
Fri 02:14:00 AM    Gate Arrival (LAS) @ Thursday 11:14:00 PM PST,,,Airline
