Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 12:28:23 PM    Departure (PHX) @ Thursday 10:28:23 AM MST,,,FlightAware ADS-B (KPHX)
Thu 12:28:23 PM,33.4314,-112.0286, 271,177,204,"1,875"
Thu 12:28:39 PM,33.4318,-112.0453, 272,184,212,"2,600"
Thu 12:28:55 PM,33.4325,-112.0637, 272,208,239,"3,000"
Thu 12:29:11 PM,33.4329,-112.0825, 272,214,246,"3,800"
Thu 12:29:41 PM,33.4339,-112.1184, 272,227,261,"5,275"
Thu 12:30:08 PM,33.4347,-112.1550, 274,247,284,"6,400"
Thu 12:30:24 PM,33.4396,-112.1746, 299,251,289,"7,250"
Thu 12:30:40 PM,33.4530,-112.1902, 328,259,298,"8,250"
Thu 12:30:56 PM,33.4724,-112.1972, 356,269,310,"9,350"
Thu 12:31:40 PM,33.5279,-112.1952, 3,288,331,"11,850"
Thu 12:32:00 PM,33.5552,-112.1961, 355,298,343,"12,925"
Thu 12:32:27 PM,33.5950,-112.2001, 356,315,362,"14,400"
Thu 12:32:57 PM,33.6382,-112.2035, 356,337,388,"15,700"
Thu 12:33:27 PM,33.6882,-112.2075, 357,359,413,"17,050"
Thu 12:33:47 PM,33.7200,-112.2098, 357,376,433,"17,750"
Thu 12:34:17 PM,33.7741,-112.2140, 356,384,442,"19,200"
Thu 12:34:47 PM,33.8281,-112.2187, 356,390,449,"20,750"
Thu 12:35:03 PM,33.8555,-112.2233, 345,393,452,"21,350"
Thu 12:35:30 PM,33.9013,-112.2485, 330,390,449,"22,700"
Thu 12:36:09 PM,33.9641,-112.2908, 331,402,463,"24,300"
Thu 12:36:36 PM,34.0084,-112.3210, 330,414,476,"25,100"
Thu 12:36:54 PM,34.0386,-112.3456, 323,418,481,"25,575"
Thu 12:37:32 PM,34.0936,-112.4003, 320,430,495,"26,650"
Thu 12:38:02 PM,34.1378,-112.4446, 320,423,487,"27,600"
Thu 12:38:32 PM,34.1836,-112.4908, 320,418,481,"27,950"
Thu 12:39:02 PM,34.2306,-112.5385, 320,418,481,"28,000"
Thu 12:39:32 PM,34.2743,-112.5827, 320,417,480,"28,000"
Thu 12:40:02 PM,34.3177,-112.6266, 320,415,478,"28,000"
Thu 12:40:34 PM,34.3652,-112.6747, 320,415,478,"28,000"
Thu 12:41:05 PM,34.4102,-112.7205, 320,417,480,"28,000"
Thu 12:41:35 PM,34.4538,-112.7648, 320,417,480,"28,000"
Thu 12:42:05 PM,34.4980,-112.8098, 320,418,481,"28,000"
Thu 12:42:35 PM,34.5431,-112.8556, 320,421,484,"28,000"
Thu 12:43:06 PM,34.5887,-112.9023, 320,422,486,"28,000"
Thu 12:43:36 PM,34.6343,-112.9488, 320,422,486,"28,000"
Thu 12:44:06 PM,34.6794,-112.9950, 320,421,484,"28,000"
Thu 12:44:36 PM,34.7238,-113.0405, 320,422,486,"28,000"
Thu 12:44:53 PM,34.7493,-113.0669, 318,421,484,"28,000"
Thu 12:45:30 PM,34.7994,-113.1293, 314,420,483,"28,000"
Thu 12:46:00 PM,34.8389,-113.1793, 314,420,483,"28,000"
Thu 12:46:30 PM,34.8784,-113.2296, 314,421,484,"28,000"
Thu 12:47:01 PM,34.9212,-113.2838, 314,421,484,"28,000"
Thu 12:47:31 PM,34.9616,-113.3351, 314,420,483,"28,000"
Thu 12:47:49 PM,34.9872,-113.3672, 316,419,482,"28,000"
Thu 12:48:19 PM,35.0317,-113.4133, 320,420,483,"28,000"
Thu 12:48:50 PM,35.0788,-113.4610, 320,420,483,"28,000"
Thu 12:49:20 PM,35.1215,-113.5043, 320,420,483,"28,000"
Thu 12:49:51 PM,35.1664,-113.5496, 320,419,482,"28,000"
Thu 12:50:21 PM,35.2135,-113.5970, 320,417,480,"27,900"
Thu 12:50:51 PM,35.2567,-113.6409, 320,406,467,"27,025"
Thu 12:51:21 PM,35.3001,-113.6847, 320,399,459,"26,050"
Thu 12:51:51 PM,35.3414,-113.7267, 320,398,458,"26,000"
Thu 12:52:24 PM,35.3895,-113.7755, 320,401,461,"26,000"
