Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 02:05:00 PM    Left Gate (PHX) @ Thursday 11:05:00 AM MST,,,Airline
,,,
Taxi Time: 20 minutes,,,
Thu 02:25:13 PM    Departure (PHX) @ Thursday 11:25:13 AM MST,,,FlightAware ADS-B (KFFZ)
Thu 02:25:13 PM,33.4311,-111.9895, 90,163,188,"1,900"
Thu 02:25:29 PM,33.4312,-111.9755, 90,171,197,"2,625"
Thu 02:25:45 PM,33.4316,-111.9594, 86,189,217,"3,050"
Thu 02:26:01 PM,33.4327,-111.9421, 86,206,237,"3,425"
Thu 02:26:30 PM,33.4351,-111.9028, 87,256,295,"4,125"
Thu 02:26:50 PM,33.4367,-111.8751, 84,268,308,"5,050"
Thu 02:27:10 PM,33.4462,-111.8484, 51,283,326,"6,150"
Thu 02:27:26 PM,33.4633,-111.8330, 23,295,339,"6,850"
Thu 02:27:42 PM,33.4870,-111.8299, 355,299,344,"7,700"
Thu 02:27:58 PM,33.5061,-111.8365, 334,296,341,"8,525"
Thu 02:28:19 PM,33.5301,-111.8565, 323,298,343,"9,650"
Thu 02:28:49 PM,33.5645,-111.8883, 322,323,372,"10,750"
Thu 02:29:20 PM,33.6041,-111.9261, 321,364,419,"11,275"
Thu 02:29:50 PM,33.6451,-111.9652, 321,380,437,"12,300"
Thu 02:30:21 PM,33.6857,-112.0041, 321,389,448,"13,475"
Thu 02:30:51 PM,33.7302,-112.0467, 321,390,449,"14,975"
Thu 02:31:21 PM,33.7727,-112.0875, 321,393,452,"16,225"
Thu 02:31:51 PM,33.8141,-112.1276, 321,406,467,"17,050"
Thu 02:32:21 PM,33.8601,-112.1720, 321,411,473,"18,175"
Thu 02:32:51 PM,33.9040,-112.2144, 321,416,479,"19,200"
Thu 02:33:21 PM,33.9489,-112.2577, 321,425,489,"20,025"
Thu 02:33:51 PM,33.9955,-112.3028, 321,433,498,"20,850"
Thu 02:34:21 PM,34.0442,-112.3500, 321,432,497,"21,975"
Thu 02:34:51 PM,34.0899,-112.3957, 320,434,499,"22,800"
Thu 02:35:21 PM,34.1369,-112.4434, 320,438,504,"23,600"
