Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 03:06:07 PM    Departure (PHX) @ Thursday 12:06:07 PM MST,,,FlightAware ADS-B (KPHX)
Thu 03:06:07 PM,33.4312,-111.9912, 89,173,199,"1,600"
Thu 03:06:23 PM,33.4314,-111.9770, 89,166,191,"2,375"
Thu 03:06:39 PM,33.4317,-111.9618, 88,169,194,"2,875"
Thu 03:06:55 PM,33.4325,-111.9449, 86,181,208,"3,300"
Thu 03:07:11 PM,33.4334,-111.9295, 85,196,226,"3,575"
Thu 03:07:31 PM,33.4350,-111.9066, 86,222,255,"3,900"
Thu 03:07:55 PM,33.4368,-111.8756, 83,253,291,"4,475"
Thu 03:08:13 PM,33.4447,-111.8506, 59,270,311,"5,125"
Thu 03:08:32 PM,33.4647,-111.8317, 26,282,325,"6,025"
Thu 03:08:49 PM,33.4856,-111.8281, 358,288,331,"6,850"
Thu 03:09:10 PM,33.5128,-111.8304, 356,285,328,"8,025"
Thu 03:09:29 PM,33.5371,-111.8388, 330,294,338,"8,775"
Thu 03:09:54 PM,33.5633,-111.8646, 319,299,344,"9,975"
Thu 03:10:24 PM,33.5961,-111.8988, 319,322,371,"10,825"
Thu 03:10:54 PM,33.6328,-111.9359, 320,352,405,"11,400"
Thu 03:11:24 PM,33.6721,-111.9752, 320,369,425,"12,425"
Thu 03:11:54 PM,33.7116,-112.0149, 320,375,432,"13,600"
Thu 03:12:24 PM,33.7530,-112.0565, 320,375,432,"15,025"
Thu 03:12:55 PM,33.7936,-112.0974, 320,385,443,"16,050"
Thu 03:13:33 PM,33.8453,-112.1495, 320,389,448,"17,550"
Thu 03:14:03 PM,33.8864,-112.1910, 320,400,460,"18,350"
Thu 03:14:33 PM,33.9286,-112.2335, 320,401,461,"19,500"
Thu 03:15:15 PM,33.9879,-112.2937, 320,378,435,"21,950"
Thu 03:15:45 PM,34.0271,-112.3336, 320,379,436,"23,050"
Thu 03:16:15 PM,34.0692,-112.3761, 320,383,441,"24,075"
Thu 03:16:45 PM,34.1105,-112.4177, 320,389,448,"24,975"
Thu 03:17:15 PM,34.1514,-112.4587, 320,393,452,"25,850"
Thu 03:17:45 PM,34.1946,-112.5022, 320,398,458,"26,700"
Thu 03:18:15 PM,34.2345,-112.5425, 320,400,460,"27,550"
Thu 03:18:45 PM,34.2786,-112.5870, 320,402,463,"27,975"
Thu 03:19:15 PM,34.3226,-112.6314, 320,401,461,"28,000"
Thu 03:19:45 PM,34.3632,-112.6726, 320,402,463,"28,000"
Thu 03:20:15 PM,34.4084,-112.7184, 320,402,463,"28,000"
Thu 03:20:45 PM,34.4480,-112.7587, 320,404,465,"28,000"
Thu 03:21:15 PM,34.4926,-112.8041, 320,404,465,"28,000"
Thu 03:21:45 PM,34.5341,-112.8463, 320,405,466,"28,000"
Thu 03:22:15 PM,34.5769,-112.8899, 320,404,465,"28,000"
Thu 03:22:45 PM,34.6207,-112.9346, 320,402,463,"28,000"
Thu 03:23:15 PM,34.6633,-112.9783, 320,403,464,"28,000"
Thu 03:23:45 PM,34.7069,-113.0230, 320,404,465,"28,000"
Thu 03:24:15 PM,34.7484,-113.0656, 320,402,463,"28,000"
Thu 03:24:59 PM,34.8079,-113.1361, 312,419,482,"28,000"
Thu 03:25:29 PM,34.8486,-113.1905, 313,426,490,"28,000"
Thu 03:26:00 PM,34.8897,-113.2437, 314,425,489,"28,000"
Thu 03:26:30 PM,34.9294,-113.2943, 314,424,488,"28,000"
Thu 03:27:00 PM,34.9708,-113.3469, 314,424,488,"28,000"
Thu 03:27:30 PM,35.0151,-113.3965, 322,426,490,"28,000"
Thu 03:28:00 PM,35.0623,-113.4434, 320,426,490,"28,000"
Thu 03:28:31 PM,35.1062,-113.4881, 320,425,489,"27,700"
Thu 03:29:01 PM,35.1524,-113.5351, 320,427,491,"27,200"
Thu 03:29:31 PM,35.1984,-113.5816, 320,431,496,"26,675"
Thu 03:30:01 PM,35.2467,-113.6306, 320,426,490,"26,150"
Thu 03:30:31 PM,35.2910,-113.6753, 320,413,475,"25,475"
Thu 03:31:02 PM,35.3353,-113.7203, 320,404,465,"24,375"
Thu 03:31:32 PM,35.3773,-113.7629, 320,398,458,"23,275"
Thu 03:32:02 PM,35.4201,-113.8065, 320,393,452,"22,150"
Thu 03:32:32 PM,35.4607,-113.8479, 320,386,444,"21,100"
Thu 03:33:02 PM,35.5032,-113.8912, 320,381,438,"19,975"
Thu 03:33:32 PM,35.5421,-113.9310, 320,376,433,"18,950"
Thu 03:34:02 PM,35.5830,-113.9729, 320,371,427,"17,900"
Thu 03:34:33 PM,35.6232,-114.0140, 320,368,423,"16,775"
Thu 03:35:03 PM,35.6626,-114.0546, 320,362,417,"15,775"
Thu 03:35:33 PM,35.7004,-114.0934, 320,353,406,"14,975"
Thu 03:36:03 PM,35.7366,-114.1307, 320,333,383,"14,575"
Thu 03:36:19 PM,35.7545,-114.1500, 314,320,368,"14,375"
Thu 03:36:41 PM,35.7717,-114.1827, 298,318,366,"13,875"
Thu 03:37:11 PM,35.7922,-114.2304, 298,313,360,"13,100"
Thu 03:37:41 PM,35.8128,-114.2776, 299,298,343,"12,300"
Thu 03:38:11 PM,35.8319,-114.3204, 299,286,329,"11,550"
Thu 03:38:31 PM,35.8455,-114.3465, 308,277,319,"11,100"
Thu 03:39:01 PM,35.8685,-114.3822, 308,276,318,"10,425"
Thu 03:39:22 PM,35.8861,-114.4100, 308,272,313,"9,975"
Thu 03:39:38 PM,35.8973,-114.4279, 307,260,299,"9,925"
Thu 03:40:08 PM,35.9186,-114.4622, 307,253,291,"9,925"
Thu 03:40:38 PM,35.9404,-114.4976, 307,253,291,"9,925"
Thu 03:41:08 PM,35.9624,-114.5330, 307,255,293,"9,800"
Thu 03:41:38 PM,35.9831,-114.5666, 307,254,292,"9,300"
Thu 03:42:08 PM,36.0045,-114.6014, 307,255,293,"8,800"
Thu 03:42:38 PM,36.0253,-114.6351, 307,253,291,"8,275"
Thu 03:42:56 PM,36.0389,-114.6579, 304,252,290,"7,975"
Thu 03:43:25 PM,36.0554,-114.6913, 301,250,288,"7,925"
Thu 03:43:46 PM,36.0685,-114.7200, 293,249,287,"7,925"
Thu 03:44:03 PM,36.0725,-114.7417, 277,253,291,"7,750"
Thu 03:44:21 PM,36.0733,-114.7679, 271,249,287,"7,375"
Thu 03:44:51 PM,36.0735,-114.8085, 270,243,280,"6,800"
Thu 03:45:21 PM,36.0735,-114.8496, 270,240,276,"6,225"
Thu 03:45:51 PM,36.0736,-114.8912, 270,228,262,"5,650"
Thu 03:46:21 PM,36.0736,-114.9292, 270,206,237,"5,100"
Thu 03:46:51 PM,36.0737,-114.9642, 270,203,234,"4,500"
Thu 03:47:21 PM,36.0737,-114.9972, 270,194,223,"4,000"
Thu 03:47:51 PM,36.0737,-115.0298, 269,178,205,"3,500"
Thu 03:48:17 PM,36.0737,-115.0554, 270,160,184,"3,100"
,,,
Thu 03:48:27 PM,36.0737,-115.0633, 270,154,177,"2,975"
,,,
Thu 03:48:33 PM,36.0737,-115.0689, 270,154,177,"2,875"
Thu 03:48:49 PM,36.0737,-115.0825, 270,149,171,"2,700"
Thu 03:49:05 PM,36.0737,-115.0959, 270,153,176,"2,500"
Thu 03:49:21 PM,36.0737,-115.1088, 270,151,174,"2,300"
Thu 03:49:37 PM,36.0737,-115.1236, 270,154,177,"2,075"
Thu 03:49:53 PM,36.0737,-115.1382, 270,147,169,"2,025"
,,,
Thu 03:50:25 PM    Arrival (LAS) @ Thursday 12:50:25 PM PDT,,,FlightAware
,,,
Taxi Time: 10 minutes,,,
Thu 04:01:00 PM    Gate Arrival (LAS) @ Thursday 01:01:00 PM PDT,,,Airline
