Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 02:25:56 PM    Departure (PHX) @ Thursday 12:25:56 PM MST,,,FlightAware ADS-B (KGEU)
Thu 02:25:56 PM,33.4309,-112.0303, 268,179,206,"1,650"
Thu 02:26:12 PM,33.4325,-112.0443, 288,175,201,"2,350"
Thu 02:26:28 PM,33.4383,-112.0589, 298,191,220,"2,675"
Thu 02:26:44 PM,33.4460,-112.0753, 300,205,236,"3,025"
Thu 02:27:00 PM,33.4535,-112.0909, 301,223,257,"3,250"
Thu 02:27:19 PM,33.4639,-112.1119, 301,246,283,"3,575"
Thu 02:27:49 PM,33.4816,-112.1467, 301,252,290,"4,750"
Thu 02:28:09 PM,33.4939,-112.1715, 301,254,292,"5,550"
Thu 02:28:39 PM,33.5122,-112.2083, 301,250,288,"7,075"
Thu 02:29:09 PM,33.5313,-112.2440, 304,257,296,"8,350"
Thu 02:29:39 PM,33.5518,-112.2801, 304,270,311,"9,425"
Thu 02:29:57 PM,33.5657,-112.2987, 317,279,321,"10,125"
Thu 02:30:27 PM,33.5956,-112.3314, 316,308,354,"10,925"
Thu 02:30:46 PM,33.6171,-112.3538, 325,330,380,"11,300"
Thu 02:31:05 PM,33.6436,-112.3688, 345,347,399,"11,800"
Thu 02:31:22 PM,33.6707,-112.3734, 356,336,387,"13,025"
Thu 02:32:05 PM,33.7382,-112.3682, 5,346,398,"14,950"
Thu 02:32:35 PM,33.7868,-112.3626, 6,350,403,"16,325"
Thu 02:33:05 PM,33.8363,-112.3559, 6,347,399,"17,925"
Thu 02:33:35 PM,33.8824,-112.3517, 4,361,415,"18,800"
Thu 02:33:56 PM,33.9191,-112.3496, 1,371,427,"19,400"
Thu 02:34:17 PM,33.9540,-112.3554, 342,375,432,"20,075"
Thu 02:34:33 PM,33.9804,-112.3705, 327,376,433,"20,625"
Thu 02:35:18 PM,34.0436,-112.4312, 321,390,449,"22,100"
Thu 02:35:48 PM,34.0839,-112.4705, 321,398,458,"22,950"
Thu 02:36:19 PM,34.1282,-112.5140, 321,403,464,"23,925"
Thu 02:36:49 PM,34.1712,-112.5564, 321,408,470,"24,950"
Thu 02:37:19 PM,34.2187,-112.6034, 321,409,471,"25,900"
Thu 02:37:53 PM,34.2655,-112.6497, 320,401,461,"26,000"
Thu 02:38:25 PM,34.3111,-112.6948, 321,401,461,"26,000"
Thu 02:38:56 PM,34.3577,-112.7407, 321,400,460,"26,000"
Thu 02:39:26 PM,34.3992,-112.7812, 321,400,460,"26,000"
Thu 02:39:58 PM,34.4447,-112.8261, 320,399,459,"26,000"
Thu 02:40:28 PM,34.4874,-112.8687, 321,399,459,"26,000"
Thu 02:40:58 PM,34.5305,-112.9118, 320,399,459,"26,000"
Thu 02:41:28 PM,34.5727,-112.9539, 321,399,459,"26,000"
Thu 02:41:59 PM,34.6165,-112.9977, 320,399,459,"26,000"
