Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 04:45:00 PM    Left Gate (PHX) @ Tuesday 01:45:00 PM MST,,,Airline
,,,
Taxi Time: 13 minutes,,,
Tue 04:58:51 PM    Departure (PHX) @ Tuesday 01:58:51 PM MST,,,FlightAware ADS-B (KFFZ)
Tue 04:58:51 PM,33.4311,-112.0234, 270,157,181,"1,400"
Tue 04:59:07 PM,33.4311,-112.0362, 270,149,171,"2,150"
Tue 04:59:23 PM,33.4311,-112.0493, 270,161,185,"2,625"
Tue 04:59:39 PM,33.4314,-112.0642, 272,179,206,"2,950"
Tue 04:59:55 PM,33.4319,-112.0822, 273,194,223,"3,375"
Tue 05:00:11 PM,33.4325,-112.0978, 273,215,247,"3,650"
Tue 05:00:31 PM,33.4335,-112.1236, 272,241,277,"4,150"
Tue 05:00:55 PM,33.4345,-112.1583, 277,255,293,"5,200"
Tue 05:01:12 PM,33.4413,-112.1797, 304,250,288,"6,075"
Tue 05:01:28 PM,33.4553,-112.1935, 332,247,284,"6,925"
Tue 05:01:58 PM,33.4887,-112.1988, 359,248,285,"7,675"
Tue 05:02:23 PM,33.5178,-112.1981, 2,249,287,"7,750"
Tue 05:02:39 PM,33.5367,-112.1978, 358,248,285,"7,750"
Tue 05:03:09 PM,33.5740,-112.2002, 357,276,318,"8,400"
Tue 05:03:39 PM,33.6120,-112.2032, 356,277,319,"9,900"
Tue 05:04:23 PM,33.6714,-112.2188, 344,322,371,"11,075"
Tue 05:04:45 PM,33.7041,-112.2296, 345,346,398,"11,525"
Tue 05:05:15 PM,33.7517,-112.2452, 345,344,396,"13,125"
Tue 05:05:45 PM,33.7953,-112.2593, 345,350,403,"14,400"
Tue 05:06:15 PM,33.8459,-112.2754, 345,364,419,"15,500"
Tue 05:06:38 PM,33.8816,-112.2869, 345,369,425,"16,325"
Tue 05:07:08 PM,33.9319,-112.3031, 345,371,427,"17,650"
Tue 05:07:38 PM,33.9815,-112.3192, 345,371,427,"18,950"
Tue 05:07:58 PM,34.0158,-112.3309, 341,378,435,"19,700"
Tue 05:08:14 PM,34.0413,-112.3468, 327,398,458,"19,975"
Tue 05:08:56 PM,34.1003,-112.4069, 320,397,457,"21,800"
Tue 05:09:26 PM,34.1416,-112.4488, 320,393,452,"22,975"
Tue 05:09:56 PM,34.1844,-112.4917, 320,402,463,"23,675"
Tue 05:10:26 PM,34.2272,-112.5347, 320,402,463,"24,675"
Tue 05:10:56 PM,34.2687,-112.5766, 320,399,459,"25,800"
Tue 05:11:26 PM,34.3121,-112.6205, 320,395,455,"26,950"
Tue 05:11:56 PM,34.3540,-112.6626, 320,410,472,"27,325"
Tue 05:12:26 PM,34.3995,-112.7086, 320,424,488,"27,700"
Tue 05:12:56 PM,34.4436,-112.7535, 320,428,493,"28,000"
Tue 05:13:26 PM,34.4896,-112.8005, 320,427,491,"28,000"
Tue 05:13:56 PM,34.5374,-112.8493, 320,429,494,"28,000"
Tue 05:14:26 PM,34.5817,-112.8945, 320,429,494,"28,000"
Tue 05:14:56 PM,34.6276,-112.9414, 320,431,496,"28,000"
Tue 05:15:26 PM,34.6741,-112.9890, 320,432,497,"28,025"
Tue 05:15:56 PM,34.7187,-113.0346, 320,432,497,"28,025"
Tue 05:16:26 PM,34.7640,-113.0809, 319,432,497,"28,025"
Tue 05:16:44 PM,34.7913,-113.1128, 314,438,504,"28,025"
Tue 05:17:14 PM,34.8304,-113.1649, 312,439,505,"28,025"
Tue 05:17:44 PM,34.8721,-113.2204, 313,437,503,"28,025"
Tue 05:18:14 PM,34.9133,-113.2734, 314,437,503,"27,975"
Tue 05:18:44 PM,34.9565,-113.3285, 314,436,502,"27,975"
Tue 05:19:09 PM,34.9908,-113.3717, 315,435,501,"28,000"
Tue 05:19:32 PM,35.0248,-113.4072, 321,431,496,"28,000"
Tue 05:20:05 PM,35.0795,-113.4615, 321,433,498,"28,025"
Tue 05:20:35 PM,35.1237,-113.5057, 320,432,497,"28,025"
